* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -35.1 dBFS, measurement signal peak level -34.6 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 07-May-2024 05:01:34
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0856 ms (-29 mm, -1.16 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: IE600Kinera L1
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	110.176	-142.6592
20.144928	109.926	-143.2189
20.290907	109.670	-143.2391
20.437943	109.440	-142.7213
20.586044	109.271	-141.7372
20.735220	109.186	-140.4194
20.885475	109.198	-139.0113
21.036821	109.308	-137.7498
21.189262	109.493	-136.8319
21.342808	109.721	-136.4014
21.497467	109.965	-136.4843
21.653246	110.193	-137.0415
21.810154	110.385	-137.9988
21.968201	110.527	-139.2299
22.127390	110.613	-140.6147
22.287735	110.643	-142.0394
22.449242	110.623	-143.3851
22.611917	110.564	-144.5768
22.775772	110.480	-145.5490
22.940815	110.386	-146.2750
23.107054	110.299	-146.7711
23.274498	110.232	-147.0772
23.443153	110.192	-147.2715
23.613033	110.182	-147.4384
23.784142	110.197	-147.6517
23.956491	110.229	-147.9709
24.130091	110.267	-148.4159
24.304947	110.300	-148.9823
24.481071	110.323	-149.6411
24.658470	110.329	-150.3458
24.837156	110.319	-151.0522
25.017136	110.295	-151.7139
25.198421	110.262	-152.3022
25.381020	110.226	-152.8000
25.564941	110.193	-153.2068
25.750195	110.167	-153.5370
25.936790	110.152	-153.8115
26.124741	110.148	-154.0579
26.314051	110.155	-154.3004
26.504732	110.173	-154.5617
26.696796	110.198	-154.8583
26.890253	110.228	-155.2033
27.085112	110.260	-155.6039
27.281382	110.292	-156.0632
27.479073	110.319	-156.5770
27.678198	110.339	-157.1343
27.878765	110.348	-157.7140
28.080786	110.344	-158.2901
28.284271	110.329	-158.8306
28.489231	110.305	-159.3091
28.695675	110.277	-159.7073
28.903616	110.252	-160.0262
29.113064	110.235	-160.2872
29.324028	110.232	-160.5296
29.536524	110.241	-160.8014
29.750557	110.259	-161.1468
29.966141	110.278	-161.5895
30.183289	110.289	-162.1255
30.402010	110.284	-162.7223
30.622314	110.260	-163.3247
30.844217	110.218	-163.8699
31.067726	110.165	-164.3077
31.292856	110.114	-164.6140
31.519617	110.075	-164.8072
31.748020	110.060	-164.9443
31.978081	110.071	-165.1119
32.209808	110.104	-165.3905
32.443211	110.147	-165.8380
32.678310	110.184	-166.4610
32.915108	110.203	-167.2204
33.153625	110.193	-168.0332
33.393871	110.156	-168.8018
33.635857	110.096	-169.4336
33.879597	110.029	-169.8617
34.125103	109.972	-170.0726
34.372387	109.942	-170.1077
34.621464	109.950	-170.0647
34.872345	110.000	-170.0625
35.125042	110.083	-170.2131
35.379574	110.184	-170.5967
35.635948	110.285	-171.2393
35.894180	110.370	-172.1199
36.154285	110.424	-173.1786
36.416275	110.439	-174.3297
36.680161	110.411	-175.4813
36.945961	110.342	-176.5390
37.213688	110.238	-177.4155
37.483353	110.109	-178.0462
37.754974	109.970	-178.3938
38.028561	109.835	-178.4564
38.304131	109.719	-178.2744
38.581699	109.633	-177.9215
38.861279	109.580	-177.4912
39.142883	109.562	-177.0816
39.426529	109.569	-176.7747
39.712231	109.594	-176.6222
40.000000	109.624	-176.6460
40.289856	109.652	-176.8432
40.581814	109.669	-177.1931
40.875885	109.671	-177.6639
41.172089	109.654	-178.2181
41.470440	109.617	-178.8133
41.770950	109.560	-179.4036
42.073643	109.485	-179.9420
42.378525	109.400	179.6119
42.685616	109.311	179.2807
42.994934	109.228	179.0613
43.306492	109.160	178.9235
43.620308	109.112	178.8169
43.936401	109.081	178.6889
44.254780	109.063	178.5067
44.575470	109.051	178.2704
44.898483	109.039	178.0074
45.223835	109.028	177.7523
45.551544	109.021	177.5233
45.881630	109.023	177.3092
46.214108	109.034	177.0736
46.548996	109.049	176.7795
46.886307	109.059	176.4197
47.226067	109.055	176.0326
47.568283	109.032	175.6880
47.912983	108.998	175.4505
48.260181	108.963	175.3370
48.609894	108.940	175.3002
48.962143	108.931	175.2491
49.316940	108.929	175.1016
49.674313	108.918	174.8336
50.034271	108.886	174.4923
50.396843	108.832	174.1644
50.762039	108.765	173.9177
51.129883	108.700	173.7524
51.500389	108.651	173.5936
51.873581	108.615	173.3353
52.249481	108.583	172.9093
52.628101	108.538	172.3303
53.009464	108.470	171.6895
53.393593	108.384	171.1061
53.780506	108.292	170.6672
54.170223	108.214	170.3876
54.562763	108.165	170.2084
54.958145	108.149	170.0335
55.356396	108.159	169.7791
55.757530	108.183	169.4091
56.161572	108.207	168.9424
56.568542	108.222	168.4348
56.978462	108.226	167.9493
57.391350	108.218	167.5292
57.807232	108.201	167.1890
58.226128	108.174	166.9281
58.648056	108.134	166.7566
59.073048	108.079	166.7070
59.501114	108.015	166.8156
59.932281	107.954	167.0815
60.366577	107.907	167.4387
60.804020	107.879	167.7744
61.244629	107.865	167.9857
61.688435	107.854	168.0266
62.135452	107.836	167.9111
62.585712	107.810	167.6800
63.039234	107.778	167.3678
63.496040	107.743	166.9973
63.956161	107.706	166.5922
64.419617	107.670	166.1859
64.886421	107.639	165.8112
65.356621	107.616	165.4846
65.830215	107.602	165.2016
66.307251	107.596	164.9521
66.787743	107.589	164.7381
67.271713	107.577	164.5788
67.759193	107.555	164.4997
68.250206	107.523	164.5147
68.744774	107.482	164.6155
69.242928	107.434	164.7722
69.744690	107.379	164.9437
70.250084	107.317	165.0945
70.759148	107.249	165.2012
71.271896	107.179	165.2433
71.788361	107.113	165.1893
72.308571	107.053	165.0067
72.832550	106.999	164.6944
73.360321	106.949	164.2983
73.891922	106.907	163.8824
74.427376	106.879	163.4895
74.966705	106.867	163.1359
75.509949	106.864	162.8385
76.057121	106.865	162.6234
76.608261	106.863	162.5040
77.163399	106.852	162.4671
77.722557	106.825	162.4901
78.285767	106.774	162.5630
78.853058	106.703	162.6723
79.424461	106.619	162.7546
80.000000	106.528	162.7068
80.579712	106.430	162.4826
81.163628	106.331	162.1389
81.751770	106.259	161.7214
82.344177	106.233	161.1736
82.940880	106.247	160.4944
83.541901	106.286	159.8962
84.147285	106.359	159.6007
84.757050	106.466	159.6304
85.371231	106.574	160.0544
85.989868	106.664	161.1284
86.612984	106.763	162.9479
87.240616	106.883	165.5664
87.872803	107.078	169.5832
88.509560	107.524	174.9096
89.150940	108.268	178.5966
89.796967	108.956	177.8886
90.447670	109.172	173.7477
91.103088	108.788	169.0615
91.763260	107.990	166.0966
92.428215	107.123	165.0880
93.097992	106.419	164.6133
93.772614	105.897	163.7653
94.452133	105.539	162.6782
95.136566	105.349	161.4920
95.825966	105.286	160.2912
96.520363	105.301	159.3250
97.219788	105.363	158.7540
97.924286	105.437	158.5766
98.633881	105.496	158.7418
99.348625	105.527	159.1280
100.068542	105.518	159.5779
100.793686	105.467	159.9903
101.524078	105.384	160.3040
102.259766	105.285	160.4691
103.000778	105.191	160.4635
103.747162	105.117	160.2990
104.498962	105.073	160.0060
105.256203	105.055	159.6356
106.018929	105.047	159.2924
106.787186	105.038	159.1070
107.561012	105.025	159.1425
108.340446	105.009	159.3594
109.125526	104.990	159.6360
109.916290	104.963	159.8233
110.712791	104.921	159.8508
111.515060	104.865	159.7474
112.323143	104.805	159.5582
113.137085	104.750	159.3201
113.956924	104.707	159.0857
114.782700	104.677	158.9005
115.614464	104.656	158.7881
116.452255	104.639	158.7583
117.296112	104.617	158.7978
118.146095	104.585	158.8796
119.002228	104.543	158.9817
119.864563	104.495	159.0734
120.733154	104.445	159.1206
121.608040	104.395	159.1199
122.489258	104.350	159.0917
123.376869	104.312	159.0516
124.270905	104.278	159.0159
125.171425	104.245	159.0071
126.078468	104.209	159.0396
126.992081	104.172	159.1088
127.912323	104.132	159.1933
128.839233	104.091	159.2688
129.772842	104.050	159.3220
130.713242	104.010	159.3510
131.660431	103.971	159.3633
132.614502	103.932	159.3722
133.575485	103.894	159.3881
134.543427	103.856	159.4158
135.518387	103.816	159.4604
136.500412	103.777	159.5231
137.489548	103.739	159.5910
138.485855	103.702	159.6500
139.489380	103.666	159.7009
140.500168	103.629	159.7493
141.518295	103.591	159.7999
142.543793	103.551	159.8572
143.576721	103.511	159.9186
144.617142	103.469	159.9811
145.665100	103.427	160.0494
146.720642	103.385	160.1253
147.783844	103.343	160.2075
148.854752	103.304	160.2942
149.933411	103.265	160.3824
151.019897	103.227	160.4758
152.114243	103.190	160.5787
153.216522	103.156	160.6879
154.326797	103.123	160.7975
155.445114	103.091	160.9097
156.571533	103.061	161.0305
157.706116	103.032	161.1603
158.848923	103.003	161.2965
160.000000	102.976	161.4332
161.159424	102.949	161.5667
162.327255	102.921	161.7010
163.503540	102.893	161.8448
164.688354	102.863	161.9991
165.881760	102.832	162.1526
167.083801	102.798	162.2963
168.294571	102.762	162.4257
169.514099	102.725	162.5340
170.742462	102.685	162.6280
171.979736	102.642	162.7276
173.225967	102.598	162.8384
174.481232	102.555	162.9492
175.745605	102.515	163.0506
177.019119	102.479	163.1340
178.301880	102.446	163.1989
179.593933	102.416	163.2640
180.895340	102.390	163.3501
182.206177	102.367	163.4563
183.526520	102.346	163.5710
184.856430	102.323	163.6874
186.195984	102.299	163.7988
187.545227	102.274	163.9021
188.904266	102.248	164.0029
190.273132	102.223	164.1122
191.651932	102.198	164.2326
193.040726	102.173	164.3559
194.439575	102.145	164.4816
195.848572	102.114	164.6176
197.267761	102.080	164.7602
198.697250	102.046	164.9009
200.137085	102.009	165.0468
201.587372	101.973	165.2047
203.048157	101.936	165.3682
204.519531	101.900	165.5276
206.001556	101.863	165.6794
207.494324	101.827	165.8299
208.997925	101.793	165.9868
210.512405	101.761	166.1547
212.037857	101.731	166.3308
213.574371	101.701	166.5109
215.122025	101.670	166.6985
216.680893	101.637	166.8987
218.251053	101.603	167.1118
219.832581	101.568	167.3364
221.425583	101.532	167.5667
223.030121	101.496	167.7968
224.646286	101.461	168.0215
226.274170	101.428	168.2345
227.913849	101.394	168.4396
229.565399	101.360	168.6458
231.228928	101.325	168.8603
