* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -36.2 dBFS, measurement signal peak level -36.0 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 07-May-2024 05:05:02
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0862 ms (-30 mm, -1.16 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: IE600Kinera L3.5
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	110.291	-130.2571
20.144928	110.383	-130.5498
20.290907	110.480	-130.9725
20.437943	110.576	-131.5261
20.586044	110.664	-132.2039
20.735220	110.739	-132.9895
20.885475	110.798	-133.8517
21.036821	110.838	-134.7600
21.189262	110.859	-135.6791
21.342808	110.862	-136.5710
21.497467	110.849	-137.4107
21.653246	110.827	-138.1747
21.810154	110.799	-138.8515
21.968201	110.771	-139.4447
22.127390	110.748	-139.9655
22.287735	110.734	-140.4367
22.449242	110.729	-140.8880
22.611917	110.734	-141.3436
22.775772	110.744	-141.8278
22.940815	110.757	-142.3517
23.107054	110.769	-142.9147
23.274498	110.775	-143.5076
23.443153	110.774	-144.1083
23.613033	110.765	-144.6928
23.784142	110.750	-145.2382
23.956491	110.733	-145.7259
24.130091	110.717	-146.1519
24.304947	110.709	-146.5234
24.481071	110.712	-146.8615
24.658470	110.727	-147.1990
24.837156	110.754	-147.5672
25.017136	110.789	-147.9981
25.198421	110.827	-148.5072
25.381020	110.861	-149.0966
25.564941	110.885	-149.7510
25.750195	110.896	-150.4380
25.936790	110.891	-151.1202
26.124741	110.871	-151.7528
26.314051	110.840	-152.3022
26.504732	110.806	-152.7441
26.696796	110.775	-153.0763
26.890253	110.755	-153.3171
27.085112	110.751	-153.5027
27.281382	110.765	-153.6824
27.479073	110.794	-153.9032
27.678198	110.834	-154.2043
27.878765	110.878	-154.6047
28.080786	110.918	-155.1050
28.284271	110.947	-155.6841
28.489231	110.963	-156.3114
28.695675	110.963	-156.9461
28.903616	110.950	-157.5536
29.113064	110.926	-158.1037
29.324028	110.897	-158.5811
29.536524	110.867	-158.9822
29.750557	110.841	-159.3172
29.966141	110.822	-159.6038
30.183289	110.813	-159.8662
30.402010	110.812	-160.1274
30.622314	110.818	-160.4084
30.844217	110.831	-160.7251
31.067726	110.846	-161.0872
31.292856	110.862	-161.4985
31.519617	110.875	-161.9563
31.748020	110.885	-162.4522
31.978081	110.888	-162.9727
32.209808	110.885	-163.5028
32.443211	110.876	-164.0270
32.678310	110.861	-164.5342
32.915108	110.842	-165.0181
33.153625	110.820	-165.4774
33.393871	110.796	-165.9117
33.635857	110.769	-166.3168
33.879597	110.737	-166.6798
34.125103	110.701	-166.9793
34.372387	110.664	-167.1900
34.621464	110.632	-167.2931
34.872345	110.613	-167.2935
35.125042	110.616	-167.2287
35.379574	110.648	-167.1737
35.635948	110.708	-167.2213
35.894180	110.786	-167.4543
36.154285	110.868	-167.9222
36.416275	110.934	-168.6157
36.680161	110.969	-169.4728
36.945961	110.964	-170.3923
37.213688	110.921	-171.2554
37.483353	110.849	-171.9674
37.754974	110.764	-172.4779
38.028561	110.684	-172.7951
38.304131	110.622	-172.9852
38.581699	110.580	-173.1368
38.861279	110.554	-173.3256
39.142883	110.533	-173.5887
39.426529	110.507	-173.9138
39.712231	110.474	-174.2601
40.000000	110.434	-174.5873
40.289856	110.393	-174.8765
40.581814	110.358	-175.1413
40.875885	110.331	-175.4161
41.172089	110.309	-175.7309
41.470440	110.287	-176.0938
41.770950	110.260	-176.4870
42.073643	110.227	-176.8772
42.378525	110.192	-177.2383
42.685616	110.159	-177.5671
42.994934	110.132	-177.8829
43.306492	110.111	-178.2125
43.620308	110.093	-178.5725
43.936401	110.073	-178.9575
44.254780	110.048	-179.3433
44.575470	110.020	-179.7056
44.898483	109.993	179.9638
45.223835	109.970	179.6526
45.551544	109.950	179.3389
45.881630	109.932	179.0069
46.214108	109.910	178.6601
46.548996	109.883	178.3194
46.886307	109.850	178.0100
47.226067	109.818	177.7442
47.568283	109.788	177.5137
47.912983	109.763	177.2971
48.260181	109.742	177.0742
48.609894	109.722	176.8371
48.962143	109.702	176.5901
49.316940	109.680	176.3409
49.674313	109.658	176.0916
50.034271	109.637	175.8373
50.396843	109.616	175.5721
50.762039	109.592	175.2961
51.129883	109.566	175.0171
51.500389	109.538	174.7448
51.873581	109.508	174.4819
52.249481	109.479	174.2226
52.628101	109.451	173.9573
53.009464	109.421	173.6830
53.393593	109.389	173.4070
53.780506	109.355	173.1424
54.170223	109.319	172.8977
54.562763	109.285	172.6694
54.958145	109.252	172.4446
55.356396	109.220	172.2110
55.757530	109.188	171.9652
56.161572	109.154	171.7127
56.568542	109.120	171.4608
56.978462	109.086	171.2112
57.391350	109.052	170.9610
57.807232	109.020	170.7082
58.226128	108.987	170.4561
58.648056	108.955	170.2110
59.073048	108.924	169.9763
59.501114	108.895	169.7502
59.932281	108.867	169.5297
60.366577	108.838	169.3170
60.804020	108.809	169.1204
61.244629	108.779	168.9481
61.688435	108.749	168.8009
62.135452	108.721	168.6695
62.585712	108.693	168.5391
63.039234	108.664	168.3974
63.496040	108.632	168.2407
63.956161	108.596	168.0734
64.419617	108.555	167.9019
64.886421	108.511	167.7289
65.356621	108.465	167.5516
65.830215	108.421	167.3637
66.307251	108.377	167.1597
66.787743	108.337	166.9360
67.271713	108.298	166.6938
67.759193	108.262	166.4426
68.250206	108.228	166.1995
68.744774	108.198	165.9792
69.242928	108.172	165.7870
69.744690	108.150	165.6213
70.250084	108.130	165.4836
70.759148	108.110	165.3780
71.271896	108.089	165.2975
71.788361	108.065	165.2214
