* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -35.6 dBFS, measurement signal peak level -33.0 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 07-May-2024 05:14:31
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0900 ms (-31 mm, -1.21 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset
* Measurement: IE600Kinera R4
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	112.762	-146.7888
20.144928	112.763	-147.3645
20.290907	112.760	-147.9033
20.437943	112.754	-148.4017
20.586044	112.746	-148.8568
20.735220	112.738	-149.2692
20.885475	112.732	-149.6425
21.036821	112.728	-149.9817
21.189262	112.727	-150.2948
21.342808	112.731	-150.5917
21.497467	112.738	-150.8810
21.653246	112.749	-151.1733
21.810154	112.763	-151.4765
21.968201	112.779	-151.7968
22.127390	112.796	-152.1384
22.287735	112.813	-152.5019
22.449242	112.827	-152.8856
22.611917	112.839	-153.2858
22.775772	112.849	-153.6960
22.940815	112.855	-154.1107
23.107054	112.858	-154.5237
23.274498	112.859	-154.9310
23.443153	112.860	-155.3312
23.613033	112.861	-155.7257
23.784142	112.863	-156.1194
23.956491	112.868	-156.5197
24.130091	112.874	-156.9349
24.304947	112.882	-157.3734
24.481071	112.890	-157.8405
24.658470	112.896	-158.3383
24.837156	112.899	-158.8640
25.017136	112.896	-159.4091
25.198421	112.888	-159.9624
25.381020	112.874	-160.5082
25.564941	112.855	-161.0334
25.750195	112.832	-161.5250
25.936790	112.808	-161.9774
26.124741	112.786	-162.3906
26.314051	112.769	-162.7725
26.504732	112.758	-163.1379
26.696796	112.754	-163.5029
26.890253	112.756	-163.8860
27.085112	112.762	-164.2990
27.281382	112.768	-164.7480
27.479073	112.772	-165.2295
27.678198	112.772	-165.7333
27.878765	112.766	-166.2429
28.080786	112.754	-166.7410
28.284271	112.738	-167.2122
28.489231	112.719	-167.6472
28.695675	112.701	-168.0449
28.903616	112.685	-168.4110
29.113064	112.674	-168.7583
29.324028	112.666	-169.1005
29.536524	112.661	-169.4494
29.750557	112.657	-169.8123
29.966141	112.652	-170.1898
30.183289	112.646	-170.5762
30.402010	112.636	-170.9633
30.622314	112.623	-171.3425
30.844217	112.608	-171.7074
31.067726	112.593	-172.0569
31.292856	112.579	-172.3940
31.519617	112.566	-172.7250
31.748020	112.554	-173.0568
31.978081	112.544	-173.3964
32.209808	112.535	-173.7481
32.443211	112.526	-174.1155
32.678310	112.517	-174.5013
32.915108	112.506	-174.9073
33.153625	112.493	-175.3347
33.393871	112.477	-175.7813
33.635857	112.456	-176.2404
33.879597	112.428	-176.6973
34.125103	112.393	-177.1329
34.372387	112.352	-177.5259
34.621464	112.310	-177.8589
34.872345	112.270	-178.1281
35.125042	112.237	-178.3452
35.379574	112.216	-178.5398
35.635948	112.207	-178.7496
35.894180	112.206	-179.0074
36.154285	112.207	-179.3312
36.416275	112.205	-179.7134
36.680161	112.193	179.8748
36.945961	112.172	179.4741
37.213688	112.143	179.1226
37.483353	112.115	178.8351
37.754974	112.094	178.5988
38.028561	112.085	178.3733
38.304131	112.085	178.1066
38.581699	112.090	177.7610
38.861279	112.089	177.3286
39.142883	112.074	176.8362
39.426529	112.041	176.3405
39.712231	111.991	175.9012
40.000000	111.930	175.5613
40.289856	111.870	175.3312
40.581814	111.817	175.1852
40.875885	111.776	175.0750
41.172089	111.745	174.9572
41.470440	111.719	174.8100
41.770950	111.693	174.6383
42.073643	111.667	174.4633
42.378525	111.643	174.3002
42.685616	111.625	174.1402
42.994934	111.618	173.9511
43.306492	111.618	173.6929
43.620308	111.619	173.3408
43.936401	111.613	172.9025
44.254780	111.594	172.4200
44.575470	111.561	171.9488
44.898483	111.521	171.5303
45.223835	111.480	171.1755
45.551544	111.445	170.8629
45.881630	111.417	170.5563
46.214108	111.392	170.2288
46.548996	111.365	169.8789
46.886307	111.334	169.5284
47.226067	111.299	169.2049
47.568283	111.265	168.9191
47.912983	111.235	168.6599
48.260181	111.208	168.4031
48.609894	111.183	168.1317
48.962143	111.156	167.8484
49.316940	111.124	167.5707
49.674313	111.088	167.3165
50.034271	111.053	167.0890
50.396843	111.019	166.8739
50.762039	110.986	166.6526
51.129883	110.951	166.4182
51.500389	110.912	166.1821
51.873581	110.870	165.9636
52.249481	110.827	165.7715
52.628101	110.789	165.5930
53.009464	110.757	165.3993
53.393593	110.727	165.1677
53.780506	110.695	164.9001
54.170223	110.657	164.6231
54.562763	110.615	164.3710
54.958145	110.571	164.1622
55.356396	110.532	163.9879
55.757530	110.499	163.8209
56.161572	110.469	163.6388
56.568542	110.440	163.4399
56.978462	110.407	163.2418
57.391350	110.373	163.0612
57.807232	110.339	162.8973
58.226128	110.308	162.7313
58.648056	110.275	162.5479
59.073048	110.237	162.3546
59.501114	110.192	162.1830
59.932281	110.145	162.0632
60.366577	110.101	161.9954
60.804020	110.067	161.9423
61.244629	110.042	161.8563
61.688435	110.021	161.7132
62.135452	109.998	161.5251
62.585712	109.972	161.3206
63.039234	109.944	161.1176
63.496040	109.917	160.9164
63.956161	109.889	160.7131
64.419617	109.858	160.5138
64.886421	109.823	160.3323
65.356621	109.785	160.1774
65.830215	109.746	160.0490
66.307251	109.705	159.9435
66.787743	109.665	159.8532
67.271713	109.626	159.7564
67.759193	109.590	159.6156
68.250206	109.551	159.4036
68.744774	109.504	159.1324
69.242928	109.449	158.8494
69.744690	109.391	158.5942
70.250084	109.339	158.3639
70.759148	109.296	158.1294
71.271896	109.261	157.8792
71.788361	109.230	157.6340
72.308571	109.205	157.4166
72.832550	109.185	157.2267
73.360321	109.166	157.0597
73.891922	109.140	156.9337
74.427376	109.106	156.8818
74.966705	109.065	156.9177
75.509949	109.020	157.0196
76.057121	108.972	157.1423
76.608261	108.922	157.2318
77.163399	108.868	157.2371
77.722557	108.808	157.1232
78.285767	108.743	156.8850
78.853058	108.675	156.5511
79.424461	108.609	156.1688
80.000000	108.559	155.7719
80.579712	108.530	155.3646
81.163628	108.520	154.9625
81.751770	108.520	154.6362
82.344177	108.526	154.4658
82.940880	108.530	154.4896
83.541901	108.520	154.7499
84.147285	108.492	155.2931
84.757050	108.450	156.0164
85.371231	108.379	156.6831
85.989868	108.238	157.2195
86.612984	108.012	157.7223
87.240616	107.712	158.1149
87.872803	107.306	158.5410
88.509560	106.789	160.3365
89.150940	106.411	165.0901
89.796967	106.551	170.6371
90.447670	107.087	172.0415
91.103088	107.514	168.8400
91.763260	107.615	164.0119
92.428215	107.527	159.9045
93.097992	107.457	157.0796
93.772614	107.467	155.1487
94.452133	107.522	153.9133
95.136566	107.601	153.3039
95.825966	107.678	153.1136
96.520363	107.720	153.2186
97.219788	107.722	153.5660
97.924286	107.692	153.9971
98.633881	107.627	154.3591
99.348625	107.535	154.6078
100.068542	107.434	154.7059
100.793686	107.338	154.6085
101.524078	107.254	154.3458
102.259766	107.189	154.0085
103.000778	107.147	153.6789
103.747162	107.124	153.4125
104.498962	107.109	153.2676
105.256203	107.095	153.2858
