* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09-Nov-2023 02:51:45
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: IE600 medium fit R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	79.716	-132.4421
20.299999	79.772	-133.5215
20.600000	79.826	-134.5887
20.900000	79.875	-135.6421
21.200001	79.922	-136.6774
21.400000	79.951	-137.3553
21.799999	80.005	-138.6807
22.000000	80.031	-139.3289
22.400000	80.081	-140.6001
22.700001	80.118	-141.5367
23.000000	80.152	-142.4631
23.299999	80.185	-143.3802
23.600000	80.216	-144.2875
24.000000	80.252	-145.4786
24.299999	80.277	-146.3558
24.700001	80.307	-147.5021
25.000000	80.327	-148.3445
25.400000	80.351	-149.4452
25.799999	80.373	-150.5213
26.200001	80.393	-151.5741
26.500000	80.406	-152.3497
26.900000	80.423	-153.3674
27.200001	80.434	-154.1201
27.600000	80.447	-155.1107
28.000000	80.458	-156.0862
28.500000	80.468	-157.2805
29.000000	80.475	-158.4417
29.500000	80.479	-159.5687
30.000000	80.483	-160.6655
30.400000	80.485	-161.5254
30.700001	80.485	-162.1620
31.100000	80.485	-163.0005
31.500000	80.484	-163.8261
32.000000	80.479	-164.8373
32.500000	80.473	-165.8228
33.000000	80.464	-166.7850
33.500000	80.455	-167.7301
34.000000	80.442	-168.6606
34.500000	80.425	-169.5691
35.000000	80.405	-170.4431
35.500000	80.383	-171.2778
36.000000	80.363	-172.0834
36.500000	80.344	-172.8794
37.000000	80.326	-173.6791
37.500000	80.305	-174.4805
38.200001	80.272	-175.5827
38.700001	80.246	-176.3436
39.500000	80.203	-177.5151
40.000000	80.176	-178.2241
40.599998	80.143	-179.0565
41.200001	80.111	-179.8728
41.799999	80.079	179.3241
42.500000	80.040	178.4061
43.099998	80.006	177.6392
43.700001	79.970	176.8927
44.400002	79.927	176.0477
45.000000	79.889	175.3455
45.500000	79.857	174.7753
46.200001	79.811	173.9985
46.799999	79.771	173.3504
47.500000	79.725	172.6107
48.200001	79.679	171.8829
48.700001	79.647	171.3685
49.400002	79.600	170.6572
50.000000	79.559	170.0613
50.799999	79.503	169.2971
51.500000	79.453	168.6586
52.200001	79.405	168.0413
53.000000	79.351	167.3518
53.799999	79.298	166.6761
54.500000	79.250	166.0966
55.200001	79.202	165.5313
56.000000	79.146	164.9062
57.000000	79.075	164.1478
58.000000	79.005	163.3975
59.000000	78.933	162.6605
60.000000	78.859	161.9523
60.799999	78.801	161.4095
61.500000	78.752	160.9493
62.200001	78.704	160.5009
63.000000	78.650	160.0008
64.000000	78.584	159.3942
65.000000	78.517	158.8107
66.000000	78.448	158.2484
67.000000	78.379	157.7003
68.000000	78.308	157.1633
69.000000	78.235	156.6425
70.000000	78.164	156.1417
71.000000	78.098	155.6522
72.000000	78.035	155.1628
73.000000	77.972	154.6816
74.000000	77.909	154.2207
75.000000	77.846	153.7783
76.199997	77.770	153.2642
77.500000	77.687	152.7253
78.800003	77.604	152.1984
80.000000	77.530	151.7219
81.199997	77.457	151.2654
82.500000	77.380	150.8055
83.800003	77.301	150.3822
85.000000	77.224	150.0136
86.199997	77.142	149.6536
87.500000	77.045	149.2769
88.500000	76.969	149.0151
90.000000	76.873	148.6588
91.199997	76.816	148.3228
92.500000	76.762	147.8826
93.800003	76.704	147.4444
95.000000	76.648	147.0904
96.199997	76.589	146.7860
97.500000	76.523	146.4907
98.800003	76.454	146.2056
100.000000	76.388	145.9398
101.500000	76.305	145.6106
103.000000	76.225	145.2933
104.400002	76.152	145.0114
106.000000	76.072	144.7122
107.500000	75.999	144.4513
109.000000	75.927	144.2001
110.599998	75.852	143.9337
112.000000	75.789	143.6979
113.800003	75.709	143.3965
115.000000	75.656	143.2050
117.199997	75.558	142.8734
118.000000	75.523	142.7557
120.599998	75.408	142.3827
122.000000	75.348	142.1953
124.099998	75.266	141.9253
125.000000	75.232	141.8101
126.500000	75.178	141.6183
128.000000	75.123	141.4301
131.500000	74.993	141.0179
132.000000	74.974	140.9644
134.000000	74.900	140.7685
136.000000	74.826	140.5972
138.000000	74.753	140.4379
140.000000	74.680	140.2791
143.000000	74.571	140.0291
145.000000	74.499	139.8627
147.500000	74.411	139.6726
150.000000	74.327	139.5001
152.500000	74.250	139.3353
155.000000	74.180	139.1785
157.500000	74.117	139.0349
160.000000	74.058	138.9036
162.500000	73.998	138.7782
165.000000	73.932	138.6541
167.500000	73.856	138.5336
170.000000	73.772	138.4238
172.500000	73.684	138.3293
175.000000	73.598	138.2431
177.500000	73.521	138.1561
180.000000	73.454	138.0708
182.500000	73.400	137.9921
185.000000	73.356	137.9196
187.500000	73.318	137.8491
190.000000	73.281	137.7798
192.500000	73.243	137.7097
195.000000	73.201	137.6371
197.500000	73.155	137.5620
200.000000	73.107	137.4849
203.000000	73.048	137.3911
206.000000	72.990	137.2986
209.000000	72.934	137.2110
212.000000	72.878	137.1308
214.000000	72.841	137.0809
218.000000	72.767	136.9893
220.000000	72.730	136.9483
224.000000	72.658	136.8760
227.000000	72.605	136.8289
230.000000	72.554	136.7876
233.000000	72.505	136.7535
236.000000	72.459	136.7255
240.000000	72.399	136.6959
243.000000	72.357	136.6790
247.000000	72.303	136.6617
250.000000	72.264	136.6488
254.000000	72.216	136.6253
258.000000	72.170	136.5919
262.000000	72.127	136.5519
265.000000	72.095	136.5197
