* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09-Nov-2023 02:55:05
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: IE600 medium fit L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	81.904	-142.4129
20.299999	81.944	-143.4474
20.600000	81.981	-144.4685
20.900000	82.015	-145.4741
21.200001	82.047	-146.4615
21.400000	82.066	-147.1086
21.799999	82.103	-148.3771
22.000000	82.119	-148.9993
22.400000	82.151	-150.2225
22.700001	82.173	-151.1235
23.000000	82.193	-152.0111
23.299999	82.211	-152.8846
23.600000	82.227	-153.7428
24.000000	82.246	-154.8624
24.299999	82.259	-155.6848
24.700001	82.274	-156.7617
25.000000	82.284	-157.5577
25.400000	82.295	-158.6053
25.799999	82.302	-159.6356
26.200001	82.307	-160.6438
26.500000	82.308	-161.3835
26.900000	82.309	-162.3483
27.200001	82.309	-163.0586
27.600000	82.309	-163.9929
28.000000	82.307	-164.9165
28.500000	82.302	-166.0563
29.000000	82.293	-167.1734
29.500000	82.282	-168.2630
30.000000	82.269	-169.3247
30.400000	82.258	-170.1553
30.700001	82.248	-170.7672
31.100000	82.235	-171.5679
31.500000	82.221	-172.3509
32.000000	82.202	-173.3055
32.500000	82.183	-174.2365
33.000000	82.163	-175.1464
33.500000	82.140	-176.0346
34.000000	82.116	-176.8979
34.500000	82.089	-177.7332
35.000000	82.062	-178.5416
35.500000	82.033	-179.3297
36.000000	82.004	179.8946
36.500000	81.972	179.1287
37.000000	81.939	178.3746
37.500000	81.903	177.6331
38.200001	81.851	176.6115
38.700001	81.811	175.8964
39.500000	81.743	174.8135
40.000000	81.702	174.1852
40.599998	81.661	173.4521
41.200001	81.626	172.6940
41.799999	81.593	171.8970
42.500000	81.547	170.9573
43.099998	81.504	170.1812
43.700001	81.459	169.4395
44.400002	81.407	168.6109
