* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: 0.250. Timing signal peak level -41.8 dBFS, measurement signal peak level -42.2 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 09-Apr-2024 22:20:32
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.4712 ms (-162 mm, -6.36 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: -78.8 ppm
* Measurement: IE600 Sil L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.224	-138.0279
20.299999	97.299	-138.7695
20.600000	97.399	-139.5498
20.900000	97.514	-140.5045
21.200001	97.613	-141.6878
21.400000	97.654	-142.5650
21.799999	97.653	-144.2612
22.000000	97.614	-144.9270
22.400000	97.509	-145.6011
22.700001	97.472	-145.5368
23.000000	97.520	-145.2623
23.299999	97.659	-145.1854
23.600000	97.849	-145.6364
24.000000	98.070	-147.1766
24.299999	98.149	-148.7905
24.700001	98.110	-150.9429
25.000000	98.002	-152.1880
25.400000	97.842	-153.1346
25.799999	97.750	-153.5255
26.200001	97.748	-153.9235
26.500000	97.773	-154.4572
26.900000	97.787	-155.4545
27.200001	97.768	-156.2599
27.600000	97.717	-157.2003
28.000000	97.671	-157.9428
28.500000	97.639	-158.7550
29.000000	97.611	-159.5132
29.500000	97.584	-160.0299
30.000000	97.620	-160.3386
30.400000	97.712	-160.7872
30.700001	97.794	-161.4279
31.100000	97.863	-162.6816
31.500000	97.844	-164.1087
32.000000	97.709	-165.4916
32.500000	97.557	-166.0763
33.000000	97.496	-166.2856
33.500000	97.504	-166.8305
34.000000	97.483	-167.8335
34.500000	97.390	-168.8448
35.000000	97.278	-169.5034
35.500000	97.211	-169.9445
36.000000	97.188	-170.5196
36.500000	97.164	-171.3186
37.000000	97.117	-172.1472
37.500000	97.066	-172.8518
38.200001	97.025	-173.7607
38.700001	96.995	-174.4550
39.500000	96.916	-175.3642
40.000000	96.875	-175.7009
40.599998	96.856	-176.0770
41.200001	96.843	-176.6217
41.799999	96.799	-177.2512
42.500000	96.714	-177.8768
43.099998	96.628	-178.2921
43.700001	96.534	-178.5566
44.400002	96.449	-178.6042
45.000000	96.438	-178.6745
45.500000	96.459	-179.0296
46.200001	96.455	-179.9989
46.799999	96.393	179.1017
47.500000	96.295	178.3073
48.200001	96.210	177.6971
48.700001	96.153	177.3110
49.400002	96.077	176.8757
50.000000	96.023	176.6073
50.799999	95.977	176.2693
51.500000	95.943	175.8246
52.200001	95.871	175.2936
53.000000	95.741	175.1129
53.799999	95.684	175.4202
54.500000	95.706	175.3458
55.200001	95.686	174.8401
56.000000	95.595	174.4789
57.000000	95.530	174.4469
58.000000	95.511	174.0584
59.000000	95.451	173.2560
60.000000	95.293	172.6756
60.799999	95.184	172.8311
61.500000	95.166	172.8925
62.200001	95.148	172.5187
63.000000	95.058	171.9972
64.000000	94.926	171.8234
65.000000	94.841	171.7022
66.000000	94.762	171.4133
67.000000	94.682	171.0497
68.000000	94.593	170.6607
69.000000	94.500	170.4116
70.000000	94.421	170.2763
71.000000	94.344	170.1941
72.000000	94.261	170.1787
73.000000	94.167	170.1706
74.000000	94.058	170.1674
75.000000	93.946	170.1447
76.199997	93.819	170.0335
77.500000	93.699	169.9270
78.800003	93.608	170.0267
80.000000	93.542	170.3701
81.199997	93.459	170.9218
82.500000	93.311	171.5826
83.800003	93.095	172.1362
85.000000	92.853	172.3174
86.199997	92.655	172.1137
87.500000	92.586	171.2877
88.500000	92.621	169.4898
90.000000	92.206	168.7627
91.199997	92.302	174.2405
92.500000	93.015	176.8106
93.800003	93.450	176.5423
95.000000	93.599	176.0518
96.199997	93.580	175.3943
97.500000	93.467	174.6875
98.800003	93.331	173.7098
100.000000	93.187	173.0402
101.500000	93.058	172.6600
103.000000	92.941	172.7448
104.400002	92.826	173.0627
106.000000	92.657	173.4986
107.500000	92.514	174.2401
109.000000	92.466	175.0095
110.599998	92.509	175.6226
112.000000	92.583	175.8149
113.800003	92.651	175.6032
115.000000	92.657	175.2353
117.199997	92.580	174.5101
118.000000	92.534	174.3077
120.599998	92.323	174.3124
122.000000	92.242	174.8751
124.099998	92.215	175.1741
125.000000	92.196	174.9621
126.500000	92.117	174.4378
128.000000	91.979	174.0711
131.500000	91.646	174.8961
132.000000	91.617	175.1075
134.000000	91.556	175.8005
136.000000	91.529	176.1698
138.000000	91.519	176.6281
140.000000	91.531	177.0457
143.000000	91.469	177.5695
145.000000	91.369	178.1065
147.500000	91.221	178.8923
150.000000	91.103	179.3309
152.500000	90.986	179.4399
155.000000	90.889	179.7563
157.500000	90.820	-179.7388
160.000000	90.757	-179.1943
162.500000	90.693	-178.6557
165.000000	90.624	-178.1184
167.500000	90.540	-177.5714
170.000000	90.441	-177.0518
172.500000	90.335	-176.4839
175.000000	90.246	-175.8851
177.500000	90.171	-175.3319
180.000000	90.099	-174.7804
182.500000	90.037	-174.1947
185.000000	89.992	-173.6111
187.500000	89.948	-173.0482
190.000000	89.902	-172.4467
192.500000	89.852	-171.8627
195.000000	89.795	-171.2891
197.500000	89.735	-170.7039
200.000000	89.676	-170.1074
203.000000	89.604	-169.3373
206.000000	89.529	-168.5314
209.000000	89.460	-167.7994
212.000000	89.396	-167.0907
214.000000	89.354	-166.5712
218.000000	89.266	-165.4159
220.000000	89.220	-164.8395
224.000000	89.127	-163.7013
227.000000	89.057	-162.7713
230.000000	88.990	-161.7673
233.000000	88.930	-160.7392
236.000000	88.887	-159.6577
240.000000	88.862	-158.1285
243.000000	88.874	-156.9944
247.000000	88.937	-155.7116
250.000000	88.996	-155.0097
254.000000	89.047	-154.4436
258.000000	89.052	-154.0196
262.000000	89.024	-153.5162
265.000000	88.989	-153.0733
269.000000	88.933	-152.3977
272.000000	88.890	-151.8284
276.000000	88.833	-151.0193
280.000000	88.775	-150.1618
285.000000	88.709	-149.0679
290.000000	88.648	-147.9412
295.000000	88.592	-146.7954
300.000000	88.545	-145.6395
304.000000	88.508	-144.7160
307.000000	88.479	-144.0171
311.000000	88.439	-143.0724
315.000000	88.396	-142.1031
320.000000	88.347	-140.9054
325.000000	88.307	-139.7531
330.000000	88.265	-138.5938
335.000000	88.224	-137.3883
340.000000	88.188	-136.1644
345.000000	88.157	-135.0182
350.000000	88.127	-133.8528
355.000000	88.092	-132.6337
360.000000	88.056	-131.4256
365.000000	88.027	-130.2192
370.000000	88.000	-128.9847
375.000000	87.972	-127.7929
382.000000	87.932	-126.1814
387.000000	87.903	-125.0100
395.000000	87.864	-123.1123
400.000000	87.849	-121.9225
406.000000	87.825	-120.5190
412.000000	87.796	-119.0979
418.000000	87.770	-117.6538
425.000000	87.748	-116.0043
431.000000	87.728	-114.6567
437.000000	87.707	-113.2655
444.000000	87.690	-111.5820
450.000000	87.676	-110.1531
455.000000	87.664	-108.9757
462.000000	87.641	-107.3300
468.000000	87.619	-105.9453
475.000000	87.601	-104.3461
482.000000	87.589	-102.7253
487.000000	87.580	-101.5468
494.000000	87.570	-99.9075
500.000000	87.564	-98.5175
508.000000	87.550	-96.6680
515.000000	87.539	-95.0605
522.000000	87.534	-93.4459
530.000000	87.531	-91.6058
538.000000	87.524	-89.7842
545.000000	87.515	-88.1651
552.000000	87.508	-86.5173
560.000000	87.502	-84.6487
570.000000	87.500	-82.3345
580.000000	87.499	-80.0247
590.000000	87.501	-77.7325
600.000000	87.505	-75.4115
608.000000	87.507	-73.5388
615.000000	87.508	-71.9282
622.000000	87.510	-70.3270
630.000000	87.514	-68.4815
640.000000	87.519	-66.1691
650.000000	87.531	-63.8887
660.000000	87.547	-61.6159
670.000000	87.559	-59.3185
680.000000	87.578	-57.0160
690.000000	87.594	-54.7216
700.000000	87.611	-52.4127
710.000000	87.632	-50.1019
720.000000	87.654	-47.7939
730.000000	87.679	-45.4766
740.000000	87.709	-43.1647
750.000000	87.741	-40.8597
762.000000	87.780	-38.0939
775.000000	87.830	-35.1262
788.000000	87.880	-32.1244
800.000000	87.927	-29.3637
812.000000	87.971	-26.6372
825.000000	88.024	-23.6500
838.000000	88.085	-20.6706
850.000000	88.147	-17.9537
862.000000	88.211	-15.2437
875.000000	88.286	-12.3116
885.000000	88.344	-10.0601
900.000000	88.435	-6.7122
912.000000	88.515	-4.0658
925.000000	88.603	-1.2278
938.000000	88.691	1.6009
950.000000	88.766	4.1808
962.000000	88.827	6.7188
975.000000	88.901	9.4585
988.000000	89.007	12.1658
1000.000000	89.120	14.6139
1015.000000	89.263	17.5743
1030.000000	89.402	20.4418
1044.000000	89.519	23.0761
1060.000000	89.638	26.0240
1075.000000	89.735	28.7389
1090.000000	89.818	31.4339
1106.000000	89.896	34.3600
1120.000000	89.958	36.9683
1138.000000	90.040	40.3745
1150.000000	90.101	42.6635
1172.000000	90.225	46.8836
1180.000000	90.274	48.3910
1206.000000	90.442	53.1680
1220.000000	90.535	55.6979
1241.000000	90.675	59.4427
1250.000000	90.734	61.0187
1265.000000	90.833	63.6142
1280.000000	90.933	66.1920
1315.000000	91.165	72.1349
1320.000000	91.197	72.9778
1340.000000	91.322	76.3420
1360.000000	91.444	79.6837
1380.000000	91.563	83.0031
1400.000000	91.679	86.3179
1430.000000	91.852	91.2903
1450.000000	91.967	94.6048
1475.000000	92.105	98.7310
1500.000000	92.243	102.8592
1525.000000	92.378	106.9875
1550.000000	92.513	111.1116
1575.000000	92.648	115.2185
1600.000000	92.779	119.3351
1625.000000	92.911	123.4604
1650.000000	93.047	127.5928
1675.000000	93.190	131.6978
1700.000000	93.342	135.7428
1725.000000	93.497	139.7309
1750.000000	93.649	143.6541
1775.000000	93.798	147.5297
1800.000000	93.944	151.3624
1825.000000	94.090	155.1548
1850.000000	94.233	158.9074
1875.000000	94.374	162.6104
1900.000000	94.510	166.2725
1925.000000	94.640	169.8950
1950.000000	94.767	173.4736
1975.000000	94.890	177.0369
2000.000000	95.006	-179.4158
2030.000000	95.140	-175.2128
2060.000000	95.269	-171.0573
2090.000000	95.388	-166.9443
2120.000000	95.497	-162.8760
2140.000000	95.564	-160.1880
2180.000000	95.687	-154.8715
2200.000000	95.741	-152.2383
2240.000000	95.827	-146.9705
2270.000000	95.876	-143.0185
2300.000000	95.910	-139.0575
2330.000000	95.929	-135.0507
2360.000000	95.936	-130.9663
2400.000000	95.934	-125.3751
2430.000000	95.929	-121.0305
2470.000000	95.935	-115.0295
2500.000000	95.966	-110.4187
2540.000000	96.058	-104.3173
2580.000000	96.196	-98.5677
2620.000000	96.331	-93.3566
2650.000000	96.400	-89.7336
2690.000000	96.429	-85.0584
2720.000000	96.406	-81.5377
2760.000000	96.328	-76.7114
2800.000000	96.212	-71.6898
2850.000000	96.041	-65.1289
2900.000000	95.854	-58.2852
2950.000000	95.663	-51.2098
3000.000000	95.466	-43.9435
3040.000000	95.307	-38.0080
3070.000000	95.186	-33.4901
3110.000000	95.026	-27.3780
3150.000000	94.870	-21.1713
3200.000000	94.690	-13.3116
3250.000000	94.525	-5.3279
3300.000000	94.376	2.7758
3350.000000	94.228	11.0111
3400.000000	94.074	19.3685
3450.000000	93.914	27.8138
3500.000000	93.752	36.3572
3550.000000	93.600	44.9969
3600.000000	93.466	53.7118
3650.000000	93.357	62.4572
3700.000000	93.274	71.2058
3750.000000	93.215	79.9431
3820.000000	93.166	92.1796
3870.000000	93.145	100.9674
3950.000000	93.127	115.1124
4000.000000	93.121	123.9481
4060.000000	93.106	134.5251
4120.000000	93.081	145.0348
4180.000000	93.048	155.4799
4250.000000	93.011	167.5722
4310.000000	92.993	177.8772
4370.000000	92.990	-171.8594
4440.000000	93.012	-159.9409
4500.000000	93.046	-149.7901
4550.000000	93.084	-141.3883
4620.000000	93.150	-129.7031
4680.000000	93.215	-119.7696
4750.000000	93.297	-108.2546
4820.000000	93.391	-96.8253
4870.000000	93.467	-88.7196
4940.000000	93.586	-77.4864
