* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: 0.250. Timing signal peak level -41.6 dBFS, measurement signal peak level -40.7 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 09-Apr-2024 22:34:38
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0884 ms (-30 mm, -1.19 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: -27.9 ppm
* Measurement: IE600Sil R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.103	-151.8986
20.299999	99.175	-152.5336
20.600000	99.214	-153.4631
20.900000	99.195	-154.5117
21.200001	99.119	-155.4455
21.400000	99.049	-155.9100
21.799999	98.915	-156.3882
22.000000	98.871	-156.4541
22.400000	98.860	-156.5306
22.700001	98.907	-156.7827
23.000000	98.976	-157.3260
23.299999	99.040	-158.1440
23.600000	99.083	-159.1393
24.000000	99.106	-160.5393
24.299999	99.109	-161.5464
24.700001	99.115	-162.8140
25.000000	99.125	-163.7568
25.400000	99.138	-165.0683
25.799999	99.130	-166.4131
26.200001	99.090	-167.6465
26.500000	99.045	-168.3987
26.900000	98.992	-169.1261
27.200001	98.974	-169.5240
27.600000	98.986	-170.0372
28.000000	99.019	-170.7054
28.500000	99.041	-171.7884
29.000000	99.011	-172.8801
29.500000	98.956	-173.7214
30.000000	98.924	-174.3921
30.400000	98.917	-174.9907
30.700001	98.909	-175.5246
31.100000	98.881	-176.2992
31.500000	98.830	-177.0326
32.000000	98.755	-177.7776
32.500000	98.693	-178.3870
33.000000	98.644	-178.9808
33.500000	98.597	-179.5670
34.000000	98.561	179.8671
34.500000	98.547	179.1981
35.000000	98.533	178.2757
35.500000	98.485	177.1513
36.000000	98.396	176.0176
36.500000	98.284	174.9663
37.000000	98.149	174.0207
37.500000	97.981	173.4542
38.200001	97.838	174.0281
38.700001	98.014	174.6677
39.500000	98.611	172.1878
40.000000	98.727	168.3448
40.599998	98.334	164.3134
41.200001	97.678	164.1641
41.799999	97.472	167.3687
42.500000	97.846	169.2012
43.099998	98.007	168.4413
43.700001	97.922	168.4759
44.400002	98.026	169.9873
45.000000	98.314	169.7745
45.500000	98.407	168.1331
46.200001	98.140	165.9399
46.799999	97.781	165.7052
47.500000	97.547	166.3743
