* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: 0.250. Timing signal peak level -41.2 dBFS, measurement signal peak level -41.9 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 09-Apr-2024 22:10:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.2119 ms (-73 mm, -2.86 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: -107.9 ppm
* Measurement: IE600Sill R2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.473	-150.6210
20.299999	99.455	-151.0922
20.600000	99.474	-151.5211
20.900000	99.523	-152.0801
21.200001	99.580	-152.8623
21.400000	99.611	-153.4965
21.799999	99.637	-154.8983
22.000000	99.636	-155.5997
22.400000	99.623	-156.9218
22.700001	99.620	-157.8788
23.000000	99.626	-158.8840
23.299999	99.628	-159.9820
23.600000	99.613	-161.1456
24.000000	99.553	-162.6261
24.299999	99.487	-163.5366
24.700001	99.410	-164.3867
25.000000	99.386	-164.8237
25.400000	99.414	-165.3876
25.799999	99.483	-166.1682
26.200001	99.544	-167.2007
26.500000	99.567	-168.0357
26.900000	99.568	-169.0547
27.200001	99.559	-169.6853
27.600000	99.551	-170.3736
28.000000	99.549	-170.9812
28.500000	99.531	-171.6681
29.000000	99.487	-172.0888
29.500000	99.464	-172.1013
30.000000	99.525	-172.0393
30.400000	99.628	-172.3717
30.700001	99.702	-172.9859
31.100000	99.748	-174.2235
31.500000	99.699	-175.6514
32.000000	99.516	-177.1108
32.500000	99.288	-177.8053
33.000000	99.123	-177.9229
33.500000	99.049	-178.0478
34.000000	99.009	-178.5037
34.500000	98.955	-179.1373
35.000000	98.899	-179.6912
35.500000	98.876	179.8026
36.000000	98.884	179.1118
36.500000	98.877	178.1810
37.000000	98.824	177.2344
37.500000	98.738	176.4973
38.200001	98.603	175.7934
38.700001	98.473	175.5516
39.500000	98.240	176.4682
40.000000	98.238	177.7980
40.599998	98.459	178.6826
41.200001	98.706	177.7311
41.799999	98.750	175.6959
42.500000	98.573	173.7176
43.099998	98.395	172.6350
43.700001	98.220	171.6675
44.400002	97.962	170.9615
45.000000	97.794	171.1071
45.500000	97.767	171.3209
46.200001	97.814	170.8491
46.799999	97.796	169.9460
47.500000	97.705	169.1922
48.200001	97.632	168.9097
48.700001	97.602	168.8212
49.400002	97.586	168.7320
50.000000	97.598	168.5526
50.799999	97.607	167.9216
51.500000	97.555	167.1305
52.200001	97.440	166.4629
53.000000	97.287	166.1666
53.799999	97.201	166.1268
54.500000	97.164	165.7914
55.200001	97.088	165.3321
56.000000	97.004	165.1175
57.000000	96.974	164.5766
58.000000	96.857	163.7358
59.000000	96.731	163.3742
60.000000	96.599	163.1008
60.799999	96.517	163.3583
61.500000	96.539	163.4665
62.200001	96.566	162.9822
63.000000	96.507	162.2229
64.000000	96.385	161.8004
65.000000	96.267	161.5914
66.000000	96.135	161.5987
67.000000	96.025	161.6262
68.000000	95.894	161.4240
69.000000	95.737	161.2751
70.000000	95.599	161.2233
71.000000	95.510	161.2419
72.000000	95.492	161.1114
73.000000	95.494	160.6145
74.000000	95.457	160.0818
75.000000	95.399	159.7896
76.199997	95.292	159.5500
77.500000	95.146	160.0610
78.800003	95.168	160.3612
80.000000	95.121	159.2909
81.199997	94.898	158.8259
82.500000	94.730	159.8309
83.800003	94.706	160.5640
85.000000	94.600	160.6623
86.199997	94.408	160.6078
87.500000	94.129	159.9230
88.500000	93.787	158.6830
90.000000	93.140	160.6155
91.199997	93.361	162.7556
92.500000	93.622	161.1296
93.800003	93.697	160.3629
95.000000	93.727	160.5936
96.199997	93.713	161.5591
97.500000	93.671	162.9467
98.800003	93.616	163.9734
100.000000	93.528	164.2977
101.500000	93.367	164.3463
103.000000	93.258	164.5630
104.400002	93.214	164.6272
106.000000	93.174	165.0323
107.500000	93.168	165.7711
109.000000	93.227	166.5584
110.599998	93.331	167.0226
112.000000	93.447	167.1959
113.800003	93.574	166.7970
115.000000	93.592	166.3312
117.199997	93.513	165.6254
118.000000	93.469	165.3676
120.599998	93.304	164.5991
122.000000	93.245	164.3506
124.099998	93.184	164.0342
125.000000	93.153	163.9428
126.500000	93.091	163.8601
128.000000	93.014	163.8230
131.500000	92.810	163.7935
132.000000	92.782	163.8037
134.000000	92.673	163.8777
136.000000	92.559	164.0339
138.000000	92.440	164.2965
140.000000	92.328	164.5307
143.000000	92.163	164.9041
145.000000	92.076	165.3085
147.500000	91.983	165.8644
150.000000	91.887	166.5402
152.500000	91.816	167.1511
155.000000	91.762	167.5334
157.500000	91.723	167.7520
160.000000	91.680	167.9230
162.500000	91.616	168.1193
165.000000	91.532	168.3444
167.500000	91.429	168.6203
170.000000	91.319	168.9543
172.500000	91.203	169.3356
175.000000	91.085	169.7057
177.500000	90.978	170.1292
180.000000	90.896	170.5571
182.500000	90.826	170.9827
185.000000	90.767	171.4459
187.500000	90.713	171.8743
190.000000	90.662	172.2854
192.500000	90.606	172.7061
195.000000	90.539	173.1812
197.500000	90.469	173.7130
200.000000	90.401	174.2017
203.000000	90.319	174.7748
206.000000	90.239	175.3076
209.000000	90.156	175.8844
212.000000	90.074	176.5099
214.000000	90.023	176.9140
218.000000	89.925	177.6858
220.000000	89.874	178.1195
224.000000	89.769	179.1009
227.000000	89.694	179.9193
230.000000	89.634	-179.1723
233.000000	89.590	-178.3023
236.000000	89.555	-177.4621
240.000000	89.528	-176.5784
243.000000	89.518	-175.9430
247.000000	89.542	-175.0263
250.000000	89.559	-174.5479
254.000000	89.543	-173.9942
258.000000	89.512	-173.3661
262.000000	89.476	-172.8587
265.000000	89.437	-172.5124
269.000000	89.376	-172.0996
272.000000	89.325	-171.8257
276.000000	89.270	-171.2292
280.000000	89.218	-170.4646
285.000000	89.141	-169.5827
290.000000	89.074	-168.7635
295.000000	89.019	-167.8739
300.000000	88.960	-166.9947
304.000000	88.911	-166.3331
307.000000	88.876	-165.8200
311.000000	88.834	-165.1162
315.000000	88.794	-164.4006
320.000000	88.737	-163.5194
325.000000	88.688	-162.6270
330.000000	88.639	-161.7406
335.000000	88.590	-160.8340
340.000000	88.545	-159.9225
345.000000	88.501	-159.0471
350.000000	88.457	-158.1694
355.000000	88.417	-157.2937
360.000000	88.384	-156.3875
365.000000	88.348	-155.4707
370.000000	88.307	-154.5670
375.000000	88.270	-153.6990
382.000000	88.227	-152.4899
387.000000	88.198	-151.6523
395.000000	88.157	-150.2971
400.000000	88.130	-149.4165
406.000000	88.092	-148.3312
412.000000	88.058	-147.2698
418.000000	88.026	-146.2304
425.000000	87.991	-145.0368
431.000000	87.969	-144.0207
437.000000	87.949	-143.0021
444.000000	87.923	-141.8529
450.000000	87.899	-140.8262
455.000000	87.881	-139.9528
462.000000	87.857	-138.7648
468.000000	87.838	-137.7792
475.000000	87.813	-136.5844
482.000000	87.788	-135.3719
487.000000	87.774	-134.5157
494.000000	87.761	-133.3358
500.000000	87.751	-132.3412
508.000000	87.738	-131.0463
515.000000	87.727	-129.9070
522.000000	87.714	-128.7523
530.000000	87.695	-127.4172
538.000000	87.680	-126.1169
545.000000	87.668	-124.9514
552.000000	87.656	-123.7937
560.000000	87.644	-122.5016
570.000000	87.642	-120.8444
580.000000	87.639	-119.2349
590.000000	87.634	-117.6204
600.000000	87.633	-116.0275
608.000000	87.630	-114.7498
615.000000	87.631	-113.6201
622.000000	87.634	-112.5023
630.000000	87.639	-111.2477
640.000000	87.647	-109.6299
650.000000	87.653	-108.0056
660.000000	87.655	-106.4048
670.000000	87.665	-104.8183
680.000000	87.682	-103.2492
690.000000	87.702	-101.6466
700.000000	87.722	-100.0272
710.000000	87.740	-98.4427
720.000000	87.759	-96.8910
730.000000	87.781	-95.3223
740.000000	87.807	-93.7550
750.000000	87.836	-92.1901
762.000000	87.865	-90.2956
775.000000	87.908	-88.2671
788.000000	87.958	-86.2467
800.000000	88.003	-84.4054
812.000000	88.050	-82.5508
825.000000	88.107	-80.5289
838.000000	88.170	-78.5538
850.000000	88.232	-76.7620
862.000000	88.295	-74.9596
875.000000	88.368	-73.0103
885.000000	88.427	-71.5522
900.000000	88.518	-69.3792
912.000000	88.591	-67.6866
925.000000	88.672	-65.8868
938.000000	88.757	-64.1037
950.000000	88.828	-62.4811
962.000000	88.880	-60.9107
975.000000	88.937	-59.2663
988.000000	89.020	-57.6718
1000.000000	89.112	-56.2168
1015.000000	89.223	-54.3973
1030.000000	89.320	-52.5609
1044.000000	89.400	-50.8053
