* Measurement data measured by REW V5.31.1
* Source: Input device not selected, no input selected, R, volume: no control. Timing signal peak level -18.1 dBFS, measurement signal peak level -18.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 31-Jul-2024 14:57:48
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0910 ms (-31 mm, -1.23 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 1.2 ppm
* Measurement: IE600Sil L2
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	118.997	-150.6404
20.144928	119.000	-151.0883
20.290907	119.004	-151.5335
20.437943	119.007	-151.9764
20.586044	119.010	-152.4179
20.735220	119.013	-152.8587
20.885475	119.015	-153.2998
21.036821	119.017	-153.7420
21.189262	119.019	-154.1853
21.342808	119.019	-154.6294
21.497467	119.019	-155.0736
21.653246	119.017	-155.5161
21.810154	119.015	-155.9556
21.968201	119.011	-156.3901
22.127390	119.007	-156.8182
22.287735	119.003	-157.2394
22.449242	118.999	-157.6536
22.611917	118.995	-158.0620
22.775772	118.993	-158.4668
22.940815	118.991	-158.8705
23.107054	118.990	-159.2763
23.274498	118.990	-159.6867
23.443153	118.990	-160.1036
23.613033	118.990	-160.5278
23.784142	118.989	-160.9584
23.956491	118.987	-161.3931
24.130091	118.983	-161.8284
24.304947	118.978	-162.2603
24.481071	118.971	-162.6851
24.658470	118.963	-163.0996
24.837156	118.955	-163.5027
25.017136	118.947	-163.8952
25.198421	118.940	-164.2796
25.381020	118.935	-164.6607
25.564941	118.932	-165.0434
25.750195	118.929	-165.4327
25.936790	118.927	-165.8316
26.124741	118.924	-166.2410
26.314051	118.918	-166.6584
26.504732	118.911	-167.0788
26.696796	118.900	-167.4953
26.890253	118.887	-167.9000
27.085112	118.872	-168.2875
27.281382	118.857	-168.6544
27.479073	118.842	-169.0023
27.678198	118.830	-169.3373
27.878765	118.821	-169.6694
28.080786	118.815	-170.0101
28.284271	118.811	-170.3707
28.489231	118.807	-170.7579
28.695675	118.800	-171.1726
28.903616	118.789	-171.6086
29.113064	118.772	-172.0525
29.324028	118.748	-172.4872
29.536524	118.717	-172.8948
29.750557	118.683	-173.2606
29.966141	118.649	-173.5781
30.183289	118.618	-173.8508
30.402010	118.593	-174.0925
30.622314	118.576	-174.3250
30.844217	118.566	-174.5733
31.067726	118.561	-174.8583
31.292856	118.558	-175.1927
31.519617	118.553	-175.5762
31.748020	118.542	-175.9965
31.978081	118.524	-176.4309
32.209808	118.498	-176.8546
32.443211	118.465	-177.2441
32.678310	118.431	-177.5863
32.915108	118.399	-177.8801
33.153625	118.372	-178.1384
33.393871	118.352	-178.3830
33.635857	118.340	-178.6386
33.879597	118.334	-178.9273
34.125103	118.329	-179.2598
34.372387	118.322	-179.6353
34.621464	118.309	179.9588
34.872345	118.290	179.5419
35.125042	118.263	179.1348
35.379574	118.231	178.7566
35.635948	118.195	178.4186
35.894180	118.159	178.1246
36.154285	118.125	177.8712
36.416275	118.094	177.6487
36.680161	118.068	177.4447
36.945961	118.046	177.2448
37.213688	118.029	177.0345
37.483353	118.015	176.8025
37.754974	118.002	176.5417
38.028561	117.987	176.2520
38.304131	117.969	175.9408
38.581699	117.945	175.6227
38.861279	117.915	175.3148
39.142883	117.882	175.0324
39.426529	117.847	174.7827
39.712231	117.814	174.5613
40.000000	117.785	174.3533
40.289856	117.760	174.1390
40.581814	117.738	173.9005
40.875885	117.716	173.6305
41.172089	117.691	173.3343
41.470440	117.662	173.0261
41.770950	117.628	172.7229
42.073643	117.593	172.4364
42.378525	117.558	172.1679
42.685616	117.524	171.9092
42.994934	117.493	171.6487
43.306492	117.462	171.3779
43.620308	117.431	171.0962
43.936401	117.397	170.8105
44.254780	117.362	170.5309
44.575470	117.325	170.2638
44.898483	117.289	170.0090
45.223835	117.254	169.7610
45.551544	117.218	169.5140
45.881630	117.182	169.2662
46.214108	117.143	169.0225
46.548996	117.103	168.7916
46.886307	117.061	168.5810
47.226067	117.019	168.3928
47.568283	116.978	168.2231
47.912983	116.940	168.0654
48.260181	116.902	167.9156
48.609894	116.866	167.7743
48.962143	116.830	167.6453
49.316940	116.796	167.5310
49.674313	116.765	167.4285
50.034271	116.739	167.3284
50.396843	116.716	167.2175
50.762039	116.697	167.0848
51.129883	116.679	166.9241
51.500389	116.661	166.7361
51.873581	116.641	166.5250
52.249481	116.619	166.2964
52.628101	116.595	166.0543
53.009464	116.569	165.8010
53.393593	116.541	165.5386
53.780506	116.511	165.2708
54.170223	116.477	165.0036
54.562763	116.440	164.7447
