* Measurement data measured by REW V5.31.1
* Source: Input device not selected, no input selected, R, volume: no control. Timing signal peak level -18.2 dBFS, measurement signal peak level -18.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 31-Jul-2024 15:01:18
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0987 ms (-34 mm, -1.33 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset
* Measurement: IE600Sil R2
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	119.701	-153.9616
20.144928	119.699	-154.4681
20.290907	119.693	-154.9594
20.437943	119.685	-155.4292
20.586044	119.675	-155.8717
20.735220	119.665	-156.2850
20.885475	119.656	-156.6700
21.036821	119.649	-157.0297
21.189262	119.646	-157.3708
21.342808	119.647	-157.7022
21.497467	119.653	-158.0322
21.653246	119.662	-158.3704
21.810154	119.674	-158.7242
21.968201	119.689	-159.0985
22.127390	119.704	-159.4965
22.287735	119.718	-159.9170
22.449242	119.731	-160.3575
22.611917	119.742	-160.8137
22.775772	119.749	-161.2800
22.940815	119.753	-161.7519
23.107054	119.754	-162.2247
23.274498	119.752	-162.6949
23.443153	119.747	-163.1596
23.613033	119.739	-163.6158
23.784142	119.728	-164.0591
23.956491	119.714	-164.4838
24.130091	119.696	-164.8817
24.304947	119.676	-165.2430
24.481071	119.654	-165.5584
24.658470	119.633	-165.8197
24.837156	119.616	-166.0259
25.017136	119.608	-166.1835
25.198421	119.610	-166.3096
25.381020	119.628	-166.4344
25.564941	119.660	-166.5928
25.750195	119.707	-166.8275
25.936790	119.762	-167.1715
26.124741	119.820	-167.6505
26.314051	119.871	-168.2688
26.504732	119.908	-169.0106
26.696796	119.922	-169.8394
26.890253	119.908	-170.6982
27.085112	119.866	-171.5218
27.281382	119.797	-172.2377
27.479073	119.709	-172.7861
27.678198	119.614	-173.1239
27.878765	119.527	-173.2462
28.080786	119.462	-173.1844
28.284271	119.431	-173.0192
28.489231	119.439	-172.8507
28.695675	119.482	-172.7938
28.903616	119.550	-172.9322
29.113064	119.624	-173.3158
29.324028	119.689	-173.9400
29.536524	119.729	-174.7609
29.750557	119.734	-175.6959
29.966141	119.701	-176.6535
30.183289	119.632	-177.5333
30.402010	119.536	-178.2587
30.622314	119.425	-178.7768
30.844217	119.315	-179.0781
31.067726	119.218	-179.1901
31.292856	119.146	-179.1784
31.519617	119.099	-179.1183
31.748020	119.077	-179.0831
31.978081	119.072	-179.1229
32.209808	119.076	-179.2586
32.443211	119.081	-179.4852
32.678310	119.084	-179.7831
32.915108	119.082	179.8697
33.153625	119.077	179.4899
33.393871	119.069	179.0833
33.635857	119.059	178.6497
33.879597	119.044	178.1879
34.125103	119.022	177.7044
34.372387	118.991	177.2159
34.621464	118.950	176.7505
34.872345	118.900	176.3378
35.125042	118.845	176.0012
35.379574	118.791	175.7493
35.635948	118.745	175.5696
35.894180	118.711	175.4326
36.154285	118.689	175.2982
36.416275	118.676	175.1305
36.680161	118.669	174.9088
36.945961	118.661	174.6311
37.213688	118.648	174.3134
37.483353	118.628	173.9803
37.754974	118.603	173.6553
38.028561	118.575	173.3545
38.304131	118.545	173.0807
38.581699	118.518	172.8264
38.861279	118.492	172.5798
39.142883	118.468	172.3299
39.426529	118.443	172.0717
39.712231	118.418	171.8070
40.000000	118.390	171.5409
40.289856	118.362	171.2776
40.581814	118.333	171.0172
40.875885	118.304	170.7544
41.172089	118.277	170.4818
41.470440	118.250	170.1934
41.770950	118.220	169.8886
42.073643	118.188	169.5742
42.378525	118.150	169.2623
42.685616	118.109	168.9664
42.994934	118.066	168.6968
43.306492	118.022	168.4573
43.620308	117.980	168.2447
43.936401	117.941	168.0504
44.254780	117.906	167.8636
44.575470	117.873	167.6754
44.898483	117.843	167.4793
45.223835	117.814	167.2726
45.551544	117.784	167.0553
45.881630	117.754	166.8299
46.214108	117.721	166.6015
46.548996	117.686	166.3772
46.886307	117.649	166.1641
47.226067	117.612	165.9669
47.568283	117.575	165.7845
47.912983	117.540	165.6104
48.260181	117.507	165.4344
48.609894	117.476	165.2486
48.962143	117.444	165.0500
49.316940	117.411	164.8420
49.674313	117.377	164.6311
50.034271	117.340	164.4229
50.396843	117.304	164.2188
50.762039	117.267	164.0160
51.129883	117.230	163.8105
51.500389	117.192	163.6003
51.873581	117.152	163.3868
52.249481	117.112	163.1735
