* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -36.4 dBFS, measurement signal peak level -36.0 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 07-May-2024 15:37:18
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0796 ms (-27 mm, -1.08 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: IE600TypeE L4
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.487	-135.3772
20.144928	103.526	-135.7286
20.290907	103.570	-136.1113
20.437943	103.618	-136.5320
20.586044	103.666	-136.9967
20.735220	103.715	-137.5067
20.885475	103.761	-138.0597
21.036821	103.803	-138.6515
21.189262	103.839	-139.2728
21.342808	103.868	-139.9122
21.497467	103.890	-140.5585
21.653246	103.905	-141.1979
21.810154	103.913	-141.8195
21.968201	103.917	-142.4141
22.127390	103.918	-142.9749
22.287735	103.917	-143.5015
22.449242	103.918	-143.9966
22.611917	103.922	-144.4668
22.775772	103.928	-144.9232
22.940815	103.939	-145.3759
23.107054	103.952	-145.8361
23.274498	103.966	-146.3115
23.443153	103.981	-146.8049
23.613033	103.993	-147.3151
23.784142	104.002	-147.8345
23.956491	104.006	-148.3521
24.130091	104.006	-148.8557
24.304947	104.002	-149.3322
24.481071	103.997	-149.7742
24.658470	103.993	-150.1784
24.837156	103.993	-150.5501
25.017136	103.999	-150.9026
25.198421	104.013	-151.2534
25.381020	104.033	-151.6252
25.564941	104.059	-152.0361
25.750195	104.085	-152.5006
25.936790	104.110	-153.0213
26.124741	104.127	-153.5899
26.314051	104.134	-154.1873
26.504732	104.127	-154.7832
26.696796	104.108	-155.3456
26.890253	104.078	-155.8393
27.085112	104.042	-156.2397
27.281382	104.006	-156.5317
27.479073	103.977	-156.7201
27.678198	103.962	-156.8265
27.878765	103.964	-156.8918
28.080786	103.987	-156.9647
28.284271	104.027	-157.0991
28.489231	104.081	-157.3371
28.695675	104.139	-157.7079
28.903616	104.194	-158.2179
29.113064	104.237	-158.8538
29.324028	104.262	-159.5837
29.536524	104.264	-160.3631
29.750557	104.242	-161.1373
29.966141	104.197	-161.8536
30.183289	104.134	-162.4603
30.402010	104.060	-162.9224
30.622314	103.984	-163.2215
30.844217	103.917	-163.3671
31.067726	103.869	-163.3940
31.292856	103.846	-163.3656
31.519617	103.849	-163.3555
31.748020	103.877	-163.4388
31.978081	103.920	-163.6741
32.209808	103.967	-164.0887
32.443211	104.005	-164.6761
32.678310	104.024	-165.3948
32.915108	104.018	-166.1816
33.153625	103.984	-166.9561
33.393871	103.928	-167.6456
33.635857	103.857	-168.1954
33.879597	103.786	-168.5822
34.125103	103.727	-168.8238
34.372387	103.688	-168.9726
34.621464	103.674	-169.1073
34.872345	103.680	-169.3004
35.125042	103.699	-169.6023
35.379574	103.718	-170.0268
35.635948	103.727	-170.5484
35.894180	103.720	-171.1165
36.154285	103.696	-171.6674
36.416275	103.659	-172.1454
36.680161	103.616	-172.5180
36.945961	103.574	-172.7799
37.213688	103.543	-172.9550
37.483353	103.524	-173.0829
37.754974	103.518	-173.2048
38.028561	103.520	-173.3529
38.304131	103.527	-173.5412
38.581699	103.535	-173.7675
38.861279	103.540	-174.0209
39.142883	103.543	-174.2898
39.426529	103.544	-174.5684
39.712231	103.544	-174.8593
40.000000	103.543	-175.1702
40.289856	103.540	-175.5094
40.581814	103.534	-175.8809
40.875885	103.523	-176.2819
41.172089	103.506	-176.7038
41.470440	103.484	-177.1355
41.770950	103.456	-177.5671
42.073643	103.426	-177.9928
42.378525	103.395	-178.4131
42.685616	103.363	-178.8336
42.994934	103.332	-179.2641
43.306492	103.302	-179.7148
43.620308	103.272	179.8070
43.936401	103.238	179.3025
44.254780	103.197	178.7867
44.575470	103.149	178.2894
44.898483	103.093	177.8493
45.223835	103.035	177.5009
45.551544	102.982	177.2574
45.881630	102.943	177.0981
46.214108	102.924	176.9672
46.548996	102.924	176.7918
46.886307	102.935	176.5132
47.226067	102.943	176.1162
47.568283	102.938	175.6381
47.912983	102.913	175.1524
48.260181	102.870	174.7374
48.609894	102.819	174.4434
48.962143	102.771	174.2747
49.316940	102.734	174.1925
49.674313	102.711	174.1358
50.034271	102.700	174.0479
50.396843	102.695	173.8933
50.762039	102.689	173.6616
51.129883	102.677	173.3618
51.500389	102.655	173.0170
51.873581	102.622	172.6600
52.249481	102.578	172.3260
52.628101	102.528	172.0401
53.009464	102.479	171.8052
53.393593	102.436	171.5992
53.780506	102.399	171.3889
54.170223	102.365	171.1522
54.562763	102.329	170.8923
54.958145	102.290	170.6304
55.356396	102.250	170.3850
55.757530	102.211	170.1549
56.161572	102.176	169.9234
56.568542	102.142	169.6783
56.978462	102.107	169.4272
57.391350	102.069	169.1894
57.807232	102.034	168.9720
58.226128	102.002	168.7560
58.648056	101.974	168.5119
59.073048	101.943	168.2313
59.501114	101.904	167.9430
59.932281	101.857	167.6935
60.366577	101.809	167.5079
60.804020	101.766	167.3712
61.244629	101.729	167.2493
61.688435	101.695	167.1252
62.135452	101.662	167.0096
62.585712	101.630	166.9146
63.039234	101.604	166.8252
63.496040	101.582	166.7068
63.956161	101.558	166.5423
64.419617	101.527	166.3544
64.886421	101.488	166.1857
65.356621	101.447	166.0562
65.830215	101.410	165.9463
66.307251	101.377	165.8193
66.787743	101.344	165.6556
67.271713	101.311	165.4594
67.759193	101.276	165.2424
68.250206	101.240	165.0087
68.744774	101.204	164.7597
69.242928	101.165	164.5064
69.744690	101.124	164.2693
70.250084	101.083	164.0655
70.759148	101.044	163.8974
71.271896	101.009	163.7548
71.788361	100.974	163.6276
72.308571	100.939	163.5161
72.832550	100.901	163.4266
73.360321	100.862	163.3589
73.891922	100.822	163.2977
74.427376	100.782	163.2191
74.966705	100.739	163.1065
75.509949	100.691	162.9597
76.057121	100.639	162.7916
76.608261	100.584	162.6172
77.163399	100.531	162.4443
77.722557	100.482	162.2736
78.285767	100.438	162.1056
78.853058	100.399	161.9499
79.424461	100.365	161.8286
80.000000	100.337	161.7617
80.579712	100.315	161.7406
81.163628	100.296	161.7285
81.751770	100.271	161.7067
82.344177	100.231	161.7062
82.940880	100.177	161.7622
83.541901	100.116	161.8525
84.147285	100.050	161.9217
84.757050	99.982	161.9272
85.371231	99.917	161.8052
85.989868	99.857	161.4724
86.612984	99.796	160.9249
87.240616	99.741	160.1935
87.872803	99.697	159.1630
88.509560	99.623	157.7524
89.150940	99.452	156.4418
89.796967	99.205	156.1818
90.447670	99.036	157.3588
91.103088	99.064	159.0316
91.763260	99.221	160.0513
92.428215	99.374	160.3597
93.097992	99.474	160.4766
93.772614	99.533	160.6510
94.452133	99.558	160.8757
95.136566	99.554	161.1503
95.825966	99.535	161.4291
96.520363	99.507	161.6105
97.219788	99.469	161.6687
97.924286	99.428	161.6353
98.633881	99.393	161.5027
99.348625	99.366	161.2608
100.068542	99.340	160.9588
100.793686	99.317	160.6669
101.524078	99.295	160.4229
102.259766	99.272	160.2386
103.000778	99.243	160.1285
103.747162	99.208	160.1047
104.498962	99.169	160.1463
105.256203	99.129	160.1975
106.018929	99.087	160.2073
106.787186	99.042	160.1616
107.561012	98.994	160.0743
108.340446	98.946	159.9660
109.125526	98.901	159.8607
109.916290	98.862	159.7744
110.712791	98.827	159.7045
111.515060	98.795	159.6490
112.323143	98.760	159.6205
113.137085	98.722	159.6252
113.956924	98.681	159.6523
114.782700	98.638	159.6855
115.614464	98.595	159.7081
116.452255	98.552	159.7073
117.296112	98.510	159.6863
118.146095	98.470	159.6574
119.002228	98.432	159.6254
119.864563	98.394	159.5964
120.733154	98.356	159.5884
121.608040	98.318	159.6085
122.489258	98.281	159.6399
123.376869	98.242	159.6690
124.270905	98.203	159.6977
125.171425	98.163	159.7269
126.078468	98.124	159.7522
126.992081	98.087	159.7741
127.912323	98.050	159.7967
128.839233	98.013	159.8210
129.772842	97.976	159.8486
130.713242	97.938	159.8846
131.660431	97.898	159.9329
132.614502	97.859	159.9933
133.575485	97.820	160.0582
134.543427	97.782	160.1191
135.518387	97.744	160.1776
136.500412	97.705	160.2440
137.489548	97.667	160.3216
138.485855	97.629	160.4048
139.489380	97.591	160.4874
140.500168	97.552	160.5663
141.518295	97.513	160.6431
142.543793	97.474	160.7157
143.576721	97.433	160.7846
144.617142	97.391	160.8603
145.665100	97.349	160.9500
146.720642	97.308	161.0585
147.783844	97.269	161.1829
148.854752	97.234	161.3058
149.933411	97.200	161.4183
151.019897	97.167	161.5309
152.114243	97.134	161.6576
153.216522	97.102	161.8064
154.326797	97.075	161.9748
155.445114	97.052	162.1456
156.571533	97.033	162.3066
157.706116	97.017	162.4593
158.848923	97.004	162.6028
160.000000	96.992	162.7324
161.159424	96.982	162.8499
162.327255	96.972	162.9556
163.503540	96.962	163.0440
164.688354	96.949	163.1129
165.881760	96.930	163.1636
167.083801	96.905	163.1992
168.294571	96.873	163.2233
169.514099	96.836	163.2418
170.742462	96.794	163.2644
171.979736	96.749	163.2964
173.225967	96.703	163.3336
174.481232	96.657	163.3718
175.745605	96.613	163.4171
177.019119	96.571	163.4731
178.301880	96.532	163.5383
179.593933	96.495	163.6104
180.895340	96.463	163.6883
182.206177	96.435	163.7719
183.526520	96.411	163.8592
184.856430	96.388	163.9504
186.195984	96.365	164.0502
187.545227	96.342	164.1585
188.904266	96.319	164.2704
190.273132	96.295	164.3815
191.651932	96.269	164.4922
193.040726	96.241	164.6055
194.439575	96.211	164.7232
195.848572	96.178	164.8470
197.267761	96.144	164.9780
198.697250	96.109	165.1169
200.137085	96.075	165.2615
201.587372	96.040	165.4048
203.048157	96.005	165.5466
204.519531	95.971	165.6916
206.001556	95.936	165.8389
207.494324	95.902	165.9902
208.997925	95.868	166.1533
210.512405	95.834	166.3265
212.037857	95.801	166.5025
213.574371	95.767	166.6777
215.122025	95.731	166.8547
216.680893	95.695	167.0392
218.251053	95.658	167.2383
219.832581	95.622	167.4553
221.425583	95.585	167.6885
223.030121	95.549	167.9343
224.646286	95.512	168.1904
226.274170	95.475	168.4581
227.913849	95.439	168.7415
229.565399	95.405	169.0434
231.228928	95.375	169.3659
232.904510	95.349	169.7079
234.592224	95.328	170.0698
236.292191	95.313	170.4548
238.004456	95.306	170.8548
239.729126	95.307	171.2529
241.466309	95.318	171.6263
243.216080	95.336	171.9518
244.978516	95.359	172.2162
246.753738	95.383	172.4146
248.541809	95.405	172.5482
250.342850	95.424	172.6237
252.156937	95.438	172.6490
253.984161	95.444	172.6362
255.824646	95.443	172.6068
257.678467	95.434	172.5830
259.545685	95.421	172.5755
261.426483	95.403	172.5873
263.320862	95.382	172.6202
265.229004	95.357	172.6731
267.150970	95.331	172.7412
269.086853	95.304	172.8204
271.036774	95.277	172.9123
273.000824	95.251	173.0200
274.979095	95.227	173.1422
276.971710	95.202	173.2736
278.978760	95.177	173.4148
281.000336	95.152	173.5687
283.036591	95.126	173.7347
285.087585	95.101	173.9099
287.153442	95.076	174.0901
289.234283	95.052	174.2714
291.330200	95.028	174.4543
293.441284	95.006	174.6399
295.567688	94.984	174.8295
297.709503	94.964	175.0232
299.866821	94.942	175.2196
302.039795	94.920	175.4166
304.228485	94.898	175.6132
306.433044	94.877	175.8108
308.653595	94.857	176.0098
310.890228	94.838	176.2079
313.143066	94.818	176.4104
315.412231	94.797	176.6232
317.697845	94.776	176.8396
320.000000	94.756	177.0525
322.318848	94.736	177.2646
324.654510	94.718	177.4802
327.007080	94.700	177.7004
329.376709	94.683	177.9247
331.763519	94.665	178.1508
334.167603	94.647	178.3742
336.589142	94.628	178.5969
339.028198	94.610	178.8208
341.484924	94.591	179.0436
343.959473	94.573	179.2682
346.451935	94.555	179.5013
348.962463	94.539	179.7446
351.491211	94.523	179.9928
354.038239	94.508	-179.7593
356.603760	94.494	-179.5124
359.187866	94.479	-179.2654
361.790680	94.465	-179.0186
364.412354	94.451	-178.7735
367.053040	94.436	-178.5338
369.712860	94.422	-178.3006
372.391968	94.407	-178.0650
375.090454	94.393	-177.8190
377.808533	94.379	-177.5651
380.546265	94.365	-177.3104
383.303864	94.351	-177.0578
386.081451	94.337	-176.8024
388.879150	94.325	-176.5405
391.697144	94.312	-176.2746
394.535522	94.299	-176.0099
397.394501	94.285	-175.7470
400.274170	94.272	-175.4826
403.174744	94.259	-175.2152
406.096313	94.248	-174.9455
409.039062	94.237	-174.6739
412.003113	94.226	-174.4005
414.988647	94.215	-174.1275
417.995850	94.205	-173.8554
421.024811	94.195	-173.5814
424.075714	94.185	-173.3029
427.148743	94.175	-173.0225
430.244049	94.164	-172.7453
433.361786	94.155	-172.4692
436.502106	94.146	-172.1897
439.665161	94.135	-171.9062
442.851166	94.125	-171.6167
446.060242	94.115	-171.3193
449.292572	94.106	-171.0215
452.548340	94.098	-170.7318
455.827698	94.090	-170.4492
459.130798	94.082	-170.1682
462.457855	94.075	-169.8892
465.809021	94.067	-169.6112
469.184448	94.059	-169.3245
472.584381	94.051	-169.0242
476.008911	94.043	-168.7187
479.458252	94.036	-168.4119
482.932617	94.029	-168.1009
486.432159	94.022	-167.7870
489.957031	94.016	-167.4734
493.507477	94.011	-167.1601
497.083618	94.006	-166.8442
500.685699	94.001	-166.5245
504.313873	93.996	-166.2075
507.968323	93.991	-165.9002
511.649292	93.986	-165.5959
515.356934	93.981	-165.2795
519.091370	93.975	-164.9469
522.852966	93.970	-164.6076
526.641724	93.966	-164.2695
530.458008	93.962	-163.9320
534.301941	93.958	-163.5909
538.173706	93.954	-163.2444
542.073547	93.949	-162.8943
546.001648	93.946	-162.5428
549.958191	93.944	-162.1953
553.943420	93.943	-161.8532
557.957520	93.940	-161.5105
562.000671	93.938	-161.1626
566.073181	93.937	-160.8118
570.175171	93.936	-160.4613
574.306885	93.935	-160.1105
578.468567	93.936	-159.7580
582.660400	93.937	-159.4016
586.882568	93.938	-159.0407
591.135376	93.940	-158.6766
595.419006	93.941	-158.3102
599.733643	93.943	-157.9392
604.079590	93.945	-157.5611
608.456970	93.947	-157.1720
612.866089	93.949	-156.7734
617.307190	93.950	-156.3793
621.780457	93.952	-155.9966
626.286133	93.954	-155.6155
630.824463	93.957	-155.2236
635.395691	93.960	-154.8228
640.000000	93.963	-154.4233
644.637695	93.967	-154.0294
649.309021	93.972	-153.6368
654.014160	93.977	-153.2395
658.753418	93.983	-152.8369
663.527039	93.990	-152.4269
668.335205	93.998	-152.0047
673.178284	94.005	-151.5719
678.056396	94.013	-151.1372
682.969849	94.022	-150.7087
687.918945	94.032	-150.2839
692.903870	94.043	-149.8526
697.924927	94.053	-149.4173
702.982422	94.064	-148.9842
708.076477	94.075	-148.5467
713.207520	94.086	-148.0996
718.375732	94.098	-147.6426
723.581360	94.110	-147.1779
728.824707	94.123	-146.7137
734.106079	94.137	-146.2557
739.425720	94.152	-145.7974
744.783936	94.169	-145.3320
750.180908	94.185	-144.8607
755.617065	94.201	-144.3857
761.092529	94.217	-143.9069
766.607727	94.234	-143.4255
772.162903	94.252	-142.9416
777.758301	94.272	-142.4554
783.394287	94.292	-141.9659
789.071045	94.314	-141.4695
794.789001	94.338	-140.9645
800.548340	94.363	-140.4552
806.349487	94.390	-139.9455
812.192627	94.417	-139.4360
818.078125	94.444	-138.9297
