* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -35.9 dBFS, measurement signal peak level -37.2 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 07-May-2024 15:45:32
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0824 ms (-28 mm, -1.11 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset
* Measurement: IE600TypeE R1
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.308	-148.2472
20.144928	105.313	-148.6873
20.290907	105.318	-149.1140
20.437943	105.324	-149.5302
20.586044	105.332	-149.9403
20.735220	105.343	-150.3488
20.885475	105.355	-150.7619
21.036821	105.369	-151.1850
21.189262	105.383	-151.6213
21.342808	105.397	-152.0730
21.497467	105.409	-152.5388
21.653246	105.419	-153.0143
21.810154	105.425	-153.4942
21.968201	105.428	-153.9700
22.127390	105.428	-154.4337
22.287735	105.426	-154.8786
22.449242	105.423	-155.2995
22.611917	105.420	-155.6956
22.775772	105.419	-156.0697
22.940815	105.422	-156.4277
23.107054	105.429	-156.7801
23.274498	105.440	-157.1373
23.443153	105.454	-157.5101
23.613033	105.471	-157.9070
23.784142	105.488	-158.3319
23.956491	105.504	-158.7851
24.130091	105.517	-159.2616
24.304947	105.525	-159.7531
24.481071	105.528	-160.2504
24.658470	105.527	-160.7430
24.837156	105.522	-161.2242
25.017136	105.514	-161.6892
25.198421	105.505	-162.1376
25.381020	105.496	-162.5722
25.564941	105.486	-162.9973
25.750195	105.477	-163.4174
25.936790	105.466	-163.8345
26.124741	105.453	-164.2481
26.314051	105.439	-164.6541
26.504732	105.423	-165.0463
26.696796	105.405	-165.4198
26.890253	105.388	-165.7713
27.085112	105.373	-166.1041
27.281382	105.362	-166.4267
27.479073	105.355	-166.7527
27.678198	105.353	-167.0981
27.878765	105.354	-167.4760
28.080786	105.355	-167.8935
28.284271	105.352	-168.3473
28.489231	105.344	-168.8255
28.695675	105.328	-169.3068
28.903616	105.307	-169.7703
29.113064	105.281	-170.1974
29.324028	105.256	-170.5827
29.536524	105.236	-170.9340
29.750557	105.225	-171.2758
29.966141	105.223	-171.6396
30.183289	105.227	-172.0591
30.402010	105.233	-172.5538
30.622314	105.233	-173.1256
30.844217	105.220	-173.7511
31.067726	105.189	-174.3892
31.292856	105.140	-174.9829
31.519617	105.077	-175.4805
31.748020	105.007	-175.8419
31.978081	104.941	-176.0555
32.209808	104.889	-176.1407
32.443211	104.858	-176.1490
32.678310	104.850	-176.1469
32.915108	104.864	-176.1977
33.153625	104.889	-176.3479
33.393871	104.918	-176.6109
33.635857	104.940	-176.9723
33.879597	104.952	-177.3940
34.125103	104.950	-177.8322
34.372387	104.938	-178.2478
34.621464	104.920	-178.6155
34.872345	104.901	-178.9316
35.125042	104.886	-179.2098
35.379574	104.877	-179.4771
35.635948	104.872	-179.7622
35.894180	104.871	179.9138
36.154285	104.867	179.5422
36.416275	104.857	179.1320
36.680161	104.838	178.7048
36.945961	104.809	178.2905
37.213688	104.773	177.9182
37.483353	104.736	177.6026
37.754974	104.703	177.3377
38.028561	104.680	177.0930
38.304131	104.668	176.8194
38.581699	104.663	176.4698
38.861279	104.657	176.0179
39.142883	104.640	175.4722
39.426529	104.603	174.8837
39.712231	104.542	174.3288
40.000000	104.463	173.8843
40.289856	104.376	173.6027
40.581814	104.297	173.4869
40.875885	104.238	173.4847
41.172089	104.204	173.5145
41.470440	104.191	173.4997
41.770950	104.189	173.3968
42.073643	104.190	173.2062
42.378525	104.187	172.9561
42.685616	104.182	172.6711
