* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -28.9 dBFS, measurement signal peak level -28.9 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 15:28:51
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0217 ms (7.4 mm, 0.29 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: 32.4 ppm
* Measurement: IE600Velvet L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	114.381	-136.9345
20.299999	114.417	-137.9383
20.600000	114.449	-138.9118
20.900000	114.479	-139.8514
21.200001	114.508	-140.7591
21.400000	114.527	-141.3498
21.799999	114.565	-142.5088
22.000000	114.584	-143.0818
22.400000	114.622	-144.2229
22.700001	114.647	-145.0751
23.000000	114.671	-145.9218
23.299999	114.691	-146.7594
23.600000	114.708	-147.5845
24.000000	114.726	-148.6603
24.299999	114.737	-149.4456
24.700001	114.748	-150.4594
25.000000	114.755	-151.1933
25.400000	114.764	-152.1397
25.799999	114.773	-153.0615
26.200001	114.784	-153.9770
26.500000	114.792	-154.6679
26.900000	114.798	-155.5958
27.200001	114.799	-156.2893
27.600000	114.795	-157.1944
28.000000	114.786	-158.0619
28.500000	114.772	-159.0899
29.000000	114.759	-160.0755
29.500000	114.746	-161.0418
30.000000	114.730	-161.9893
30.400000	114.716	-162.7236
30.700001	114.705	-163.2574
31.100000	114.691	-163.9501
31.500000	114.678	-164.6308
32.000000	114.664	-165.4808
32.500000	114.649	-166.3373
33.000000	114.631	-167.1943
33.500000	114.609	-168.0396
34.000000	114.584	-168.8615
34.500000	114.557	-169.6516
35.000000	114.530	-170.4094
35.500000	114.503	-171.1444
36.000000	114.478	-171.8701
36.500000	114.451	-172.5913
37.000000	114.422	-173.2998
37.500000	114.390	-173.9847
38.200001	114.346	-174.9014
38.700001	114.315	-175.5349
39.500000	114.264	-176.5194
40.000000	114.229	-177.1136
40.599998	114.186	-177.8048
41.200001	114.142	-178.4765
41.799999	114.100	-179.1328
42.500000	114.049	-179.8834
43.099998	114.004	179.4850
43.700001	113.958	178.8699
44.400002	113.904	178.1808
45.000000	113.859	177.6082
45.500000	113.821	177.1358
46.200001	113.766	176.4846
46.799999	113.717	175.9492
47.500000	113.660	175.3560
48.200001	113.607	174.7777
48.700001	113.569	174.3667
49.400002	113.515	173.8024
50.000000	113.468	173.3383
50.799999	113.405	172.7436
51.500000	113.349	172.2370
52.200001	113.292	171.7418
53.000000	113.227	171.1885
53.799999	113.164	170.6459
54.500000	113.109	170.1837
55.200001	113.052	169.7411
56.000000	112.987	169.2667
57.000000	112.910	168.7063
58.000000	112.837	168.1436
59.000000	112.760	167.5894
60.000000	112.682	167.0713
60.799999	112.621	166.6714
61.500000	112.566	166.3267
62.200001	112.512	165.9917
63.000000	112.451	165.6223
64.000000	112.376	165.1724
65.000000	112.300	164.7397
66.000000	112.227	164.3260
67.000000	112.153	163.9253
68.000000	112.080	163.5378
69.000000	112.006	163.1642
70.000000	111.932	162.8095
71.000000	111.859	162.4687
72.000000	111.788	162.1452
73.000000	111.718	161.8382
74.000000	111.650	161.5338
75.000000	111.582	161.2361
76.199997	111.500	160.8946
77.500000	111.413	160.5414
78.800003	111.326	160.2116
80.000000	111.247	159.9252
81.199997	111.170	159.6468
82.500000	111.086	159.3583
83.800003	111.003	159.0857
85.000000	110.926	158.8517
86.199997	110.851	158.6234
87.500000	110.771	158.3870
88.500000	110.710	158.2100
90.000000	110.620	157.9580
91.199997	110.547	157.7674
92.500000	110.470	157.5798
93.800003	110.395	157.4000
95.000000	110.326	157.2358
96.199997	110.255	157.0841
97.500000	110.178	156.9345
98.800003	110.103	156.7974
100.000000	110.035	156.6724
101.500000	109.952	156.5291
103.000000	109.871	156.3850
104.400002	109.793	156.2569
106.000000	109.706	156.1480
107.500000	109.629	156.0510
109.000000	109.551	155.9272
110.599998	109.463	155.8169
112.000000	109.387	155.7881
113.800003	109.300	155.7655
115.000000	109.243	155.7216
117.199997	109.127	155.6568
118.000000	109.085	155.6679
120.599998	108.962	155.7536
122.000000	108.898	155.7925
124.099998	108.794	155.9271
125.000000	108.749	156.0590
126.500000	108.689	156.3663
128.000000	108.653	156.6911
131.500000	108.660	157.0677
132.000000	108.665	157.0525
134.000000	108.676	156.8601
136.000000	108.654	156.5583
138.000000	108.597	156.2649
140.000000	108.520	156.0104
143.000000	108.401	155.7025
145.000000	108.325	155.5540
147.500000	108.226	155.4623
150.000000	108.128	155.4436
152.500000	108.039	155.4193
155.000000	107.961	155.4190
157.500000	107.894	155.4539
160.000000	107.833	155.4867
162.500000	107.771	155.5108
165.000000	107.704	155.5451
167.500000	107.623	155.6000
170.000000	107.530	155.6761
172.500000	107.429	155.7598
175.000000	107.330	155.8579
177.500000	107.246	155.9592
180.000000	107.179	156.0617
182.500000	107.130	156.1764
185.000000	107.092	156.2978
187.500000	107.057	156.4069
190.000000	107.021	156.4952
192.500000	106.984	156.5740
195.000000	106.943	156.6532
197.500000	106.895	156.7409
200.000000	106.844	156.8328
203.000000	106.781	156.9491
206.000000	106.720	157.0665
209.000000	106.661	157.1854
212.000000	106.605	157.3100
214.000000	106.568	157.3979
218.000000	106.498	157.5801
220.000000	106.464	157.6680
224.000000	106.396	157.8335
227.000000	106.344	157.9468
230.000000	106.292	158.0466
233.000000	106.241	158.1466
236.000000	106.192	158.2625
240.000000	106.127	158.4423
243.000000	106.080	158.5858
247.000000	106.019	158.7751
250.000000	105.975	158.9141
254.000000	105.918	159.1072
258.000000	105.864	159.3126
262.000000	105.813	159.5368
265.000000	105.776	159.7161
269.000000	105.727	159.9611
272.000000	105.693	160.1417
276.000000	105.650	160.3813
280.000000	105.610	160.6017
285.000000	105.565	160.8708
290.000000	105.521	161.1298
295.000000	105.475	161.4163
300.000000	105.434	161.6922
304.000000	105.403	161.9259
307.000000	105.380	162.1064
311.000000	105.353	162.3638
315.000000	105.334	162.6324
320.000000	105.319	162.9506
325.000000	105.314	163.2385
330.000000	105.312	163.4429
335.000000	105.308	163.5567
340.000000	105.298	163.6095
345.000000	105.280	163.6356
350.000000	105.255	163.6687
355.000000	105.226	163.7365
360.000000	105.196	163.8269
365.000000	105.165	163.9312
370.000000	105.135	164.0365
375.000000	105.106	164.1523
382.000000	105.068	164.3375
387.000000	105.041	164.4746
395.000000	104.999	164.7130
400.000000	104.973	164.8728
406.000000	104.943	165.0573
412.000000	104.916	165.2383
418.000000	104.890	165.4191
425.000000	104.864	165.6364
431.000000	104.844	165.8243
437.000000	104.823	166.0159
444.000000	104.800	166.2394
450.000000	104.781	166.4310
455.000000	104.767	166.5880
462.000000	104.749	166.7969
468.000000	104.734	166.9695
475.000000	104.718	167.1790
482.000000	104.703	167.3975
487.000000	104.692	167.5536
494.000000	104.678	167.7653
500.000000	104.667	167.9428
508.000000	104.654	168.1774
515.000000	104.644	168.3836
522.000000	104.636	168.5845
530.000000	104.627	168.8139
538.000000	104.619	169.0459
545.000000	104.614	169.2520
552.000000	104.609	169.4567
560.000000	104.606	169.6813
570.000000	104.601	169.9554
580.000000	104.598	170.2351
590.000000	104.600	170.5194
600.000000	104.603	170.7997
608.000000	104.606	171.0186
615.000000	104.608	171.2180
622.000000	104.612	171.4191
630.000000	104.617	171.6418
640.000000	104.625	171.9175
650.000000	104.635	172.1971
660.000000	104.649	172.4807
670.000000	104.664	172.7625
680.000000	104.680	173.0403
690.000000	104.698	173.3272
700.000000	104.718	173.6193
710.000000	104.739	173.9046
720.000000	104.762	174.1876
730.000000	104.788	174.4703
740.000000	104.816	174.7450
750.000000	104.846	175.0252
762.000000	104.885	175.3729
775.000000	104.930	175.7455
788.000000	104.978	176.1107
800.000000	105.027	176.4468
812.000000	105.077	176.7791
825.000000	105.136	177.1371
838.000000	105.200	177.4888
850.000000	105.263	177.7964
862.000000	105.331	178.0929
875.000000	105.407	178.4136
885.000000	105.466	178.6514
900.000000	105.557	178.9900
912.000000	105.636	179.2358
925.000000	105.726	179.4760
938.000000	105.816	179.6906
950.000000	105.890	179.8635
962.000000	105.950	-179.9907
975.000000	106.024	-179.8670
988.000000	106.131	-179.7741
1000.000000	106.247	-179.7192
1015.000000	106.396	-179.7049
1030.000000	106.540	-179.7544
1044.000000	106.664	-179.8557
1060.000000	106.797	179.9486
1075.000000	106.916	179.6882
1090.000000	107.027	179.3600
1106.000000	107.133	178.9541
1120.000000	107.213	178.5816
1138.000000	107.300	178.1368
1150.000000	107.351	177.8861
1172.000000	107.441	177.5322
1180.000000	107.477	177.4308
1206.000000	107.610	177.1159
1220.000000	107.691	176.9178
1241.000000	107.824	176.5548
1250.000000	107.883	176.3746
1265.000000	107.982	176.0476
1280.000000	108.083	175.6948
1315.000000	108.317	174.7859
1320.000000	108.350	174.6479
1340.000000	108.479	174.0786
1360.000000	108.606	173.4833
1380.000000	108.731	172.8730
1400.000000	108.852	172.2508
1430.000000	109.033	171.2984
1450.000000	109.152	170.6588
1475.000000	109.299	169.8611
1500.000000	109.444	169.0586
1525.000000	109.587	168.2515
1550.000000	109.731	167.4396
1575.000000	109.874	166.6168
1600.000000	110.018	165.7713
1625.000000	110.163	164.9085
1650.000000	110.311	164.0210
1675.000000	110.461	163.1082
1700.000000	110.611	162.1710
1725.000000	110.760	161.2097
1750.000000	110.909	160.2164
1775.000000	111.058	159.1864
1800.000000	111.206	158.1246
1825.000000	111.352	157.0284
1850.000000	111.498	155.8990
1875.000000	111.643	154.7357
1900.000000	111.786	153.5344
1925.000000	111.927	152.2979
1950.000000	112.067	151.0274
1975.000000	112.203	149.7258
2000.000000	112.336	148.3913
2030.000000	112.490	146.7431
2060.000000	112.637	145.0398
2090.000000	112.777	143.2830
2120.000000	112.911	141.4763
2140.000000	112.995	140.2457
2180.000000	113.152	137.7150
2200.000000	113.223	136.4244
2240.000000	113.351	133.7914
2270.000000	113.436	131.7768
2300.000000	113.508	129.7490
2330.000000	113.566	127.7151
2360.000000	113.613	125.6758
2400.000000	113.655	122.9605
2430.000000	113.669	120.9410
2470.000000	113.667	118.2827
2500.000000	113.651	116.3225
2540.000000	113.609	113.7687
2580.000000	113.546	111.3154
2620.000000	113.469	108.9794
2650.000000	113.406	107.3190
2690.000000	113.317	105.2453
2720.000000	113.252	103.7801
2760.000000	113.174	101.8847
2800.000000	113.102	99.9849
2850.000000	113.001	97.5490
2900.000000	112.874	95.1070
2950.000000	112.720	92.7703
3000.000000	112.549	90.5975
3040.000000	112.403	88.9997
3070.000000	112.294	87.8753
3110.000000	112.151	86.4733
3150.000000	112.015	85.1741
3200.000000	111.860	83.6723
3250.000000	111.721	82.3004
3300.000000	111.597	81.0462
3350.000000	111.477	79.9024
3400.000000	111.351	78.8602
3450.000000	111.219	77.9140
3500.000000	111.084	77.0554
3550.000000	110.953	76.2640
3600.000000	110.836	75.5355
3650.000000	110.738	74.8633
3700.000000	110.664	74.2417
3750.000000	110.615	73.6861
3820.000000	110.598	72.9731
3870.000000	110.616	72.4718
3950.000000	110.672	71.5701
4000.000000	110.704	70.8988
4060.000000	110.710	70.0104
4120.000000	110.690	69.0505
4180.000000	110.651	68.0567
4250.000000	110.598	66.8729
4310.000000	110.557	65.8333
4370.000000	110.521	64.7776
4440.000000	110.482	63.5730
4500.000000	110.452	62.6006
4550.000000	110.432	61.8604
4620.000000	110.417	60.9494
4680.000000	110.428	60.2641
4750.000000	110.476	59.5257
4820.000000	110.566	58.7733
4870.000000	110.653	58.1740
4940.000000	110.808	57.1705
5000.000000	110.962	56.1157
5080.000000	111.179	54.3738
5150.000000	111.358	52.5051
5220.000000	111.505	50.2991
5300.000000	111.609	47.3982
5380.000000	111.615	44.2111
5450.000000	111.524	41.3542
5520.000000	111.336	38.6563
5600.000000	111.009	36.1030
