* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -28.3 dBFS, measurement signal peak level -22.1 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 15:27:07
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.2515 ms (-86 mm, -3.4 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: 6.1 ppm
* Measurement: IE600Velvet L3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	114.180	-137.0702
20.299999	114.195	-137.3665
20.600000	114.308	-137.6755
20.900000	114.477	-138.2843
21.200001	114.644	-139.2428
21.400000	114.736	-140.0084
21.799999	114.854	-141.5779
22.000000	114.886	-142.2800
22.400000	114.926	-143.4091
22.700001	114.957	-144.0615
23.000000	114.999	-144.6587
23.299999	115.045	-145.3042
23.600000	115.084	-146.0555
24.000000	115.102	-147.1982
24.299999	115.080	-148.0664
24.700001	115.010	-149.0531
25.000000	114.949	-149.5831
25.400000	114.902	-150.0687
25.799999	114.924	-150.6097
26.200001	114.992	-151.5931
26.500000	115.031	-152.6958
26.900000	115.012	-154.4208
27.200001	114.936	-155.6051
27.600000	114.797	-156.6365
28.000000	114.713	-157.0076
28.500000	114.783	-157.3969
29.000000	114.942	-158.7306
29.500000	114.963	-160.8070
30.000000	114.789	-162.2293
30.400000	114.637	-162.1926
30.700001	114.613	-161.6368
31.100000	114.741	-160.9603
31.500000	114.976	-161.1505
32.000000	115.199	-162.7722
32.500000	115.202	-164.9143
33.000000	115.037	-166.3726
33.500000	114.869	-166.8055
34.000000	114.804	-166.8029
34.500000	114.819	-167.0540
35.000000	114.840	-167.7065
35.500000	114.840	-168.5657
36.000000	114.828	-169.5062
36.500000	114.807	-170.5367
37.000000	114.761	-171.6205
37.500000	114.682	-172.5867
38.200001	114.563	-173.4297
38.700001	114.525	-173.7563
39.500000	114.551	-174.5726
40.000000	114.549	-175.4431
40.599998	114.468	-176.4408
41.200001	114.350	-176.9103
