* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -29.4 dBFS, measurement signal peak level -29.4 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 15:28:24
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0519 ms (-18 mm, -0.7 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -2.7 ppm
* Measurement: IE600Velvet L5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	115.024	-135.7459
20.299999	115.067	-136.7559
20.600000	115.104	-137.7525
20.900000	115.136	-138.7212
21.200001	115.165	-139.6492
21.400000	115.183	-140.2441
21.799999	115.221	-141.3918
22.000000	115.242	-141.9556
22.400000	115.285	-143.0882
22.700001	115.316	-143.9495
23.000000	115.342	-144.8140
23.299999	115.362	-145.6674
23.600000	115.379	-146.4955
24.000000	115.397	-147.5494
24.299999	115.411	-148.3077
24.700001	115.432	-149.2975
25.000000	115.449	-150.0388
25.400000	115.470	-151.0369
25.799999	115.486	-152.0411
26.200001	115.496	-153.0328
26.500000	115.500	-153.7559
26.900000	115.504	-154.6832
27.200001	115.506	-155.3533
27.600000	115.512	-156.2280
28.000000	115.519	-157.1026
28.500000	115.524	-158.2121
29.000000	115.520	-159.3140
29.500000	115.507	-160.3553
30.000000	115.493	-161.3172
30.400000	115.487	-162.0549
30.700001	115.483	-162.6091
31.100000	115.478	-163.3587
31.500000	115.467	-164.1102
32.000000	115.446	-165.0143
32.500000	115.424	-165.8573
33.000000	115.406	-166.6643
33.500000	115.391	-167.4778
34.000000	115.372	-168.3073
34.500000	115.347	-169.1272
35.000000	115.317	-169.9106
35.500000	115.287	-170.6521
36.000000	115.257	-171.3602
36.500000	115.230	-172.0447
37.000000	115.205	-172.7168
37.500000	115.182	-173.3904
38.200001	115.151	-174.3462
38.700001	115.125	-175.0231
39.500000	115.079	-176.0620
40.000000	115.048	-176.6849
40.599998	115.009	-177.4137
41.200001	114.968	-178.1168
41.799999	114.928	-178.7898
42.500000	114.881	-179.5507
43.099998	114.840	179.8065
43.700001	114.796	179.1786
44.400002	114.744	178.4793
45.000000	114.700	177.9066
45.500000	114.664	177.4398
46.200001	114.613	176.7916
46.799999	114.568	176.2414
47.500000	114.515	175.6143
48.200001	114.462	175.0077
48.700001	114.424	174.5856
49.400002	114.372	174.0104
50.000000	114.327	173.5331
50.799999	114.269	172.9112
51.500000	114.216	172.3749
52.200001	114.160	171.8589
53.000000	114.099	171.3007
53.799999	114.042	170.7507
54.500000	113.991	170.2736
55.200001	113.938	169.8191
56.000000	113.878	169.3251
57.000000	113.803	168.7250
58.000000	113.727	168.1570
59.000000	113.654	167.6065
60.000000	113.578	167.0665
60.799999	113.517	166.6591
61.500000	113.465	166.3156
62.200001	113.414	165.9715
63.000000	113.355	165.5784
64.000000	113.279	165.1136
65.000000	113.206	164.6790
66.000000	113.135	164.2532
67.000000	113.064	163.8383
68.000000	112.993	163.4362
69.000000	112.921	163.0532
70.000000	112.852	162.6862
71.000000	112.784	162.3327
72.000000	112.717	161.9966
73.000000	112.651	161.6689
74.000000	112.585	161.3471
75.000000	112.516	161.0410
76.199997	112.435	160.7148
77.500000	112.352	160.3752
78.800003	112.270	160.0217
80.000000	112.191	159.7239
81.199997	112.115	159.4525
82.500000	112.035	159.1662
83.800003	111.956	158.8816
85.000000	111.882	158.6325
86.199997	111.809	158.4017
87.500000	111.733	158.1562
88.500000	111.675	157.9696
90.000000	111.588	157.7070
91.199997	111.519	157.5139
92.500000	111.446	157.3148
93.800003	111.373	157.1243
95.000000	111.306	156.9592
96.199997	111.239	156.8025
97.500000	111.168	156.6443
98.800003	111.097	156.5005
100.000000	111.034	156.3766
101.500000	110.956	156.2256
103.000000	110.878	156.0833
104.400002	110.807	155.9539
106.000000	110.726	155.8148
107.500000	110.652	155.6938
109.000000	110.580	155.5817
110.599998	110.503	155.4690
112.000000	110.436	155.3827
113.800003	110.352	155.2941
115.000000	110.298	155.2458
117.199997	110.202	155.1538
118.000000	110.168	155.1216
120.599998	110.060	155.0292
122.000000	110.002	154.9864
124.099998	109.917	154.9272
125.000000	109.880	154.9017
126.500000	109.820	154.8710
128.000000	109.762	154.8492
131.500000	109.630	154.8079
132.000000	109.611	154.8058
134.000000	109.534	154.8068
136.000000	109.459	154.8198
138.000000	109.384	154.8287
140.000000	109.308	154.8531
143.000000	109.196	154.9061
145.000000	109.120	154.9343
147.500000	109.022	155.0108
150.000000	108.931	155.1116
152.500000	108.845	155.2380
155.000000	108.770	155.4158
157.500000	108.702	155.5784
160.000000	108.638	155.8157
162.500000	108.581	156.0751
165.000000	108.536	156.4291
167.500000	108.504	156.6583
170.000000	108.467	156.7597
172.500000	108.413	156.7174
175.000000	108.339	156.6601
177.500000	108.268	156.6196
180.000000	108.204	156.5667
182.500000	108.147	156.5703
185.000000	108.098	156.6359
187.500000	108.055	156.7231
190.000000	108.012	156.8121
192.500000	107.967	156.9155
195.000000	107.918	157.0304
197.500000	107.867	157.1520
200.000000	107.812	157.2979
203.000000	107.744	157.4886
206.000000	107.677	157.6661
209.000000	107.620	157.8579
212.000000	107.562	158.0808
214.000000	107.521	158.2366
218.000000	107.451	158.5106
220.000000	107.424	158.6445
224.000000	107.368	158.9276
227.000000	107.323	159.1039
230.000000	107.284	159.2582
233.000000	107.246	159.4131
236.000000	107.205	159.5480
240.000000	107.149	159.7076
243.000000	107.107	159.8384
247.000000	107.050	160.0152
250.000000	107.010	160.1585
254.000000	106.956	160.3780
