* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -27.5 dBFS, measurement signal peak level -26.8 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 15:30:31
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0264 ms (-9.1 mm, -0.36 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: 15.2 ppm
* Measurement: IE600Velvet R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	116.345	-151.0689
20.299999	116.365	-151.9279
20.600000	116.382	-152.7618
20.900000	116.396	-153.5690
21.200001	116.411	-154.3563
21.400000	116.421	-154.8771
21.799999	116.440	-155.9264
22.000000	116.448	-156.4582
22.400000	116.459	-157.5272
22.700001	116.463	-158.3179
23.000000	116.466	-159.0882
23.299999	116.469	-159.8405
23.600000	116.475	-160.5881
24.000000	116.486	-161.6044
24.299999	116.493	-162.3869
24.700001	116.493	-163.4320
25.000000	116.486	-164.1859
25.400000	116.474	-165.1152
25.799999	116.467	-165.9612
26.200001	116.470	-166.7737
26.500000	116.478	-167.3971
26.900000	116.486	-168.2691
27.200001	116.487	-168.9442
27.600000	116.476	-169.8344
28.000000	116.454	-170.6721
28.500000	116.419	-171.6187
29.000000	116.384	-172.4743
29.500000	116.351	-173.2769
30.000000	116.322	-174.0548
30.400000	116.302	-174.6773
30.700001	116.287	-175.1538
31.100000	116.267	-175.8067
31.500000	116.243	-176.4722
32.000000	116.209	-177.2928
32.500000	116.176	-178.0806
33.000000	116.147	-178.8560
33.500000	116.123	-179.6602
34.000000	116.096	179.4992
34.500000	116.059	178.6630
35.000000	116.013	177.8809
35.500000	115.967	177.1674
36.000000	115.924	176.5038
36.500000	115.882	175.8671
37.000000	115.841	175.2484
37.500000	115.800	174.6476
38.200001	115.742	173.8398
38.700001	115.701	173.2904
39.500000	115.638	172.4551
40.000000	115.603	171.9403
40.599998	115.560	171.3112
41.200001	115.515	170.6800
41.799999	115.470	170.0621
42.500000	115.419	169.3444
43.099998	115.370	168.7242
43.700001	115.314	168.1300
44.400002	115.246	167.5020
45.000000	115.190	166.9913
45.500000	115.143	166.5624
46.200001	115.071	165.9778
46.799999	115.009	165.5173
47.500000	114.943	164.9869
48.200001	114.878	164.4209
48.700001	114.828	164.0288
49.400002	114.761	163.5450
50.000000	114.715	163.1494
50.799999	114.659	162.5463
51.500000	114.600	161.9924
52.200001	114.534	161.4996
53.000000	114.465	160.9810
53.799999	114.397	160.4518
54.500000	114.333	160.0029
55.200001	114.267	159.5823
56.000000	114.189	159.1210
57.000000	114.091	158.5779
58.000000	113.995	158.0670
59.000000	113.900	157.5779
60.000000	113.806	157.1569
60.799999	113.737	156.8647
61.500000	113.684	156.6046
62.200001	113.633	156.3160
63.000000	113.571	155.9665
64.000000	113.490	155.5765
65.000000	113.417	155.2301
66.000000	113.353	154.8250
67.000000	113.283	154.3625
68.000000	113.205	153.9018
69.000000	113.121	153.4705
70.000000	113.035	153.0873
71.000000	112.951	152.7448
72.000000	112.870	152.4312
73.000000	112.793	152.1392
74.000000	112.719	151.8539
75.000000	112.645	151.5771
76.199997	112.556	151.2576
77.500000	112.460	150.9196
78.800003	112.362	150.5925
80.000000	112.271	150.2996
81.199997	112.180	150.0216
82.500000	112.083	149.7460
83.800003	111.991	149.5002
85.000000	111.907	149.2860
86.199997	111.823	149.0909
87.500000	111.731	148.9101
88.500000	111.661	148.7791
90.000000	111.558	148.5885
91.199997	111.478	148.4552
92.500000	111.398	148.2981
93.800003	111.319	148.1278
95.000000	111.248	148.0123
96.199997	111.182	147.8887
97.500000	111.109	147.7310
98.800003	111.033	147.5818
100.000000	110.962	147.4484
101.500000	110.870	147.2854
103.000000	110.778	147.1617
104.400002	110.694	147.0612
106.000000	110.598	146.9763
107.500000	110.510	146.9334
109.000000	110.429	146.9114
110.599998	110.347	146.9001
112.000000	110.283	146.9052
113.800003	110.213	146.8652
115.000000	110.167	146.7846
117.199997	110.077	146.5950
118.000000	110.044	146.5240
120.599998	109.931	146.3046
122.000000	109.866	146.2021
124.099998	109.760	146.0871
125.000000	109.713	146.0507
126.500000	109.637	145.9987
128.000000	109.564	145.9534
131.500000	109.404	145.9005
132.000000	109.381	145.9012
134.000000	109.287	145.9219
136.000000	109.188	145.9531
138.000000	109.091	145.9813
140.000000	108.998	146.0286
143.000000	108.865	146.2115
145.000000	108.773	146.4321
147.500000	108.661	146.8034
150.000000	108.573	147.2393
152.500000	108.532	147.6711
155.000000	108.532	147.9660
157.500000	108.544	147.9569
160.000000	108.534	147.7274
162.500000	108.497	147.4453
165.000000	108.435	147.2357
167.500000	108.349	147.1283
170.000000	108.248	147.0602
172.500000	108.135	147.0055
175.000000	108.021	146.9764
177.500000	107.920	146.9947
180.000000	107.836	147.0514
182.500000	107.770	147.1419
185.000000	107.714	147.2307
187.500000	107.660	147.3219
190.000000	107.606	147.4288
192.500000	107.556	147.5518
195.000000	107.508	147.6720
197.500000	107.455	147.7722
200.000000	107.394	147.8494
203.000000	107.315	147.9250
206.000000	107.236	148.0139
209.000000	107.164	148.1558
212.000000	107.097	148.3337
214.000000	107.052	148.4446
218.000000	106.959	148.6206
220.000000	106.913	148.6969
224.000000	106.823	148.8765
227.000000	106.759	149.0546
230.000000	106.695	149.2508
233.000000	106.630	149.4478
236.000000	106.563	149.6369
240.000000	106.479	149.8820
243.000000	106.422	150.0752
247.000000	106.348	150.3582
250.000000	106.291	150.5895
254.000000	106.216	150.9145
258.000000	106.146	151.2773
262.000000	106.081	151.6837
265.000000	106.034	152.0212
269.000000	105.978	152.5146
272.000000	105.944	152.8950
276.000000	105.912	153.4167
280.000000	105.902	153.9658
285.000000	105.929	154.5656
290.000000	105.982	154.8035
295.000000	106.011	154.6661
300.000000	105.988	154.4236
304.000000	105.947	154.2937
307.000000	105.909	154.2579
311.000000	105.856	154.2700
315.000000	105.803	154.3319
320.000000	105.742	154.4813
325.000000	105.685	154.6704
330.000000	105.631	154.8622
335.000000	105.577	155.0641
340.000000	105.525	155.3000
345.000000	105.478	155.5631
350.000000	105.435	155.8135
355.000000	105.395	156.0257
360.000000	105.356	156.2207
365.000000	105.316	156.4598
370.000000	105.277	156.7494
375.000000	105.239	157.0430
382.000000	105.192	157.3796
387.000000	105.163	157.5682
395.000000	105.117	157.9076
400.000000	105.086	158.1824
406.000000	105.048	158.5194
412.000000	105.014	158.8176
418.000000	104.987	159.0679
425.000000	104.958	159.3682
431.000000	104.934	159.6556
437.000000	104.909	159.9510
444.000000	104.880	160.2792
450.000000	104.856	160.5502
455.000000	104.838	160.7812
462.000000	104.815	161.1084
468.000000	104.796	161.3830
475.000000	104.776	161.6985
482.000000	104.756	162.0172
487.000000	104.742	162.2456
494.000000	104.723	162.5623
500.000000	104.708	162.8306
508.000000	104.691	163.1771
515.000000	104.677	163.4777
522.000000	104.664	163.7852
530.000000	104.650	164.1422
538.000000	104.638	164.4891
545.000000	104.629	164.7825
552.000000	104.622	165.0790
560.000000	104.615	165.4321
570.000000	104.609	165.8710
580.000000	104.605	166.2875
590.000000	104.601	166.7099
600.000000	104.597	167.1625
608.000000	104.596	167.5174
615.000000	104.598	167.8142
622.000000	104.604	168.0994
630.000000	104.610	168.4244
640.000000	104.613	168.8586
650.000000	104.613	169.3285
660.000000	104.620	169.7716
670.000000	104.636	170.1770
680.000000	104.658	170.5767
690.000000	104.678	170.9915
700.000000	104.692	171.4335
710.000000	104.705	171.8902
720.000000	104.722	172.3305
730.000000	104.747	172.7500
740.000000	104.777	173.1628
750.000000	104.810	173.5831
762.000000	104.849	174.0982
775.000000	104.892	174.6688
788.000000	104.937	175.2349
800.000000	104.983	175.7398
812.000000	105.034	176.2446
825.000000	105.092	176.7923
838.000000	105.154	177.3263
850.000000	105.215	177.8140
862.000000	105.280	178.2841
875.000000	105.355	178.7748
885.000000	105.414	179.1379
900.000000	105.502	179.6678
912.000000	105.579	-179.9227
925.000000	105.667	-179.5063
938.000000	105.757	-179.1342
950.000000	105.830	-178.8301
962.000000	105.888	-178.5542
975.000000	105.955	-178.2823
988.000000	106.053	-178.0489
1000.000000	106.160	-177.8859
1015.000000	106.297	-177.7563
1030.000000	106.420	-177.6770
1044.000000	106.510	-177.6060
