* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -27.2 dBFS, measurement signal peak level -27.5 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 15:31:25
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.2546 ms (-87 mm, -3.44 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset
* Measurement: IE600Velvet R3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	116.986	-148.3341
20.299999	117.014	-149.2186
20.600000	117.037	-150.0774
20.900000	117.056	-150.9034
21.200001	117.070	-151.6880
21.400000	117.078	-152.1875
21.799999	117.092	-153.1427
22.000000	117.099	-153.6076
22.400000	117.113	-154.5323
22.700001	117.122	-155.2285
23.000000	117.128	-155.9255
23.299999	117.131	-156.6199
23.600000	117.132	-157.3107
24.000000	117.131	-158.2309
24.299999	117.129	-158.9225
24.700001	117.121	-159.8379
25.000000	117.112	-160.5062
25.400000	117.100	-161.3561
25.799999	117.093	-162.1642
26.200001	117.094	-162.9664
26.500000	117.099	-163.5901
26.900000	117.104	-164.4639
27.200001	117.101	-165.1361
27.600000	117.087	-166.0077
28.000000	117.063	-166.8005
28.500000	117.035	-167.6582
29.000000	117.018	-168.4324
29.500000	117.011	-169.2209
30.000000	116.999	-170.0541
30.400000	116.981	-170.7252
30.700001	116.963	-171.2112
31.100000	116.934	-171.8226
31.500000	116.903	-172.3903
32.000000	116.866	-173.0529
32.500000	116.837	-173.6931
33.000000	116.814	-174.3554
33.500000	116.793	-175.0794
34.000000	116.765	-175.8621
34.500000	116.723	-176.6448
35.000000	116.672	-177.3564
35.500000	116.621	-177.9752
36.000000	116.580	-178.5402
36.500000	116.547	-179.1047
37.000000	116.515	-179.6875
37.500000	116.480	179.7287
38.200001	116.427	178.9503
38.700001	116.390	178.4251
39.500000	116.330	177.6057
40.000000	116.288	177.0995
40.599998	116.229	176.5266
41.200001	116.166	176.0323
41.799999	116.111	175.6125
42.500000	116.063	175.1229
43.099998	116.026	174.6340
43.700001	115.982	174.0971
44.400002	115.920	173.4875
45.000000	115.864	173.0149
45.500000	115.817	172.6486
46.200001	115.755	172.1464
46.799999	115.701	171.7115
47.500000	115.634	171.2219
48.200001	115.567	170.7850
48.700001	115.523	170.4933
49.400002	115.467	170.0696
50.000000	115.417	169.6888
50.799999	115.342	169.2199
51.500000	115.278	168.8611
52.200001	115.219	168.4973
53.000000	115.147	168.0581
53.799999	115.069	167.6625
54.500000	115.003	167.3754
55.200001	114.943	167.0987
56.000000	114.874	166.7537
57.000000	114.782	166.3235
58.000000	114.686	165.9428
59.000000	114.589	165.6334
60.000000	114.500	165.4075
60.799999	114.439	165.2100
61.500000	114.385	165.0070
62.200001	114.327	164.8147
63.000000	114.263	164.6315
64.000000	114.190	164.4221
65.000000	114.125	164.1832
66.000000	114.059	163.8959
67.000000	113.987	163.5961
68.000000	113.911	163.3231
69.000000	113.834	163.0622
70.000000	113.754	162.8154
71.000000	113.672	162.6203
72.000000	113.595	162.4599
73.000000	113.522	162.2924
74.000000	113.447	162.1194
75.000000	113.369	161.9603
76.199997	113.275	161.8098
77.500000	113.177	161.6956
