* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -28.0 dBFS, measurement signal peak level -27.5 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 15:31:51
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0925 ms (-32 mm, -1.25 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -27.9 ppm
* Measurement: IE600Velvet R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	117.186	-148.0971
20.299999	117.238	-149.1433
20.600000	117.262	-150.2629
20.900000	117.259	-151.3414
21.200001	117.240	-152.2969
21.400000	117.227	-152.8548
21.799999	117.216	-153.8333
22.000000	117.220	-154.2949
22.400000	117.243	-155.2524
22.700001	117.264	-156.0253
23.000000	117.279	-156.8254
23.299999	117.288	-157.6150
23.600000	117.292	-158.3644
24.000000	117.300	-159.2938
24.299999	117.312	-159.9633
24.700001	117.332	-160.8672
25.000000	117.346	-161.5684
25.400000	117.357	-162.5185
25.799999	117.356	-163.4437
26.200001	117.348	-164.3099
26.500000	117.341	-164.9204
26.900000	117.332	-165.7015
27.200001	117.326	-166.2767
27.600000	117.317	-167.0385
28.000000	117.304	-167.7886
28.500000	117.284	-168.6953
29.000000	117.265	-169.5714
29.500000	117.247	-170.4440
30.000000	117.228	-171.3334
30.400000	117.209	-172.0527
30.700001	117.193	-172.5886
31.100000	117.167	-173.2895
31.500000	117.139	-173.9703
32.000000	117.102	-174.7945
32.500000	117.064	-175.5902
33.000000	117.024	-176.3493
33.500000	116.984	-177.0631
34.000000	116.947	-177.7404
34.500000	116.915	-178.4062
35.000000	116.882	-179.0784
35.500000	116.848	-179.7493
36.000000	116.810	179.6029
36.500000	116.773	178.9836
37.000000	116.739	178.3717
37.500000	116.704	177.7452
38.200001	116.648	176.8713
38.700001	116.603	176.3027
39.500000	116.542	175.4906
40.000000	116.513	174.9641
40.599998	116.473	174.2663
41.200001	116.418	173.5749
41.799999	116.357	172.9890
42.500000	116.301	172.4000
43.099998	116.264	171.8468
43.700001	116.222	171.2171
44.400002	116.153	170.4977
45.000000	116.085	169.9799
45.500000	116.032	169.6146
46.200001	115.968	169.1391
46.799999	115.920	168.7141
47.500000	115.865	168.1809
48.200001	115.807	167.6323
48.700001	115.765	167.2433
49.400002	115.705	166.7019
50.000000	115.653	166.2433
50.799999	115.581	165.6609
51.500000	115.518	165.1828
52.200001	115.455	164.7214
53.000000	115.384	164.2207
53.799999	115.314	163.7604
54.500000	115.254	163.3803
55.200001	115.191	163.0225
56.000000	115.116	162.6690
57.000000	115.029	162.2742
58.000000	114.942	161.8342
59.000000	114.846	161.4261
60.000000	114.759	161.0411
60.799999	114.691	160.6984
61.500000	114.632	160.4001
62.200001	114.576	160.1072
63.000000	114.514	159.7759
64.000000	114.441	159.3947
65.000000	114.373	159.0267
66.000000	114.304	158.6724
67.000000	114.237	158.3231
68.000000	114.161	157.9566
69.000000	114.080	157.6327
70.000000	114.003	157.3220
71.000000	113.926	156.9812
72.000000	113.846	156.6552
73.000000	113.767	156.3646
74.000000	113.691	156.0985
75.000000	113.617	155.8535
76.199997	113.528	155.5688
77.500000	113.429	155.2891
78.800003	113.331	155.0478
80.000000	113.245	154.8346
81.199997	113.162	154.6137
82.500000	113.073	154.3658
83.800003	112.982	154.1448
85.000000	112.898	153.9755
86.199997	112.815	153.8350
87.500000	112.730	153.6991
88.500000	112.666	153.5919
90.000000	112.572	153.4142
91.199997	112.492	153.2652
92.500000	112.402	153.1284
93.800003	112.313	153.0181
95.000000	112.232	152.9150
96.199997	112.154	152.8071
97.500000	112.072	152.6942
98.800003	111.994	152.6064
100.000000	111.927	152.5601
101.500000	111.847	152.5350
103.000000	111.765	152.5445
104.400002	111.688	152.5613
106.000000	111.598	152.5553
107.500000	111.514	152.5042
109.000000	111.431	152.4261
110.599998	111.345	152.3615
112.000000	111.276	152.3394
113.800003	111.189	152.3317
115.000000	111.131	152.3465
117.199997	111.025	152.4053
118.000000	110.987	152.4133
120.599998	110.868	152.4922
122.000000	110.812	152.5047
124.099998	110.725	152.5167
125.000000	110.688	152.5226
126.500000	110.624	152.5278
128.000000	110.556	152.5498
131.500000	110.401	152.6361
132.000000	110.379	152.6434
134.000000	110.289	152.6784
136.000000	110.197	152.7488
138.000000	110.106	152.8623
140.000000	110.016	153.0139
143.000000	109.887	153.2645
145.000000	109.802	153.4327
147.500000	109.693	153.6744
150.000000	109.588	153.9343
152.500000	109.494	154.3054
155.000000	109.429	154.7246
157.500000	109.383	155.1674
160.000000	109.364	155.5129
162.500000	109.339	155.6035
165.000000	109.290	155.6559
167.500000	109.222	155.7454
170.000000	109.137	155.8371
172.500000	109.033	155.9551
175.000000	108.928	156.1461
177.500000	108.843	156.4135
180.000000	108.786	156.7062
182.500000	108.752	156.9483
185.000000	108.722	157.0916
187.500000	108.685	157.1560
190.000000	108.642	157.2152
192.500000	108.597	157.3109
195.000000	108.547	157.4458
197.500000	108.487	157.6046
200.000000	108.419	157.7724
203.000000	108.336	157.9844
206.000000	108.258	158.2175
209.000000	108.188	158.4776
212.000000	108.122	158.7656
214.000000	108.076	158.9604
218.000000	107.983	159.3103
220.000000	107.938	159.4719
224.000000	107.854	159.8207
227.000000	107.790	160.1202
230.000000	107.724	160.4347
233.000000	107.661	160.7509
236.000000	107.602	161.0569
240.000000	107.529	161.4401
243.000000	107.476	161.7224
247.000000	107.406	162.1114
250.000000	107.356	162.4159
254.000000	107.289	162.8430
258.000000	107.222	163.2734
262.000000	107.156	163.6990
265.000000	107.109	164.0192
269.000000	107.048	164.4510
272.000000	107.002	164.7809
276.000000	106.940	165.2202
280.000000	106.878	165.6647
285.000000	106.801	166.2761
290.000000	106.725	166.9873
295.000000	106.657	167.7994
300.000000	106.612	168.7263
304.000000	106.606	169.4954
307.000000	106.621	170.0081
311.000000	106.657	170.5031
315.000000	106.692	170.7578
320.000000	106.706	170.8680
325.000000	106.683	170.9506
330.000000	106.639	171.1100
335.000000	106.585	171.3684
340.000000	106.531	171.7118
345.000000	106.480	172.1044
350.000000	106.433	172.5067
355.000000	106.388	172.9018
360.000000	106.344	173.3241
365.000000	106.303	173.7871
370.000000	106.263	174.2492
375.000000	106.224	174.6962
382.000000	106.174	175.3021
387.000000	106.143	175.7465
395.000000	106.094	176.4775
400.000000	106.063	176.9374
406.000000	106.028	177.4855
412.000000	105.995	178.0265
418.000000	105.963	178.5721
425.000000	105.929	179.2064
431.000000	105.903	179.7408
437.000000	105.878	-179.7288
444.000000	105.850	-179.1106
450.000000	105.826	-178.5757
455.000000	105.806	-178.1267
462.000000	105.780	-177.5066
468.000000	105.758	-176.9810
475.000000	105.736	-176.3648
482.000000	105.717	-175.7573
487.000000	105.704	-175.3321
494.000000	105.686	-174.7333
500.000000	105.671	-174.2083
508.000000	105.650	-173.5037
515.000000	105.634	-172.8948
522.000000	105.619	-172.2961
