* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -28.0 dBFS, measurement signal peak level -27.8 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 15:32:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.9215 ms (-316 mm, -(1 ft 0.44 in)) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: 56.8 ppm
* Measurement: IE600Velvet R5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	117.536	-146.7482
20.299999	117.563	-147.8087
20.600000	117.575	-148.7830
20.900000	117.583	-149.6416
21.200001	117.595	-150.4009
21.400000	117.608	-150.8728
21.799999	117.639	-151.7866
22.000000	117.657	-152.2435
22.400000	117.689	-153.1651
22.700001	117.709	-153.8539
23.000000	117.724	-154.5307
23.299999	117.736	-155.1909
23.600000	117.745	-155.8342
24.000000	117.754	-156.6726
24.299999	117.761	-157.2970
24.700001	117.770	-158.1456
25.000000	117.776	-158.8099
25.400000	117.778	-159.7421
25.799999	117.768	-160.7062
26.200001	117.745	-161.6480
26.500000	117.721	-162.3051
26.900000	117.689	-163.0944
27.200001	117.671	-163.6314
27.600000	117.659	-164.3156
28.000000	117.659	-165.0128
28.500000	117.666	-165.9426
29.000000	117.669	-166.9175
29.500000	117.661	-167.8795
30.000000	117.644	-168.7800
30.400000	117.627	-169.4420
30.700001	117.613	-169.9057
31.100000	117.593	-170.4882
31.500000	117.573	-171.0410
32.000000	117.546	-171.7030
32.500000	117.516	-172.3399
33.000000	117.484	-172.9601
33.500000	117.451	-173.5806
34.000000	117.415	-174.2141
34.500000	117.375	-174.8546
35.000000	117.331	-175.4852
35.500000	117.287	-176.0993
36.000000	117.246	-176.7053
36.500000	117.208	-177.3113
37.000000	117.172	-177.9137
37.500000	117.139	-178.5074
38.200001	117.103	-179.3470
38.700001	117.079	-179.9870
39.500000	117.017	178.9483
40.000000	116.954	178.3803
40.599998	116.871	177.9424
41.200001	116.815	177.7170
41.799999	116.796	177.4506
42.500000	116.779	176.8854
43.099998	116.733	176.3455
43.700001	116.678	175.9279
44.400002	116.635	175.4709
45.000000	116.600	174.9298
45.500000	116.551	174.4262
46.200001	116.459	173.8575
46.799999	116.389	173.5170
47.500000	116.326	173.1230
48.200001	116.266	172.6858
48.700001	116.225	172.3810
49.400002	116.175	171.9354
50.000000	116.131	171.4954
50.799999	116.052	170.9195
51.500000	115.975	170.5424
52.200001	115.908	170.2526
53.000000	115.845	169.9126
53.799999	115.786	169.5417
54.500000	115.734	169.2162
55.200001	115.680	168.8881
56.000000	115.614	168.5093
57.000000	115.522	168.0895
58.000000	115.433	167.7475
59.000000	115.349	167.4091
60.000000	115.261	167.0802
60.799999	115.190	166.8515
61.500000	115.131	166.6618
62.200001	115.075	166.4608
63.000000	115.008	166.2220
64.000000	114.922	165.9556
65.000000	114.839	165.7480
66.000000	114.764	165.5541
67.000000	114.689	165.3390
68.000000	114.610	165.1452
69.000000	114.532	165.0202
70.000000	114.469	164.9096
71.000000	114.409	164.6846
72.000000	114.336	164.4525
73.000000	114.263	164.2492
