* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: 0.250. Timing signal peak level -42.3 dBFS, measurement signal peak level -42.7 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 09-Apr-2024 22:52:08
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0082 ms (2.8 mm, 0.11 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 34.5 ppm
* Measurement: L2 W1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.469	-140.3258
20.299999	97.510	-141.3836
20.600000	97.544	-142.4287
20.900000	97.573	-143.4423
21.200001	97.598	-144.4140
21.400000	97.615	-145.0388
21.799999	97.649	-146.2459
22.000000	97.667	-146.8357
22.400000	97.704	-148.0036
22.700001	97.731	-148.8741
23.000000	97.755	-149.7394
23.299999	97.775	-150.5967
23.600000	97.792	-151.4429
24.000000	97.805	-152.5440
24.299999	97.808	-153.3350
24.700001	97.804	-154.3100
25.000000	97.798	-154.9606
25.400000	97.797	-155.7190
25.799999	97.816	-156.4132
26.200001	97.858	-157.1638
26.500000	97.898	-157.8339
26.900000	97.945	-158.8994
27.200001	97.962	-159.7903
27.600000	97.955	-160.9841
28.000000	97.923	-162.0541
28.500000	97.880	-163.1462
29.000000	97.868	-164.1172
29.500000	97.874	-165.1877
30.000000	97.867	-166.3612
30.400000	97.845	-167.2479
30.700001	97.826	-167.8321
31.100000	97.811	-168.5255
31.500000	97.812	-169.2122
32.000000	97.820	-170.1765
32.500000	97.804	-171.1971
33.000000	97.761	-172.0777
33.500000	97.716	-172.7307
34.000000	97.690	-173.2504
34.500000	97.678	-173.7507
35.000000	97.673	-174.2682
35.500000	97.677	-174.8560
36.000000	97.682	-175.6177
36.500000	97.659	-176.5614
37.000000	97.588	-177.5261
37.500000	97.487	-178.3434
38.200001	97.339	-179.2621
38.700001	97.224	-179.8107
39.500000	97.038	179.8537
40.000000	96.993	179.9782
40.599998	97.052	179.8618
41.200001	97.149	178.9973
41.799999	97.193	177.5814
42.500000	97.141	175.8547
43.099998	97.020	174.8430
43.700001	96.904	174.6950
44.400002	96.958	175.0615
45.000000	97.141	174.3798
45.500000	97.213	172.8328
46.200001	97.014	170.7203
46.799999	96.709	170.5072
47.500000	96.556	171.6901
48.200001	96.631	172.1156
48.700001	96.665	171.6137
49.400002	96.603	170.6432
50.000000	96.508	170.0684
50.799999	96.416	169.4344
51.500000	96.349	168.6731
52.200001	96.261	167.8255
53.000000	96.158	167.0058
53.799999	96.083	166.2600
54.500000	96.022	165.5714
55.200001	95.947	164.9812
56.000000	95.866	164.5078
57.000000	95.777	164.0904
58.000000	95.699	163.9401
59.000000	95.677	163.9005
60.000000	95.692	163.4998
60.799999	95.679	162.9077
61.500000	95.636	162.4194
62.200001	95.587	162.0690
63.000000	95.549	161.7061
64.000000	95.498	161.0691
65.000000	95.413	160.3724
66.000000	95.308	159.7781
67.000000	95.204	159.2571
68.000000	95.109	158.7514
69.000000	95.025	158.2545
70.000000	94.952	157.7457
71.000000	94.870	157.2785
72.000000	94.783	157.0252
73.000000	94.707	156.8858
74.000000	94.626	156.7141
75.000000	94.530	156.5421
76.199997	94.417	156.3488
77.500000	94.325	156.0107
78.800003	94.262	155.5189
80.000000	94.218	155.0401
81.199997	94.164	154.6929
82.500000	94.074	154.5104
83.800003	93.943	154.4648
85.000000	93.789	154.3417
86.199997	93.640	153.9430
87.500000	93.514	152.8760
88.500000	93.399	151.3343
90.000000	93.006	150.8449
91.199997	93.059	153.0928
92.500000	93.370	153.4865
93.800003	93.524	153.2185
95.000000	93.562	152.9626
96.199997	93.504	152.6872
97.500000	93.381	152.3696
98.800003	93.252	152.0283
100.000000	93.161	151.6702
101.500000	93.089	151.2500
103.000000	93.033	150.9121
104.400002	92.963	150.6660
106.000000	92.847	150.4678
107.500000	92.734	150.3109
109.000000	92.641	150.1093
110.599998	92.557	149.9084
112.000000	92.483	149.8557
113.800003	92.371	149.9131
115.000000	92.285	149.9626
117.199997	92.146	149.9088
118.000000	92.106	149.7838
120.599998	92.001	149.5473
122.000000	91.965	149.6313
124.099998	91.904	149.9242
125.000000	91.875	150.0624
126.500000	91.832	150.2272
128.000000	91.803	150.2356
131.500000	91.768	149.8235
132.000000	91.760	149.7343
134.000000	91.698	149.3847
136.000000	91.605	149.1302
138.000000	91.514	148.9278
140.000000	91.446	148.8011
143.000000	91.349	148.7336
145.000000	91.271	148.7632
147.500000	91.172	148.6385
150.000000	91.078	148.4856
152.500000	91.007	148.4856
155.000000	90.944	148.5967
157.500000	90.885	148.6676
160.000000	90.831	148.6844
162.500000	90.779	148.6738
165.000000	90.719	148.6283
167.500000	90.638	148.5547
170.000000	90.546	148.5146
172.500000	90.448	148.5044
175.000000	90.349	148.5316
177.500000	90.262	148.5798
180.000000	90.191	148.5792
182.500000	90.135	148.5796
185.000000	90.091	148.5971
187.500000	90.051	148.6046
190.000000	90.011	148.6082
192.500000	89.967	148.6385
195.000000	89.917	148.7032
197.500000	89.858	148.7704
200.000000	89.796	148.8499
203.000000	89.724	148.9801
206.000000	89.653	149.1041
209.000000	89.583	149.2198
212.000000	89.519	149.3345
214.000000	89.475	149.4160
218.000000	89.384	149.6563
220.000000	89.338	149.8080
224.000000	89.248	150.1885
227.000000	89.195	150.5883
230.000000	89.165	151.0273
233.000000	89.160	151.3997
236.000000	89.168	151.6124
240.000000	89.179	151.7185
243.000000	89.185	151.7311
247.000000	89.188	151.6677
250.000000	89.179	151.5026
254.000000	89.146	151.2335
258.000000	89.093	151.0408
262.000000	89.033	150.9684
265.000000	88.991	150.9408
269.000000	88.933	150.9595
272.000000	88.893	150.9956
276.000000	88.843	151.0379
280.000000	88.790	151.1069
285.000000	88.730	151.1888
290.000000	88.677	151.2956
295.000000	88.627	151.4186
300.000000	88.577	151.5309
304.000000	88.538	151.6472
307.000000	88.510	151.7405
311.000000	88.475	151.8272
315.000000	88.444	151.9155
320.000000	88.402	152.0361
325.000000	88.365	152.1495
330.000000	88.326	152.2735
335.000000	88.285	152.4177
340.000000	88.248	152.5522
345.000000	88.214	152.6769
350.000000	88.183	152.7964
355.000000	88.155	152.8907
360.000000	88.126	152.9860
365.000000	88.096	153.1120
370.000000	88.067	153.2401
375.000000	88.043	153.3459
382.000000	88.004	153.5154
387.000000	87.975	153.6404
395.000000	87.942	153.7735
400.000000	87.925	153.9103
406.000000	87.902	154.0687
412.000000	87.877	154.1953
418.000000	87.854	154.3023
425.000000	87.829	154.4216
