* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: 0.250. Timing signal peak level -42.7 dBFS, measurement signal peak level -42.6 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 09-Apr-2024 22:50:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.3936 ms (-135 mm, -5.31 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: -21.8 ppm
* Measurement: L3 W1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.537	-137.3330
20.299999	97.557	-138.0756
20.600000	97.585	-138.8169
20.900000	97.621	-139.5623
21.200001	97.666	-140.3198
21.400000	97.701	-140.8430
21.799999	97.784	-141.9815
22.000000	97.827	-142.6161
22.400000	97.905	-144.0231
22.700001	97.942	-145.1521
23.000000	97.957	-146.2628
23.299999	97.952	-147.2738
23.600000	97.937	-148.1294
24.000000	97.928	-149.0309
24.299999	97.942	-149.6029
24.700001	97.987	-150.3846
25.000000	98.029	-151.0585
25.400000	98.074	-152.0756
25.799999	98.093	-153.1289
26.200001	98.091	-154.1002
26.500000	98.085	-154.7491
26.900000	98.082	-155.5446
27.200001	98.085	-156.1318
27.600000	98.091	-156.9431
28.000000	98.094	-157.7912
28.500000	98.094	-158.8943
29.000000	98.088	-160.0753
29.500000	98.062	-161.3402
30.000000	97.999	-162.5398
30.400000	97.932	-163.2949
30.700001	97.887	-163.7027
31.100000	97.854	-164.0957
31.500000	97.862	-164.4701
32.000000	97.910	-165.1451
32.500000	97.954	-166.0987
33.000000	97.967	-167.1704
33.500000	97.955	-168.2005
34.000000	97.928	-169.1653
34.500000	97.885	-170.0904
35.000000	97.814	-170.9066
35.500000	97.726	-171.4658
36.000000	97.656	-171.7309
36.500000	97.638	-171.9178
37.000000	97.658	-172.3364
37.500000	97.664	-173.0487
38.200001	97.604	-173.9659
38.700001	97.577	-174.2546
39.500000	97.681	-174.9767
40.000000	97.749	-176.1873
40.599998	97.692	-177.9728
41.200001	97.510	-179.1361
41.799999	97.351	-179.4336
42.500000	97.270	-179.5019
43.099998	97.240	-179.7142
43.700001	97.238	179.8475
44.400002	97.232	178.6523
45.000000	97.103	177.3014
45.500000	96.903	176.6536
46.200001	96.689	176.8073
46.799999	96.662	176.8010
47.500000	96.604	175.8785
48.200001	96.412	175.3844
48.700001	96.325	175.7230
49.400002	96.373	176.0940
50.000000	96.442	175.6521
50.799999	96.415	174.8645
51.500000	96.364	174.6316
52.200001	96.334	174.5616
53.000000	96.305	174.5598
53.799999	96.308	174.5186
54.500000	96.310	174.1893
55.200001	96.273	173.7094
56.000000	96.198	173.1950
57.000000	96.076	172.7310
58.000000	95.977	172.5834
59.000000	95.915	172.3687
60.000000	95.837	172.2051
60.799999	95.779	172.2020
61.500000	95.729	172.2707
62.200001	95.695	172.4258
63.000000	95.693	172.5011
64.000000	95.699	172.1144
65.000000	95.668	171.3475
66.000000	95.585	170.4924
67.000000	95.486	169.9347
68.000000	95.430	169.4749
69.000000	95.380	168.9225
70.000000	95.324	168.3981
71.000000	95.244	167.9085
72.000000	95.141	167.6935
73.000000	95.057	167.6553
74.000000	94.979	167.5399
75.000000	94.891	167.3885
76.199997	94.781	167.2170
77.500000	94.671	167.0596
78.800003	94.577	166.8647
80.000000	94.499	166.6975
81.199997	94.431	166.5700
82.500000	94.357	166.4746
83.800003	94.271	166.4235
85.000000	94.171	166.3948
86.199997	94.044	166.3301
87.500000	93.882	166.2266
88.500000	93.730	166.0863
90.000000	93.507	166.7700
91.199997	93.504	167.4294
92.500000	93.536	167.5041
93.800003	93.578	167.7142
95.000000	93.634	167.8702
96.199997	93.678	167.8326
97.500000	93.666	167.5988
98.800003	93.606	167.4250
100.000000	93.538	167.2537
101.500000	93.443	167.0390
103.000000	93.358	166.8633
104.400002	93.276	166.7162
106.000000	93.175	166.7002
107.500000	93.087	166.7604
109.000000	93.006	166.7874
110.599998	92.920	166.7989
112.000000	92.848	166.8523
113.800003	92.756	166.9880
115.000000	92.693	167.1021
117.199997	92.562	167.3391
118.000000	92.513	167.4634
120.599998	92.383	167.8852
122.000000	92.317	168.0580
124.099998	92.212	168.4193
125.000000	92.167	168.6006
126.500000	92.095	168.9588
128.000000	92.044	169.3992
131.500000	92.020	169.9129
132.000000	92.019	169.9373
134.000000	92.009	169.9373
136.000000	91.963	169.9220
138.000000	91.885	170.1029
140.000000	91.798	170.4268
143.000000	91.685	170.8816
145.000000	91.605	171.0276
147.500000	91.506	171.2945
150.000000	91.424	171.6346
152.500000	91.350	171.9714
155.000000	91.275	172.3725
157.500000	91.212	172.8130
160.000000	91.159	173.3168
162.500000	91.108	173.7402
165.000000	91.038	174.0898
167.500000	90.955	174.4363
170.000000	90.867	174.8096
172.500000	90.772	175.2060
175.000000	90.670	175.6201
177.500000	90.582	176.0764
180.000000	90.512	176.5067
182.500000	90.454	176.9224
185.000000	90.407	177.3630
187.500000	90.374	177.8221
190.000000	90.342	178.2826
192.500000	90.300	178.7404
195.000000	90.244	179.1996
197.500000	90.180	179.6767
200.000000	90.122	-179.8304
203.000000	90.056	-179.2670
206.000000	89.990	-178.6952
209.000000	89.926	-178.1225
212.000000	89.862	-177.4763
214.000000	89.819	-177.0153
218.000000	89.736	-176.1487
220.000000	89.695	-175.7504
224.000000	89.606	-174.8596
227.000000	89.544	-174.1124
230.000000	89.497	-173.3589
233.000000	89.460	-172.5812
236.000000	89.428	-171.8002
240.000000	89.396	-170.7903
243.000000	89.387	-170.0343
247.000000	89.391	-169.1449
250.000000	89.399	-168.6218
254.000000	89.400	-168.1080
258.000000	89.365	-167.6618
262.000000	89.313	-167.1780
265.000000	89.275	-166.7520
269.000000	89.224	-166.1086
272.000000	89.182	-165.5925
276.000000	89.126	-164.8597
280.000000	89.079	-164.1139
285.000000	89.023	-163.1526
290.000000	88.965	-162.1451
295.000000	88.914	-161.1913
300.000000	88.857	-160.2516
304.000000	88.819	-159.4732
307.000000	88.790	-158.8841
311.000000	88.754	-158.1071
315.000000	88.724	-157.3375
320.000000	88.687	-156.3732
325.000000	88.649	-155.4192
330.000000	88.610	-154.4153
335.000000	88.571	-153.4269
340.000000	88.536	-152.5037
345.000000	88.505	-151.5773
350.000000	88.469	-150.5949
355.000000	88.433	-149.6133
360.000000	88.405	-148.6396
365.000000	88.379	-147.6544
370.000000	88.349	-146.6535
375.000000	88.323	-145.6842
382.000000	88.295	-144.3699
387.000000	88.272	-143.3962
395.000000	88.231	-141.8438
400.000000	88.203	-140.8803
406.000000	88.174	-139.7081
412.000000	88.158	-138.5650
418.000000	88.145	-137.4216
425.000000	88.123	-136.1013
431.000000	88.101	-134.9752
437.000000	88.078	-133.8130
444.000000	88.052	-132.4774
450.000000	88.031	-131.3461
455.000000	88.017	-130.3808
462.000000	88.001	-129.0312
468.000000	87.992	-127.8852
475.000000	87.980	-126.5347
482.000000	87.966	-125.1996
487.000000	87.958	-124.2462
494.000000	87.947	-122.9299
500.000000	87.935	-121.7937
508.000000	87.919	-120.2226
515.000000	87.905	-118.8934
522.000000	87.897	-117.5786
530.000000	87.893	-116.0428
538.000000	87.886	-114.5179
545.000000	87.879	-113.1793
552.000000	87.874	-111.8353
560.000000	87.871	-110.3246
570.000000	87.870	-108.4118
580.000000	87.869	-106.5314
590.000000	87.864	-104.6372
600.000000	87.860	-102.7385
608.000000	87.860	-101.2400
615.000000	87.864	-99.9365
622.000000	87.870	-98.6015
630.000000	87.875	-97.0525
640.000000	87.883	-95.1234
650.000000	87.896	-93.1875
660.000000	87.912	-91.2737
670.000000	87.922	-89.3853
680.000000	87.937	-87.4352
690.000000	87.957	-85.4879
700.000000	87.978	-83.5417
710.000000	88.000	-81.6340
720.000000	88.024	-79.7290
730.000000	88.049	-77.8039
740.000000	88.075	-75.8815
750.000000	88.105	-73.9732
762.000000	88.143	-71.6652
775.000000	88.189	-69.1459
788.000000	88.237	-66.6490
800.000000	88.281	-64.3015
812.000000	88.332	-62.0072
825.000000	88.393	-59.5403
838.000000	88.458	-57.0272
850.000000	88.521	-54.7409
862.000000	88.586	-52.4850
875.000000	88.663	-50.0441
885.000000	88.721	-48.1613
900.000000	88.811	-45.3491
912.000000	88.891	-43.1463
925.000000	88.985	-40.7812
938.000000	89.079	-38.3848
950.000000	89.155	-36.2432
962.000000	89.217	-34.1295
975.000000	89.289	-31.8617
988.000000	89.393	-29.6395
1000.000000	89.509	-27.6259
1015.000000	89.657	-25.1786
1030.000000	89.801	-22.7935
1044.000000	89.920	-20.6299
1060.000000	90.041	-18.2344
1075.000000	90.143	-16.0457
1090.000000	90.230	-13.8918
1106.000000	90.310	-11.5521
