* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: 0.250. Timing signal peak level -42.7 dBFS, measurement signal peak level -42.8 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 09-Apr-2024 22:53:48
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0030 ms (-1.0 mm, -0.04 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 28.6 ppm
* Measurement: L5 W1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	98.028	-137.7622
20.299999	98.101	-139.3650
20.600000	98.130	-140.9095
20.900000	98.123	-142.2865
21.200001	98.093	-143.4246
21.400000	98.071	-144.0459
21.799999	98.042	-145.0351
22.000000	98.040	-145.4602
22.400000	98.058	-146.3139
22.700001	98.081	-147.0277
23.000000	98.100	-147.8212
23.299999	98.111	-148.6760
23.600000	98.108	-149.5620
24.000000	98.084	-150.7366
24.299999	98.052	-151.5689
24.700001	97.995	-152.5402
25.000000	97.952	-153.1243
25.400000	97.917	-153.7156
25.799999	97.931	-154.2234
26.200001	97.995	-154.8776
26.500000	98.061	-155.5736
26.900000	98.140	-156.7831
27.200001	98.175	-157.8167
27.600000	98.185	-159.1810
28.000000	98.170	-160.3748
28.500000	98.153	-161.5820
29.000000	98.162	-162.6267
29.500000	98.185	-163.6649
30.000000	98.207	-164.7283
30.400000	98.217	-165.5907
30.700001	98.217	-166.2420
31.100000	98.199	-167.0915
31.500000	98.158	-167.8524
32.000000	98.086	-168.5541
32.500000	98.028	-168.9668
33.000000	98.009	-169.2919
33.500000	98.022	-169.7830
34.000000	98.036	-170.5379
34.500000	98.032	-171.5161
35.000000	97.999	-172.6395
35.500000	97.932	-173.7840
36.000000	97.839	-174.7674
36.500000	97.760	-175.5149
37.000000	97.734	-176.2393
37.500000	97.741	-177.2778
38.200001	97.678	-179.1915
38.700001	97.545	179.7854
39.500000	97.384	179.5565
40.000000	97.420	179.6603
40.599998	97.525	179.1681
41.200001	97.563	178.2025
41.799999	97.524	177.4207
42.500000	97.474	176.8248
43.099998	97.407	176.2471
43.700001	97.264	175.8799
44.400002	97.094	176.3724
45.000000	97.098	177.0531
45.500000	97.192	176.9546
46.200001	97.259	175.4969
46.799999	97.156	173.9011
47.500000	96.940	172.7233
48.200001	96.772	172.2340
48.700001	96.703	171.9979
49.400002	96.660	171.6357
50.000000	96.664	171.1898
50.799999	96.669	170.2853
51.500000	96.622	169.5218
52.200001	96.559	169.1117
53.000000	96.518	168.8462
53.799999	96.485	168.5401
54.500000	96.455	168.2653
55.200001	96.433	167.8582
56.000000	96.382	167.1407
57.000000	96.260	166.2828
58.000000	96.142	165.6238
59.000000	96.018	165.0666
60.000000	95.918	164.9973
60.799999	95.906	164.9468
61.500000	95.894	164.6854
62.200001	95.864	164.4885
63.000000	95.856	164.3752
64.000000	95.870	163.7573
65.000000	95.809	162.8996
66.000000	95.736	162.1660
67.000000	95.636	161.3106
68.000000	95.512	160.8243
69.000000	95.447	160.5017
70.000000	95.389	159.9568
71.000000	95.312	159.4863
72.000000	95.237	159.0957
73.000000	95.157	158.7392
74.000000	95.082	158.4383
75.000000	95.014	158.1108
76.199997	94.932	157.6818
77.500000	94.833	157.2579
78.800003	94.732	156.9825
80.000000	94.645	156.7823
81.199997	94.564	156.5662
82.500000	94.485	156.2536
83.800003	94.410	155.8291
85.000000	94.333	155.4480
86.199997	94.247	155.2872
87.500000	94.160	155.4701
88.500000	94.118	155.9452
90.000000	94.137	156.1599
91.199997	94.036	155.7386
92.500000	93.874	155.9979
93.800003	93.805	156.3627
95.000000	93.806	156.3112
96.199997	93.823	155.8485
97.500000	93.818	155.1922
98.800003	93.791	154.6208
100.000000	93.744	154.1562
101.500000	93.653	153.6803
103.000000	93.539	153.3072
104.400002	93.438	153.0349
106.000000	93.340	152.7331
107.500000	93.264	152.5416
109.000000	93.200	152.3498
110.599998	93.115	152.1418
112.000000	93.030	152.0173
113.800003	92.923	151.8611
115.000000	92.858	151.7477
117.199997	92.753	151.5470
118.000000	92.717	151.4911
120.599998	92.588	151.3577
122.000000	92.509	151.3874
124.099998	92.399	151.4789
125.000000	92.354	151.5306
126.500000	92.287	151.6827
128.000000	92.238	151.8835
131.500000	92.179	152.2319
132.000000	92.176	152.2384
134.000000	92.159	152.0755
136.000000	92.117	151.7846
138.000000	92.059	151.5371
140.000000	91.985	151.3555
143.000000	91.871	151.2610
145.000000	91.804	151.1417
147.500000	91.722	150.9689
150.000000	91.634	150.8232
152.500000	91.533	150.8071
155.000000	91.445	150.8557
157.500000	91.379	150.8891
160.000000	91.328	150.9417
162.500000	91.280	151.0390
165.000000	91.229	151.0623
167.500000	91.159	150.9996
170.000000	91.074	150.9352
