* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: 0.250. Timing signal peak level -42.5 dBFS, measurement signal peak level -41.8 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 09-Apr-2024 22:54:32
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.8825 ms (-303 mm, -11.92 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 60.6 ppm
* Measurement: L6 W1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.951	-137.0781
20.299999	97.994	-137.9375
20.600000	98.037	-138.6948
20.900000	98.083	-139.3782
21.200001	98.133	-140.0299
21.400000	98.169	-140.4720
21.799999	98.238	-141.4353
22.000000	98.266	-141.9719
22.400000	98.293	-143.1307
22.700001	98.279	-143.9889
23.000000	98.238	-144.7247
23.299999	98.187	-145.2600
23.600000	98.152	-145.6055
24.000000	98.171	-146.0062
24.299999	98.234	-146.5592
24.700001	98.324	-147.9265
25.000000	98.338	-149.3571
25.400000	98.226	-151.2917
25.799999	97.991	-152.4504
26.200001	97.782	-152.2807
26.500000	97.761	-151.5236
26.900000	97.976	-150.7500
27.200001	98.251	-151.0392
27.600000	98.592	-152.8085
28.000000	98.754	-155.5109
28.500000	98.667	-158.6233
29.000000	98.444	-160.2177
29.500000	98.327	-160.5770
30.000000	98.360	-160.9496
30.400000	98.421	-161.7378
30.700001	98.460	-162.6505
31.100000	98.491	-164.3688
31.500000	98.466	-166.8272
32.000000	98.217	-170.8661
32.500000	97.551	-174.7512
33.000000	96.503	-175.9918
33.500000	95.582	-172.8823
34.000000	95.400	-168.1842
34.500000	95.737	-166.3391
35.000000	95.992	-167.0386
35.500000	96.124	-167.6432
36.000000	96.475	-167.7283
36.500000	97.075	-169.2780
37.000000	97.527	-172.8948
37.500000	97.556	-176.5248
38.200001	97.298	-177.1697
38.700001	97.526	-175.3571
39.500000	98.298	-176.1594
40.000000	98.376	-178.5061
40.599998	98.017	-179.4209
41.200001	97.730	-177.1255
41.799999	97.836	-174.6680
42.500000	98.023	-174.5178
43.099998	97.977	-175.6849
43.700001	97.798	-177.1850
44.400002	97.451	-179.3027
45.000000	97.008	179.1399
45.500000	96.604	178.6113
46.200001	96.185	179.0522
46.799999	96.022	179.8413
47.500000	95.977	-178.9932
48.200001	96.095	-176.9343
48.700001	96.364	-175.0071
49.400002	97.023	-173.1973
50.000000	97.628	-173.7229
50.799999	98.023	-176.5480
51.500000	97.901	-178.4454
52.200001	97.633	-178.4564
53.000000	97.436	-177.8572
53.799999	97.190	-178.2706
54.500000	96.826	-178.7611
55.200001	96.453	-178.8709
56.000000	96.140	-179.3262
57.000000	95.809	179.0913
58.000000	95.558	177.8962
59.000000	95.633	177.0931
60.000000	95.898	175.2193
60.799999	96.001	173.2892
61.500000	95.959	172.3538
62.200001	95.924	172.6928
63.000000	96.067	173.5983
64.000000	96.295	172.9830
65.000000	96.216	171.9363
66.000000	96.109	171.9760
67.000000	96.042	171.2918
68.000000	95.824	170.6427
69.000000	95.667	170.7763
70.000000	95.584	170.3440
71.000000	95.414	169.9060
72.000000	95.278	170.2562
73.000000	95.251	170.4720
74.000000	95.205	170.1912
75.000000	95.094	170.0181
76.199997	94.935	170.3721
77.500000	94.831	171.1728
78.800003	94.797	171.5078
80.000000	94.751	171.1351
81.199997	94.638	170.4820
82.500000	94.509	170.1506
83.800003	94.470	169.9138
85.000000	94.433	169.4763
86.199997	94.337	169.3417
87.500000	94.179	169.8735
88.500000	94.103	170.7836
90.000000	94.137	170.7045
91.199997	93.965	168.7627
92.500000	93.546	168.9047
93.800003	93.613	170.1901
95.000000	93.723	169.5981
96.199997	93.847	169.9274
