* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: 0.250. Timing signal peak level -41.4 dBFS, measurement signal peak level -41.3 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 09-Apr-2024 22:44:29
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0783 ms (-27 mm, -1.06 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: -20.2 ppm
* Measurement: R1 W1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.300	-151.8387
20.299999	99.280	-152.5219
20.600000	99.282	-153.1367
20.900000	99.305	-153.7870
21.200001	99.337	-154.5456
21.400000	99.356	-155.1178
21.799999	99.372	-156.3573
22.000000	99.366	-156.9775
22.400000	99.338	-158.1091
22.700001	99.313	-158.8219
23.000000	99.299	-159.4360
23.299999	99.301	-160.0084
23.600000	99.320	-160.6054
24.000000	99.358	-161.5169
24.299999	99.386	-162.2960
24.700001	99.409	-163.4148
25.000000	99.415	-164.2675
25.400000	99.410	-165.3704
25.799999	99.396	-166.4111
26.200001	99.376	-167.3861
26.500000	99.357	-168.0703
26.900000	99.329	-168.9064
27.200001	99.309	-169.4693
27.600000	99.289	-170.1465
28.000000	99.283	-170.7888
28.500000	99.289	-171.6468
29.000000	99.293	-172.6261
29.500000	99.274	-173.6604
30.000000	99.232	-174.6201
30.400000	99.194	-175.2944
30.700001	99.168	-175.7634
31.100000	99.138	-176.3826
31.500000	99.106	-177.0247
32.000000	99.057	-177.8384
32.500000	98.999	-178.6014
33.000000	98.944	-179.3092
33.500000	98.899	179.9633
34.000000	98.852	179.1738
34.500000	98.798	178.3643
35.000000	98.742	177.5765
35.500000	98.687	176.8021
36.000000	98.625	176.0939
36.500000	98.565	175.6199
37.000000	98.554	175.4164
37.500000	98.635	175.1124
38.200001	98.811	173.6219
38.700001	98.833	171.9733
39.500000	98.650	170.1434
40.000000	98.552	169.8312
40.599998	98.513	169.4133
41.200001	98.410	168.6570
41.799999	98.187	168.5272
42.500000	98.019	169.5334
43.099998	98.008	169.9756
43.700001	97.910	169.7938
44.400002	97.682	170.6271
45.000000	97.707	172.1539
45.500000	97.920	172.4061
46.200001	98.129	170.3611
46.799999	98.025	168.0419
47.500000	97.768	166.6189
48.200001	97.642	166.0387
48.700001	97.609	165.4271
49.400002	97.539	164.3846
50.000000	97.461	163.7278
50.799999	97.391	163.1837
51.500000	97.349	162.7889
52.200001	97.308	162.4386
53.000000	97.259	162.0411
53.799999	97.192	161.6296
54.500000	97.120	161.2930
55.200001	97.040	160.9796
56.000000	96.947	160.6530
57.000000	96.844	160.2648
58.000000	96.761	159.9328
59.000000	96.716	159.5811
60.000000	96.673	159.0555
60.799999	96.618	158.6354
61.500000	96.557	158.3216
62.200001	96.489	158.0629
63.000000	96.412	157.8213
64.000000	96.328	157.4338
65.000000	96.235	156.8854
66.000000	96.135	156.3691
67.000000	96.049	155.9270
68.000000	95.974	155.5023
69.000000	95.893	155.1660
70.000000	95.809	154.9714
71.000000	95.725	154.8348
72.000000	95.633	154.6731
73.000000	95.535	154.4653
74.000000	95.437	154.2040
75.000000	95.348	153.8885
76.199997	95.255	153.5244
77.500000	95.172	153.2183
78.800003	95.085	153.0820
80.000000	94.989	153.0788
81.199997	94.871	153.0725
82.500000	94.727	152.9413
83.800003	94.594	152.6380
85.000000	94.507	152.2445
86.199997	94.471	152.0793
87.500000	94.536	152.4376
88.500000	94.712	152.8543
90.000000	94.873	151.4155
91.199997	94.591	151.3068
92.500000	94.398	153.0940
93.800003	94.322	153.7792
95.000000	94.236	153.6247
96.199997	94.138	153.0771
97.500000	94.045	152.3747
98.800003	93.970	151.7972
100.000000	93.910	151.4919
101.500000	93.827	151.3483
103.000000	93.723	151.3195
104.400002	93.614	151.2520
106.000000	93.494	151.0676
107.500000	93.395	150.8921
109.000000	93.313	150.7866
110.599998	93.226	150.7440
112.000000	93.139	150.7418
113.800003	93.018	150.7616
115.000000	92.940	150.7789
117.199997	92.814	150.8429
118.000000	92.770	150.8779
120.599998	92.631	151.1900
122.000000	92.565	151.4024
124.099998	92.486	151.7230
125.000000	92.462	151.8270
126.500000	92.429	151.9389
128.000000	92.399	151.9845
131.500000	92.299	151.7933
132.000000	92.280	151.7537
134.000000	92.196	151.6167
136.000000	92.100	151.5621
138.000000	91.998	151.6375
140.000000	91.899	151.7705
143.000000	91.760	151.8981
145.000000	91.669	151.9587
147.500000	91.565	152.1194
150.000000	91.467	152.3458
152.500000	91.375	152.6272
155.000000	91.301	152.8966
157.500000	91.246	153.0912
160.000000	91.187	153.2158
162.500000	91.116	153.3513
165.000000	91.033	153.5036
167.500000	90.932	153.7384
170.000000	90.824	154.0665
172.500000	90.721	154.3752
175.000000	90.628	154.6222
177.500000	90.548	154.8340
180.000000	90.477	155.0299
182.500000	90.412	155.1849
185.000000	90.345	155.3400
187.500000	90.275	155.5773
190.000000	90.201	155.9017
192.500000	90.123	156.2901
195.000000	90.042	156.7074
197.500000	89.961	157.2173
200.000000	89.891	157.9024
203.000000	89.849	158.9450
206.000000	89.880	159.9679
209.000000	89.968	160.5042
212.000000	90.047	160.4164
214.000000	90.067	160.1740
218.000000	90.025	159.7297
220.000000	89.980	159.6103
224.000000	89.878	159.5441
227.000000	89.800	159.6139
230.000000	89.726	159.7667
233.000000	89.658	159.9577
236.000000	89.591	160.1609
240.000000	89.503	160.4440
243.000000	89.441	160.6805
247.000000	89.362	160.9986
250.000000	89.306	161.2437
254.000000	89.235	161.6171
258.000000	89.164	161.9967
262.000000	89.101	162.3565
265.000000	89.059	162.6198
269.000000	88.999	163.0336
272.000000	88.954	163.3550
276.000000	88.895	163.7527
280.000000	88.839	164.1224
285.000000	88.777	164.5462
290.000000	88.716	165.0332
295.000000	88.653	165.5446
300.000000	88.597	166.0169
304.000000	88.556	166.4081
307.000000	88.522	166.6785
311.000000	88.473	167.0326
315.000000	88.428	167.4108
320.000000	88.378	167.8856
325.000000	88.336	168.3732
330.000000	88.292	168.8693
335.000000	88.250	169.3451
340.000000	88.212	169.7696
345.000000	88.173	170.2512
350.000000	88.132	170.7640
355.000000	88.094	171.1999
360.000000	88.056	171.6135
365.000000	88.019	172.0652
370.000000	87.986	172.5327
375.000000	87.957	172.9890
382.000000	87.909	173.6068
387.000000	87.880	174.0749
395.000000	87.841	174.8151
400.000000	87.812	175.2392
406.000000	87.774	175.7729
412.000000	87.741	176.3261
418.000000	87.717	176.8173
425.000000	87.683	177.4140
431.000000	87.652	177.9529
437.000000	87.628	178.4762
444.000000	87.603	179.0736
450.000000	87.582	179.5781
455.000000	87.568	-179.9728
462.000000	87.545	-179.3449
468.000000	87.525	-178.8448
475.000000	87.501	-178.2457
482.000000	87.481	-177.6559
487.000000	87.469	-177.2496
494.000000	87.457	-176.6799
500.000000	87.443	-176.1775
508.000000	87.421	-175.4776
515.000000	87.403	-174.9146
522.000000	87.390	-174.3498
530.000000	87.378	-173.6619
538.000000	87.370	-172.9951
545.000000	87.362	-172.4775
552.000000	87.350	-171.9142
560.000000	87.339	-171.2011
570.000000	87.338	-170.3471
580.000000	87.330	-169.5576
590.000000	87.328	-168.7665
600.000000	87.326	-167.9767
608.000000	87.321	-167.3074
615.000000	87.319	-166.7448
622.000000	87.319	-166.1804
630.000000	87.323	-165.5504
640.000000	87.332	-164.7731
