* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: 0.250. Timing signal peak level -41.1 dBFS, measurement signal peak level -41.0 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 09-Apr-2024 22:45:25
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0126 ms (-4.3 mm, -0.17 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 42.2 ppm
* Measurement: R2W1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.534	-150.4771
20.299999	99.561	-151.5440
20.600000	99.571	-152.5412
20.900000	99.577	-153.4195
21.200001	99.589	-154.1979
21.400000	99.605	-154.6973
21.799999	99.646	-155.7491
22.000000	99.665	-156.3252
22.400000	99.679	-157.5457
22.700001	99.664	-158.4332
23.000000	99.628	-159.2061
23.299999	99.586	-159.8159
23.600000	99.551	-160.2680
24.000000	99.533	-160.7277
24.299999	99.545	-161.0694
24.700001	99.586	-161.6466
25.000000	99.623	-162.2085
25.400000	99.669	-163.1225
25.799999	99.700	-164.1743
26.200001	99.711	-165.2957
26.500000	99.707	-166.1419
26.900000	99.688	-167.2295
27.200001	99.667	-167.9919
27.600000	99.637	-168.9278
28.000000	99.612	-169.7946
28.500000	99.584	-170.8401
29.000000	99.550	-171.8507
29.500000	99.500	-172.7197
30.000000	99.455	-173.3488
30.400000	99.443	-173.7396
30.700001	99.452	-174.0572
31.100000	99.475	-174.6132
31.500000	99.486	-175.3406
32.000000	99.461	-176.3411
32.500000	99.400	-177.2274
33.000000	99.336	-177.9616
33.500000	99.279	-178.6703
34.000000	99.214	-179.3848
34.500000	99.144	179.9885
35.000000	99.095	179.4327
35.500000	99.071	178.7794
36.000000	99.042	177.9915
36.500000	98.995	177.2552
37.000000	98.963	176.6474
37.500000	98.962	175.9534
38.200001	98.913	174.7650
38.700001	98.825	174.3660
39.500000	98.857	174.5240
40.000000	98.999	173.7390
40.599998	98.987	171.6056
41.200001	98.651	170.3365
41.799999	98.351	171.4592
42.500000	98.484	172.6022
43.099998	98.581	170.9552
43.700001	98.267	169.0453
44.400002	97.750	170.0641
45.000000	97.735	172.2549
45.500000	97.951	172.6010
46.200001	98.125	170.7565
46.799999	98.064	168.7567
47.500000	97.885	166.9709
48.200001	97.649	166.0453
48.700001	97.514	166.1305
49.400002	97.513	166.6427
50.000000	97.631	166.3583
50.799999	97.671	165.0723
51.500000	97.586	164.4757
52.200001	97.555	164.5280
53.000000	97.604	164.2758
53.799999	97.611	163.4126
54.500000	97.539	162.5389
55.200001	97.407	161.8416
56.000000	97.229	161.4395
57.000000	97.059	161.3356
58.000000	96.957	161.0638
59.000000	96.863	160.7771
60.000000	96.824	160.6638
60.799999	96.819	160.5326
61.500000	96.824	160.4692
62.200001	96.847	160.3517
63.000000	96.855	159.9470
64.000000	96.761	159.4293
65.000000	96.618	159.2844
66.000000	96.465	159.1528
67.000000	96.300	159.0154
68.000000	96.173	158.7806
69.000000	96.082	158.2239
70.000000	96.003	157.5292
71.000000	95.949	156.9451
72.000000	95.919	156.3834
73.000000	95.871	155.8816
74.000000	95.803	155.4824
75.000000	95.707	155.1066
76.199997	95.577	154.6798
77.500000	95.452	154.1564
78.800003	95.368	153.7238
80.000000	95.320	153.5547
81.199997	95.269	153.7687
82.500000	95.161	154.2060
83.800003	94.968	154.4615
85.000000	94.718	154.0789
86.199997	94.532	152.6295
87.500000	94.529	149.1131
88.500000	94.633	143.9715
90.000000	93.816	138.0833
91.199997	93.337	145.1283
92.500000	93.927	150.3387
93.800003	94.338	152.0221
95.000000	94.479	153.3333
96.199997	94.459	154.3348
97.500000	94.347	154.5959
98.800003	94.217	154.0256
100.000000	94.113	153.1180
101.500000	94.045	152.3870
103.000000	94.041	152.1126
104.400002	94.010	151.9828
106.000000	93.897	151.8495
107.500000	93.765	151.6462
109.000000	93.648	151.3396
110.599998	93.563	151.1804
112.000000	93.499	151.1017
113.800003	93.398	151.2357
115.000000	93.333	151.2379
117.199997	93.202	151.0261
118.000000	93.165	151.0270
120.599998	93.104	151.0280
122.000000	93.039	150.9502
124.099998	92.872	151.0956
125.000000	92.802	151.2424
126.500000	92.705	151.4771
128.000000	92.638	151.7156
131.500000	92.546	151.8362
132.000000	92.533	151.8262
134.000000	92.492	151.6259
136.000000	92.436	151.3000
138.000000	92.362	151.2107
140.000000	92.276	151.3401
143.000000	92.144	151.4028
145.000000	92.036	151.3479
147.500000	91.926	151.4445
150.000000	91.847	151.5286
152.500000	91.766	151.6034
155.000000	91.682	151.7056
157.500000	91.599	151.7565
160.000000	91.522	151.8384
162.500000	91.450	151.9211
165.000000	91.368	152.0593
167.500000	91.273	152.2723
170.000000	91.178	152.4668
172.500000	91.078	152.5988
175.000000	90.987	152.7774
177.500000	90.904	152.8742
180.000000	90.818	153.0491
182.500000	90.744	153.2290
185.000000	90.678	153.4268
187.500000	90.627	153.6205
190.000000	90.577	153.7966
192.500000	90.516	154.0291
195.000000	90.441	154.3912
197.500000	90.371	154.8821
200.000000	90.325	155.4494
203.000000	90.312	156.1438
206.000000	90.325	156.5660
209.000000	90.341	156.5356
212.000000	90.337	156.3039
214.000000	90.318	156.1167
218.000000	90.235	155.8410
220.000000	90.188	155.7517
224.000000	90.093	155.7219
227.000000	90.021	155.8849
230.000000	89.949	156.0254
233.000000	89.878	156.1658
236.000000	89.823	156.3396
240.000000	89.759	156.5300
243.000000	89.698	156.6768
247.000000	89.610	156.8806
250.000000	89.556	157.0052
254.000000	89.497	157.2474
258.000000	89.439	157.5197
262.000000	89.383	157.8376
265.000000	89.340	158.1149
269.000000	89.274	158.4163
272.000000	89.227	158.5852
276.000000	89.172	158.8548
280.000000	89.120	159.1053
285.000000	89.060	159.4200
290.000000	89.001	159.7294
295.000000	88.939	159.9877
300.000000	88.880	160.3076
304.000000	88.842	160.5684
307.000000	88.813	160.7476
311.000000	88.772	160.9897
315.000000	88.731	161.2643
320.000000	88.682	161.5889
325.000000	88.635	161.8656
330.000000	88.585	162.1484
335.000000	88.539	162.4201
340.000000	88.498	162.7336
345.000000	88.460	163.0751
350.000000	88.421	163.3224
355.000000	88.383	163.5760
360.000000	88.345	163.8695
365.000000	88.307	164.1264
370.000000	88.277	164.4036
375.000000	88.251	164.7569
382.000000	88.212	165.2632
387.000000	88.186	165.5609
395.000000	88.139	166.0203
400.000000	88.106	166.3066
406.000000	88.070	166.5517
412.000000	88.042	166.7929
418.000000	88.014	167.1445
425.000000	87.978	167.5620
431.000000	87.950	167.8412
437.000000	87.928	168.1133
444.000000	87.900	168.4705
450.000000	87.878	168.7628
455.000000	87.859	169.0139
462.000000	87.833	169.3674
468.000000	87.814	169.6984
475.000000	87.798	170.0776
482.000000	87.780	170.4155
487.000000	87.766	170.6583
494.000000	87.748	170.9894
500.000000	87.736	171.2719
508.000000	87.719	171.6358
515.000000	87.705	171.9567
522.000000	87.694	172.2968
530.000000	87.679	172.6937
538.000000	87.667	173.0623
545.000000	87.657	173.3743
552.000000	87.645	173.6920
560.000000	87.637	174.0633
570.000000	87.632	174.5202
580.000000	87.627	174.9676
590.000000	87.626	175.4336
600.000000	87.625	175.8825
608.000000	87.623	176.2667
615.000000	87.622	176.5930
622.000000	87.622	176.9152
630.000000	87.625	177.2878
640.000000	87.630	177.7278
650.000000	87.638	178.1495
660.000000	87.650	178.5912
670.000000	87.663	179.0329
680.000000	87.675	179.4674
690.000000	87.688	179.8999
700.000000	87.704	-179.6584
710.000000	87.719	-179.1950
720.000000	87.738	-178.7304
730.000000	87.764	-178.2982
740.000000	87.797	-177.8483
750.000000	87.826	-177.3970
762.000000	87.856	-176.8722
775.000000	87.892	-176.3385
788.000000	87.937	-175.8037
800.000000	87.988	-175.2763
812.000000	88.040	-174.7806
825.000000	88.097	-174.2386
838.000000	88.155	-173.7023
850.000000	88.217	-173.2228
862.000000	88.281	-172.7649
875.000000	88.350	-172.2980
885.000000	88.408	-171.9307
900.000000	88.500	-171.4012
912.000000	88.579	-171.0208
925.000000	88.667	-170.6643
938.000000	88.753	-170.3263
950.000000	88.821	-170.0135
962.000000	88.872	-169.7421
975.000000	88.931	-169.5015
988.000000	89.015	-169.3086
1000.000000	89.107	-169.1670
1015.000000	89.214	-169.0011
1030.000000	89.310	-168.7967
1044.000000	89.390	-168.5581
1060.000000	89.478	-168.2647
1075.000000	89.564	-167.9569
1090.000000	89.658	-167.6258
1106.000000	89.765	-167.3366
1120.000000	89.868	-167.1391
1138.000000	90.014	-166.9753
1150.000000	90.116	-166.9165
1172.000000	90.299	-166.9267
1180.000000	90.363	-166.9791
1206.000000	90.554	-167.2538
1220.000000	90.649	-167.4536
1241.000000	90.785	-167.7974
1250.000000	90.842	-167.9456
1265.000000	90.938	-168.1949
1280.000000	91.033	-168.4497
1315.000000	91.250	-169.0490
1320.000000	91.280	-169.1357
1340.000000	91.398	-169.4792
1360.000000	91.508	-169.8053
1380.000000	91.618	-170.1378
1400.000000	91.731	-170.4645
1430.000000	91.902	-170.9351
1450.000000	92.019	-171.2411
1475.000000	92.171	-171.6703
1500.000000	92.325	-172.1678
1525.000000	92.473	-172.7072
1550.000000	92.612	-173.3020
1575.000000	92.743	-173.9034
1600.000000	92.869	-174.4792
1625.000000	92.998	-175.0727
1650.000000	93.130	-175.6785
1675.000000	93.256	-176.2787
1700.000000	93.378	-176.8798
1725.000000	93.501	-177.4919
1750.000000	93.625	-178.1277
1775.000000	93.748	-178.7974
1800.000000	93.867	-179.4942
1825.000000	93.983	179.8087
1850.000000	94.101	179.1146
1875.000000	94.220	178.4160
1900.000000	94.341	177.7265
1925.000000	94.461	177.0393
1950.000000	94.582	176.3218
1975.000000	94.705	175.5388
2000.000000	94.832	174.6814
2030.000000	94.975	173.5516
2060.000000	95.098	172.3495
2090.000000	95.200	171.1140
2120.000000	95.283	169.8861
2140.000000	95.329	169.0909
2180.000000	95.399	167.6276
2200.000000	95.424	166.9979
2240.000000	95.467	166.0497
2270.000000	95.517	165.6276
2300.000000	95.615	165.4014
2330.000000	95.781	165.1930
2360.000000	96.012	164.7307
2400.000000	96.370	163.3209
2430.000000	96.620	161.6206
2470.000000	96.872	158.8000
2500.000000	96.993	156.5280
2540.000000	97.074	153.5480
2580.000000	97.087	150.7303
2620.000000	97.054	148.0827
2650.000000	97.006	146.2086
2690.000000	96.914	143.8846
2720.000000	96.828	142.2881
2760.000000	96.696	140.3560
2800.000000	96.556	138.6404
2850.000000	96.383	136.7777
2900.000000	96.217	135.1313
2950.000000	96.056	133.6292
3000.000000	95.899	132.2433
3040.000000	95.778	131.1970
3070.000000	95.688	130.4312
3110.000000	95.566	129.4360
3150.000000	95.442	128.5066
3200.000000	95.290	127.4704
3250.000000	95.150	126.5689
3300.000000	95.024	125.8070
3350.000000	94.901	125.1469
3400.000000	94.768	124.5896
3450.000000	94.626	124.1196
3500.000000	94.476	123.7237
3550.000000	94.327	123.4088
3600.000000	94.181	123.1697
3650.000000	94.044	123.0083
3700.000000	93.924	122.9361
3750.000000	93.826	122.9806
3820.000000	93.738	123.2274
3870.000000	93.701	123.5051
3950.000000	93.675	124.0542
4000.000000	93.667	124.4055
4060.000000	93.648	124.7813
4120.000000	93.623	125.0719
4180.000000	93.588	125.3016
4250.000000	93.552	125.5049
4310.000000	93.534	125.6310
4370.000000	93.529	125.7402
4440.000000	93.541	125.8558
4500.000000	93.571	125.9195
4550.000000	93.612	125.9252
4620.000000	93.686	125.8574
4680.000000	93.758	125.6928
4750.000000	93.846	125.3476
4820.000000	93.929	124.8492
4870.000000	93.981	124.4059
4940.000000	94.038	123.7042
5000.000000	94.064	123.0719
5080.000000	94.049	122.2559
5150.000000	93.980	121.6663
5220.000000	93.858	121.3517
5300.000000	93.669	121.5776
5380.000000	93.459	122.6320
5450.000000	93.306	124.2817
5520.000000	93.228	126.5595
5600.000000	93.284	129.7458
5700.000000	93.624	134.0452
5800.000000	94.257	137.9384
5900.000000	95.133	140.7695
6000.000000	96.175	142.0996
6080.000000	97.076	141.9296
6150.000000	97.882	140.8006
6220.000000	98.678	138.7346
6300.000000	99.540	135.2176
6400.000000	100.478	129.1584
6500.000000	101.171	121.5835
6600.000000	101.544	113.1568
6700.000000	101.581	104.7222
6800.000000	101.331	97.0553
6900.000000	100.880	90.6381
7000.000000	100.321	85.6070
7100.000000	99.731	81.8439
7200.000000	99.166	79.0872
7300.000000	98.650	77.0178
7400.000000	98.185	75.3953
7500.000000	97.764	74.0699
7620.000000	97.302	72.6985
7750.000000	96.834	71.2640
7880.000000	96.363	69.7553
8000.000000	95.890	68.3826
8120.000000	95.349	67.3973
8250.000000	94.689	67.5315
8380.000000	94.079	69.7713
8500.000000	93.763	73.7289
8620.000000	93.844	78.3024
8750.000000	94.356	82.0782
8850.000000	94.932	83.4183
9000.000000	95.879	82.7182
9120.000000	96.583	80.1174
9250.000000	97.196	75.6533
9380.000000	97.588	69.9692
9500.000000	97.735	64.1074
9620.000000	97.669	58.0730
9750.000000	97.373	51.8538
9880.000000	96.887	46.4150
10000.000000	96.326	42.3183
10150.000000	95.549	38.5157
10300.000000	94.760	36.0515
10440.000000	94.059	34.7582
10600.000000	93.330	34.2097
10750.000000	92.729	34.3932
10900.000000	92.213	35.0804
11060.000000	91.765	36.2011
11200.000000	91.463	37.4045
11380.000000	91.197	39.1178
11500.000000	91.099	40.3119
11720.000000	91.090	42.4782
11800.000000	91.145	43.2151
12060.000000	91.543	45.1284
12200.000000	91.907	45.6362
12410.000000	92.669	45.2658
12500.000000	93.074	44.5349
12650.000000	93.842	42.2545
12800.000000	94.689	38.2542
13150.000000	96.409	20.4330
13200.000000	96.546	16.9722
13400.000000	96.635	1.9054
13600.000000	95.941	-12.8313
13800.000000	94.666	-24.7407
14000.000000	93.226	-32.9718
14300.000000	91.530	-39.6411
14500.000000	90.762	-41.6805
14750.000000	90.077	-42.9843
15000.000000	89.743	-44.0060
15250.000000	89.824	-45.7065
15500.000000	90.454	-49.4182
15750.000000	91.799	-58.7535
16000.000000	93.088	-79.3959
16250.000000	92.915	-109.1064
16500.000000	90.682	-139.0900
16750.000000	87.126	-161.2568
17000.000000	83.451	-174.5806
17250.000000	80.291	177.5736
17500.000000	77.713	172.1191
17750.000000	75.558	167.3096
18000.000000	73.734	162.2827
18250.000000	72.187	156.6699
18500.000000	70.826	149.9692
18750.000000	69.595	141.5265
19000.000000	68.468	131.1545
19250.000000	67.371	118.1875
19500.000000	66.236	102.4221
19750.000000	65.045	84.9992
20000.000000	64.159	68.6920
