* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: 0.250. Timing signal peak level -42.5 dBFS, measurement signal peak level -41.9 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 09-Apr-2024 22:46:34
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0018 ms (-0.63 mm, -0.02 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 28.0 ppm
* Measurement: R4 W1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.271	-150.3791
20.299999	100.295	-151.3750
20.600000	100.309	-152.2969
20.900000	100.320	-153.1289
21.200001	100.335	-153.8886
21.400000	100.349	-154.3754
21.799999	100.385	-155.3635
22.000000	100.405	-155.8858
22.400000	100.438	-157.0037
22.700001	100.451	-157.8873
23.000000	100.451	-158.7742
23.299999	100.438	-159.6290
23.600000	100.416	-160.4250
24.000000	100.382	-161.3787
24.299999	100.358	-162.0239
24.700001	100.334	-162.8271
25.000000	100.321	-163.4096
25.400000	100.311	-164.1747
25.799999	100.305	-164.9198
26.200001	100.309	-165.6393
26.500000	100.322	-166.1775
26.900000	100.353	-166.9427
27.200001	100.383	-167.5898
27.600000	100.421	-168.5743
28.000000	100.442	-169.6591
28.500000	100.430	-171.0008
29.000000	100.391	-172.1503
29.500000	100.353	-173.0741
30.000000	100.330	-173.8931
30.400000	100.319	-174.5524
30.700001	100.308	-175.0578
31.100000	100.288	-175.7308
31.500000	100.262	-176.3929
32.000000	100.226	-177.2201
32.500000	100.178	-178.0499
33.000000	100.117	-178.8170
33.500000	100.058	-179.4711
34.000000	100.024	179.8862
34.500000	100.008	179.0674
35.000000	99.975	178.0355
35.500000	99.903	176.9819
36.000000	99.807	176.1304
36.500000	99.720	175.5381
37.000000	99.664	175.1187
37.500000	99.645	174.7434
38.200001	99.684	173.9001
38.700001	99.700	172.7875
39.500000	99.506	170.8540
40.000000	99.272	170.6599
40.599998	99.122	171.6635
41.200001	99.228	172.2119
41.799999	99.333	171.0931
