* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: 0.250. Timing signal peak level -42.5 dBFS, measurement signal peak level -41.7 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 09-Apr-2024 22:47:33
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.2963 ms (-102 mm, -4 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 3.7 ppm
* Measurement: R5 W1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.052	-148.9387
20.299999	100.094	-149.4756
20.600000	100.155	-150.0620
20.900000	100.218	-150.7569
21.200001	100.269	-151.5499
21.400000	100.291	-152.1063
21.799999	100.307	-153.2033
22.000000	100.304	-153.7153
22.400000	100.286	-154.6360
22.700001	100.270	-155.2439
23.000000	100.257	-155.8033
23.299999	100.249	-156.3398
23.600000	100.248	-156.8793
24.000000	100.256	-157.6458
24.299999	100.268	-158.2805
24.700001	100.282	-159.2184
25.000000	100.287	-159.9747
25.400000	100.282	-161.0009
25.799999	100.266	-161.9824
26.200001	100.248	-162.8819
26.500000	100.238	-163.5094
26.900000	100.230	-164.3137
27.200001	100.225	-164.9077
27.600000	100.216	-165.6824
28.000000	100.202	-166.4093
28.500000	100.183	-167.2279
29.000000	100.170	-168.0029
29.500000	100.156	-168.8325
30.000000	100.123	-169.7236
30.400000	100.076	-170.4072
30.700001	100.032	-170.8585
31.100000	99.972	-171.3593
31.500000	99.923	-171.7748
32.000000	99.886	-172.2814
32.500000	99.871	-172.8829
33.000000	99.863	-173.6111
33.500000	99.854	-174.4202
34.000000	99.843	-175.2457
34.500000	99.833	-176.0513
35.000000	99.822	-176.8362
35.500000	99.805	-177.5853
36.000000	99.771	-178.2069
36.500000	99.730	-178.5612
37.000000	99.714	-178.6238
37.500000	99.756	-178.6328
38.200001	99.879	-179.2682
38.700001	99.921	179.6654
39.500000	99.776	177.7926
40.000000	99.594	177.1886
40.599998	99.405	177.1445
41.200001	99.313	177.2143
41.799999	99.269	176.8730
42.500000	99.195	176.1694
43.099998	99.144	175.5847
43.700001	99.133	174.7350
44.400002	99.072	173.1381
