* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -20.3 dBFS, measurement signal peak level -17.3 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 19-Dec-2023 14:47:13
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0338 ms (-12 mm, -0.46 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: 62.9 ppm
* Measurement: Nord2 8kHz Left
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.729	-100.3953
20.299999	90.855	-101.5125
20.600000	90.979	-102.6216
20.900000	91.101	-103.7299
21.200001	91.219	-104.8401
21.400000	91.294	-105.5791
21.799999	91.438	-107.0455
22.000000	91.506	-107.7676
22.400000	91.636	-109.1792
22.700001	91.729	-110.2057
23.000000	91.820	-111.2068
23.299999	91.910	-112.1892
23.600000	91.999	-113.1609
24.000000	92.114	-114.4514
24.299999	92.198	-115.4199
24.700001	92.303	-116.7100
25.000000	92.377	-117.6711
25.400000	92.470	-118.9366
25.799999	92.557	-120.1819
26.200001	92.639	-121.4136
26.500000	92.697	-122.3333
26.900000	92.769	-123.5532
27.200001	92.818	-124.4562
27.600000	92.876	-125.6290
28.000000	92.931	-126.7524
28.500000	92.999	-128.0930
29.000000	93.071	-129.4073
29.500000	93.143	-130.7402
30.000000	93.209	-132.0941
30.400000	93.255	-133.1659
30.700001	93.285	-133.9495
31.100000	93.324	-134.9626
31.500000	93.362	-135.9488
32.000000	93.409	-137.1666
32.500000	93.451	-138.3779
33.000000	93.486	-139.5659
33.500000	93.515	-140.7100
34.000000	93.540	-141.8070
34.500000	93.564	-142.8687
35.000000	93.585	-143.9012
35.500000	93.604	-144.9012
36.000000	93.622	-145.8698
36.500000	93.642	-146.8197
37.000000	93.661	-147.7672
37.500000	93.678	-148.7137
38.200001	93.696	-150.0122
38.700001	93.707	-150.9082
39.500000	93.726	-152.3063
40.000000	93.735	-153.1710
40.599998	93.742	-154.1908
41.200001	93.746	-155.1716
41.799999	93.750	-156.1105
42.500000	93.755	-157.1725
43.099998	93.760	-158.0687
43.700001	93.763	-158.9498
44.400002	93.765	-159.9533
45.000000	93.766	-160.7957
45.500000	93.767	-161.4901
46.200001	93.768	-162.4556
46.799999	93.767	-163.2787
47.500000	93.765	-164.2360
48.200001	93.762	-165.1917
48.700001	93.759	-165.8729
49.400002	93.751	-166.8171
50.000000	93.741	-167.6027
50.799999	93.726	-168.5979
51.500000	93.717	-169.4352
52.200001	93.712	-170.2842
53.000000	93.706	-171.2961
53.799999	93.691	-172.3169
54.500000	93.673	-173.1755
55.200001	93.654	-173.9979
56.000000	93.633	-174.9202
57.000000	93.606	-176.0703
58.000000	93.577	-177.2091
59.000000	93.546	-178.3475
60.000000	93.510	-179.4945
60.799999	93.477	179.5980
61.500000	93.446	178.8192
62.200001	93.414	178.0528
63.000000	93.378	177.1886
64.000000	93.333	176.1244
65.000000	93.285	175.0786
66.000000	93.233	174.0623
67.000000	93.178	173.0781
68.000000	93.119	172.0998
69.000000	93.052	171.1240
70.000000	92.974	170.1833
71.000000	92.891	169.2935
72.000000	92.808	168.4373
73.000000	92.726	167.5875
74.000000	92.645	166.7263
75.000000	92.561	165.8593
76.199997	92.455	164.8451
77.500000	92.337	163.8133
78.800003	92.217	162.8638
80.000000	92.107	162.0534
81.199997	91.999	161.2816
82.500000	91.884	160.4633
83.800003	91.768	159.6354
85.000000	91.657	158.8686
86.199997	91.541	158.1329
87.500000	91.412	157.4048
88.500000	91.312	156.9027
90.000000	91.164	156.2262
91.199997	91.046	155.7203
92.500000	90.918	155.1798
93.800003	90.785	154.6319
95.000000	90.658	154.1227
96.199997	90.527	153.6316
97.500000	90.382	153.1481
98.800003	90.238	152.7332
100.000000	90.109	152.4031
101.500000	89.953	152.0444
103.000000	89.804	151.7198
104.400002	89.663	151.4266
106.000000	89.503	151.2214
107.500000	89.382	151.0806
109.000000	89.282	150.7452
110.599998	89.155	150.1851
112.000000	89.019	149.7329
113.800003	88.834	149.3931
115.000000	88.717	149.3132
117.199997	88.520	149.3958
118.000000	88.452	149.4711
120.599998	88.226	149.7355
122.000000	88.103	149.8459
124.099998	87.927	149.9197
125.000000	87.855	149.9272
126.500000	87.736	149.9492
128.000000	87.619	150.0204
131.500000	87.342	150.3500
132.000000	87.302	150.3998
134.000000	87.145	150.5784
136.000000	86.998	150.7438
138.000000	86.863	150.9501
140.000000	86.737	151.2183
143.000000	86.543	151.7166
145.000000	86.408	152.1054
147.500000	86.246	152.6488
150.000000	86.100	153.2323
152.500000	85.974	153.8085
155.000000	85.863	154.3459
157.500000	85.764	154.8778
160.000000	85.674	155.4488
162.500000	85.584	156.0577
165.000000	85.487	156.6808
167.500000	85.385	157.2980
170.000000	85.287	157.8899
172.500000	85.194	158.4422
175.000000	85.107	158.9751
177.500000	85.033	159.5132
180.000000	84.974	160.0693
182.500000	84.932	160.6469
185.000000	84.900	161.2346
187.500000	84.872	161.8212
190.000000	84.844	162.3838
192.500000	84.813	162.9039
195.000000	84.782	163.3826
197.500000	84.754	163.8337
200.000000	84.733	164.2755
203.000000	84.713	164.8082
206.000000	84.697	165.3397
209.000000	84.683	165.8720
212.000000	84.666	166.4050
214.000000	84.654	166.7405
218.000000	84.629	167.3430
220.000000	84.619	167.6379
224.000000	84.608	168.2443
227.000000	84.603	168.6643
230.000000	84.600	169.0289
233.000000	84.600	169.3611
236.000000	84.601	169.6880
240.000000	84.602	170.1224
243.000000	84.603	170.4335
247.000000	84.606	170.8250
250.000000	84.609	171.1106
254.000000	84.614	171.4811
258.000000	84.618	171.8276
262.000000	84.619	172.1553
265.000000	84.618	172.3881
269.000000	84.616	172.6636
272.000000	84.615	172.8441
276.000000	84.617	173.0779
280.000000	84.624	173.3238
285.000000	84.632	173.6197
290.000000	84.632	173.9043
295.000000	84.631	174.1986
300.000000	84.636	174.4647
304.000000	84.642	174.6530
307.000000	84.646	174.7957
311.000000	84.650	174.9927
315.000000	84.653	175.1783
320.000000	84.657	175.3699
325.000000	84.659	175.5412
330.000000	84.659	175.7317
335.000000	84.653	175.9484
340.000000	84.649	176.1799
345.000000	84.645	176.3897
350.000000	84.641	176.5430
355.000000	84.639	176.6583
360.000000	84.639	176.7814
365.000000	84.638	176.9345
370.000000	84.637	177.1094
375.000000	84.635	177.2975
382.000000	84.628	177.5491
387.000000	84.624	177.7018
395.000000	84.622	177.9435
400.000000	84.618	178.1316
406.000000	84.606	178.3933
412.000000	84.599	178.6400
418.000000	84.601	178.8347
425.000000	84.608	179.0387
431.000000	84.611	179.2221
437.000000	84.610	179.4021
444.000000	84.613	179.6049
450.000000	84.622	179.7849
455.000000	84.630	179.9373
462.000000	84.636	-179.8648
468.000000	84.634	-179.7111
475.000000	84.629	-179.5170
482.000000	84.625	-179.2809
487.000000	84.624	-179.1079
494.000000	84.629	-178.8810
500.000000	84.641	-178.6786
508.000000	84.669	-178.3926
515.000000	84.707	-178.1840
522.000000	84.756	-178.0759
530.000000	84.812	-178.1186
538.000000	84.856	-178.3209
545.000000	84.876	-178.5577
552.000000	84.877	-178.7975
560.000000	84.857	-179.0540
570.000000	84.814	-179.3152
580.000000	84.767	-179.4609
590.000000	84.726	-179.5099
600.000000	84.684	-179.5070
608.000000	84.646	-179.4896
615.000000	84.611	-179.4822
622.000000	84.579	-179.4933
630.000000	84.545	-179.5260
640.000000	84.500	-179.5546
650.000000	84.445	-179.5267
660.000000	84.384	-179.4674
670.000000	84.317	-179.3877
680.000000	84.244	-179.2756
690.000000	84.162	-179.1165
700.000000	84.070	-178.8994
710.000000	83.976	-178.6403
720.000000	83.887	-178.3538
730.000000	83.806	-178.0106
740.000000	83.728	-177.5952
750.000000	83.653	-177.1215
762.000000	83.560	-176.5003
775.000000	83.452	-175.7905
788.000000	83.350	-175.0331
800.000000	83.264	-174.2745
812.000000	83.189	-173.4698
825.000000	83.120	-172.5577
838.000000	83.062	-171.5951
850.000000	83.014	-170.6631
862.000000	82.969	-169.7089
875.000000	82.924	-168.6732
885.000000	82.893	-167.8805
900.000000	82.854	-166.6736
912.000000	82.831	-165.6715
925.000000	82.812	-164.5743
938.000000	82.800	-163.4943
950.000000	82.792	-162.5054
962.000000	82.786	-161.5211
975.000000	82.788	-160.4663
988.000000	82.805	-159.4248
1000.000000	82.836	-158.4813
1015.000000	82.890	-157.3389
1030.000000	82.949	-156.2307
1044.000000	83.005	-155.2061
1060.000000	83.066	-154.0418
1075.000000	83.125	-152.9831
1090.000000	83.185	-151.9719
1106.000000	83.251	-150.9366
1120.000000	83.307	-150.0643
1138.000000	83.380	-148.9991
1150.000000	83.431	-148.3175
1172.000000	83.528	-147.0736
1180.000000	83.563	-146.5964
1206.000000	83.657	-144.5209
1220.000000	83.677	-142.2270
1241.000000	83.599	-132.8177
1250.000000	83.510	-123.8258
1265.000000	83.338	-96.1456
1280.000000	83.374	-46.5775
