* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -19.6 dBFS, measurement signal peak level -16.0 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 19-Dec-2023 14:49:58
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.3643 ms (-125 mm, -4.92 in) using IR start time relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -66.3 ppm
* Measurement: Nord2 8kHz Right
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	91.333	-108.0677
20.299999	91.432	-109.2014
20.600000	91.533	-110.2813
20.900000	91.639	-111.3327
21.200001	91.750	-112.3872
21.400000	91.825	-113.1053
21.799999	91.974	-114.5831
22.000000	92.046	-115.3405
22.400000	92.182	-116.8737
22.700001	92.279	-118.0215
23.000000	92.372	-119.1563
23.299999	92.462	-120.2796
23.600000	92.551	-121.3973
24.000000	92.664	-122.8877
24.299999	92.745	-124.0064
24.700001	92.845	-125.4881
25.000000	92.914	-126.5793
25.400000	92.999	-127.9949
25.799999	93.080	-129.3648
26.200001	93.158	-130.7009
26.500000	93.214	-131.6886
26.900000	93.284	-132.9887
27.200001	93.334	-133.9477
27.600000	93.396	-135.1995
28.000000	93.455	-136.4224
28.500000	93.529	-137.9355
29.000000	93.599	-139.4703
29.500000	93.659	-141.0381
30.000000	93.704	-142.6022
30.400000	93.730	-143.8119
30.700001	93.746	-144.6814
31.100000	93.767	-145.7905
31.500000	93.791	-146.8598
32.000000	93.826	-148.1824
32.500000	93.862	-149.5235
33.000000	93.891	-150.8715
33.500000	93.910	-152.1739
34.000000	93.924	-153.3781
34.500000	93.944	-154.4831
35.000000	93.976	-155.5435
35.500000	94.018	-156.6351
36.000000	94.060	-157.7985
36.500000	94.092	-159.0221
37.000000	94.110	-160.2610
37.500000	94.115	-161.4730
38.200001	94.108	-163.0827
38.700001	94.098	-164.1654
39.500000	94.082	-165.8024
40.000000	94.076	-166.7850
40.599998	94.074	-167.9442
41.200001	94.078	-169.1003
41.799999	94.088	-170.2675
42.500000	94.104	-171.6493
43.099998	94.117	-172.8375
43.700001	94.129	-174.0052
44.400002	94.142	-175.3246
45.000000	94.154	-176.4257
45.500000	94.164	-177.3330
46.200001	94.173	-178.5921
46.799999	94.175	-179.6545
47.500000	94.171	179.1336
48.200001	94.162	177.9503
48.700001	94.154	177.1190
49.400002	94.141	175.9651
50.000000	94.129	174.9755
50.799999	94.110	173.6503
51.500000	94.092	172.4949
52.200001	94.074	171.3489
53.000000	94.056	170.0405
53.799999	94.041	168.7245
54.500000	94.027	167.5719
55.200001	94.010	166.4301
56.000000	93.989	165.1521
57.000000	93.961	163.5977
58.000000	93.935	162.0566
59.000000	93.906	160.4876
60.000000	93.866	158.8989
60.799999	93.827	157.6486
61.500000	93.789	156.5845
62.200001	93.752	155.5453
63.000000	93.710	154.3749
64.000000	93.662	152.9101
65.000000	93.612	151.4258
66.000000	93.557	149.9343
67.000000	93.494	148.4552
68.000000	93.425	147.0094
69.000000	93.352	145.6107
70.000000	93.277	144.2456
71.000000	93.200	142.8934
72.000000	93.118	141.5496
73.000000	93.032	140.2251
74.000000	92.942	138.9269
75.000000	92.852	137.6487
76.199997	92.746	136.1365
77.500000	92.634	134.5233
78.800003	92.521	132.9301
80.000000	92.408	131.5116
81.199997	92.285	130.1916
82.500000	92.151	128.8669
83.800003	92.024	127.5547
85.000000	91.908	126.2937
86.199997	91.788	125.0147
87.500000	91.654	123.6627
88.500000	91.552	122.6776
90.000000	91.402	121.2651
91.199997	91.275	120.1547
92.500000	91.125	119.0478
93.800003	90.982	118.0630
95.000000	90.873	117.1459
96.199997	90.778	116.1342
97.500000	90.676	114.9597
98.800003	90.564	113.7926
100.000000	90.447	112.7942
101.500000	90.284	111.6799
103.000000	90.110	110.6417
104.400002	89.941	109.6716
106.000000	89.748	108.5711
107.500000	89.579	107.5829
109.000000	89.430	106.6400
110.599998	89.287	105.6643
112.000000	89.165	104.8180
113.800003	89.001	103.7327
115.000000	88.887	103.0195
117.199997	88.681	101.7440
118.000000	88.609	101.2913
120.599998	88.388	99.8542
122.000000	88.270	99.1118
124.099998	88.084	98.1188
125.000000	88.003	97.7420
126.500000	87.871	97.1486
128.000000	87.743	96.5590
131.500000	87.467	95.0577
132.000000	87.431	94.8277
134.000000	87.299	93.9001
