* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -17.9 dBFS, measurement signal peak level -13.6 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 19-Dec-2023 14:44:24
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0343 ms (-12 mm, -0.46 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: 63.5 ppm
* Measurement: Nord2 Deep Left
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.853	-99.9133
20.299999	90.982	-100.9742
20.600000	91.112	-102.0461
20.900000	91.241	-103.1428
21.200001	91.364	-104.2621
21.400000	91.441	-105.0097
21.799999	91.586	-106.4831
22.000000	91.654	-107.1980
22.400000	91.787	-108.5743
22.700001	91.887	-109.5715
23.000000	91.988	-110.5602
23.299999	92.088	-111.5579
23.600000	92.184	-112.5706
24.000000	92.303	-113.9368
24.299999	92.384	-114.9546
24.700001	92.482	-116.2759
25.000000	92.551	-117.2297
25.400000	92.639	-118.4543
25.799999	92.727	-119.6440
26.200001	92.813	-120.8217
26.500000	92.877	-121.7062
26.900000	92.958	-122.8918
27.200001	93.016	-123.7848
27.600000	93.087	-124.9751
28.000000	93.151	-126.1529
28.500000	93.221	-127.5835
29.000000	93.286	-128.9512
29.500000	93.350	-130.2682
30.000000	93.413	-131.5671
30.400000	93.460	-132.6033
30.700001	93.492	-133.3729
31.100000	93.530	-134.3730
31.500000	93.565	-135.3334
32.000000	93.609	-136.4885
32.500000	93.654	-137.6330
33.000000	93.693	-138.7961
33.500000	93.720	-139.9565
34.000000	93.734	-141.0569
34.500000	93.742	-142.0583
35.000000	93.754	-142.9753
35.500000	93.774	-143.8656
36.000000	93.800	-144.7841
36.500000	93.824	-145.7477
37.000000	93.842	-146.7327
37.500000	93.853	-147.7003
38.200001	93.865	-148.9830
38.700001	93.877	-149.8569
39.500000	93.905	-151.2463
40.000000	93.924	-152.1288
40.599998	93.943	-153.1945
41.200001	93.957	-154.2436
41.799999	93.967	-155.2536
42.500000	93.976	-156.3709
43.099998	93.983	-157.2848
43.700001	93.989	-158.1693
44.400002	93.994	-159.1669
45.000000	93.998	-159.9943
45.500000	94.001	-160.6726
46.200001	94.003	-161.6195
46.799999	94.004	-162.4305
47.500000	94.001	-163.3686
48.200001	93.999	-164.2973
48.700001	93.996	-164.9572
49.400002	93.993	-165.8782
50.000000	93.989	-166.6652
50.799999	93.981	-167.7075
51.500000	93.969	-168.5970
52.200001	93.956	-169.4530
53.000000	93.942	-170.4038
53.799999	93.927	-171.3467
54.500000	93.911	-172.1593
55.200001	93.892	-172.9497
56.000000	93.871	-173.8355
57.000000	93.846	-174.9496
58.000000	93.818	-176.0830
59.000000	93.786	-177.2281
60.000000	93.751	-178.3744
60.799999	93.720	-179.2787
61.500000	93.692	179.9435
62.200001	93.665	179.1730
63.000000	93.633	178.2958
64.000000	93.589	177.2090
65.000000	93.541	176.1445
66.000000	93.487	175.1144
67.000000	93.431	174.1200
68.000000	93.375	173.1438
69.000000	93.315	172.1658
70.000000	93.249	171.1793
71.000000	93.172	170.2182
72.000000	93.088	169.3289
73.000000	93.006	168.4986
74.000000	92.928	167.6785
75.000000	92.851	166.8434
76.199997	92.753	165.8390
77.500000	92.642	164.8067
78.800003	92.531	163.8647
80.000000	92.432	163.0503
81.199997	92.331	162.2640
82.500000	92.212	161.4510
83.800003	92.083	160.6847
85.000000	91.959	159.9979
86.199997	91.831	159.3138
87.500000	91.691	158.5997
88.500000	91.586	158.0864
90.000000	91.439	157.3599
91.199997	91.327	156.8058
92.500000	91.205	156.2494
93.800003	91.082	155.7473
95.000000	90.967	155.3097
96.199997	90.850	154.8821
97.500000	90.720	154.4466
98.800003	90.590	154.0466
100.000000	90.474	153.6852
101.500000	90.328	153.2316
103.000000	90.178	152.8172
104.400002	90.037	152.4923
106.000000	89.881	152.1730
107.500000	89.739	151.9149
109.000000	89.599	151.7164
110.599998	89.454	151.5561
112.000000	89.328	151.4267
113.800003	89.164	151.2731
115.000000	89.055	151.1902
117.199997	88.864	151.0618
118.000000	88.797	151.0155
120.599998	88.583	150.8896
122.000000	88.465	150.8577
124.099998	88.286	150.8651
125.000000	88.210	150.8887
126.500000	88.087	150.9587
128.000000	87.969	151.0679
131.500000	87.721	151.3989
132.000000	87.687	151.4464
134.000000	87.555	151.6326
136.000000	87.427	151.8269
138.000000	87.302	152.0611
140.000000	87.177	152.3667
143.000000	86.986	152.9306
145.000000	86.859	153.3081
147.500000	86.709	153.7373
150.000000	86.571	154.1450
152.500000	86.443	154.5939
155.000000	86.327	155.1155
157.500000	86.225	155.6788
160.000000	86.134	156.2440
162.500000	86.046	156.7874
165.000000	85.952	157.3131
167.500000	85.853	157.8630
170.000000	85.753	158.4443
172.500000	85.657	159.0152
175.000000	85.568	159.5744
177.500000	85.491	160.1503
180.000000	85.427	160.7439
182.500000	85.378	161.3146
185.000000	85.339	161.8211
187.500000	85.308	162.2866
190.000000	85.279	162.7753
192.500000	85.251	163.3077
195.000000	85.223	163.8522
197.500000	85.196	164.3774
200.000000	85.175	164.8794
203.000000	85.158	165.4572
206.000000	85.143	166.0014
209.000000	85.128	166.5176
212.000000	85.116	167.0189
214.000000	85.110	167.3452
218.000000	85.097	167.9709
220.000000	85.088	168.2662
224.000000	85.070	168.8208
227.000000	85.058	169.2057
230.000000	85.051	169.5707
233.000000	85.047	169.9252
236.000000	85.048	170.2699
240.000000	85.053	170.7092
243.000000	85.058	171.0184
247.000000	85.067	171.4115
250.000000	85.074	171.6994
254.000000	85.083	172.0641
258.000000	85.092	172.4001
262.000000	85.100	172.7138
265.000000	85.104	172.9334
269.000000	85.108	173.2079
272.000000	85.112	173.4090
276.000000	85.120	173.6712
280.000000	85.129	173.9130
285.000000	85.139	174.1780
290.000000	85.147	174.4333
295.000000	85.155	174.6955
300.000000	85.163	174.9390
304.000000	85.168	175.1165
307.000000	85.170	175.2458
311.000000	85.173	175.4248
315.000000	85.176	175.6161
320.000000	85.178	175.8429
325.000000	85.181	176.0185
330.000000	85.183	176.1833
335.000000	85.179	176.3823
340.000000	85.171	176.5761
345.000000	85.165	176.7350
350.000000	85.166	176.8918
355.000000	85.174	177.0826
360.000000	85.181	177.2877
365.000000	85.183	177.4718
370.000000	85.182	177.6324
375.000000	85.183	177.7732
382.000000	85.183	177.9533
387.000000	85.182	178.0870
395.000000	85.177	178.2833
400.000000	85.171	178.4020
406.000000	85.165	178.5884
412.000000	85.162	178.8116
418.000000	85.162	179.0325
425.000000	85.158	179.2816
431.000000	85.150	179.4765
437.000000	85.147	179.6258
444.000000	85.153	179.7485
450.000000	85.159	179.8462
455.000000	85.161	179.9417
462.000000	85.164	-179.8916
468.000000	85.170	-179.7243
475.000000	85.181	-179.5152
482.000000	85.195	-179.3127
487.000000	85.204	-179.1792
494.000000	85.218	-178.9941
500.000000	85.231	-178.8191
508.000000	85.251	-178.5645
515.000000	85.271	-178.3675
522.000000	85.296	-178.2443
530.000000	85.335	-178.2231
538.000000	85.378	-178.3111
545.000000	85.407	-178.4532
552.000000	85.423	-178.6438
