* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -17.7 dBFS, measurement signal peak level -16.9 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 19-Dec-2023 14:43:02
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0328 ms (-11 mm, -0.44 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 63.9 ppm
* Measurement: Nord2 Deep Right
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	91.398	-103.4948
20.299999	91.521	-104.5762
20.600000	91.640	-105.6516
20.900000	91.756	-106.7227
21.200001	91.869	-107.7897
21.400000	91.941	-108.4973
21.799999	92.080	-109.9004
22.000000	92.146	-110.5942
22.400000	92.275	-111.9644
22.700001	92.368	-112.9781
23.000000	92.458	-113.9820
23.299999	92.545	-114.9779
23.600000	92.628	-115.9659
24.000000	92.735	-117.2692
24.299999	92.811	-118.2346
24.700001	92.907	-119.5059
25.000000	92.977	-120.4496
25.400000	93.065	-121.6984
25.799999	93.146	-122.9355
26.200001	93.221	-124.1525
26.500000	93.273	-125.0452
26.900000	93.339	-126.2043
27.200001	93.386	-127.0534
27.600000	93.449	-128.1697
28.000000	93.510	-129.2836
28.500000	93.580	-130.6822
29.000000	93.640	-132.0691
29.500000	93.689	-133.4115
30.000000	93.732	-134.6911
30.400000	93.766	-135.6735
30.700001	93.791	-136.3919
31.100000	93.824	-137.3307
31.500000	93.856	-138.2516
32.000000	93.897	-139.3839
32.500000	93.938	-140.5083
33.000000	93.976	-141.6375
33.500000	94.008	-142.7695
34.000000	94.033	-143.8857
34.500000	94.049	-144.9647
35.000000	94.059	-145.9950
35.500000	94.063	-146.9703
36.000000	94.064	-147.8813
36.500000	94.065	-148.7179
37.000000	94.070	-149.4842
37.500000	94.085	-150.2079
38.200001	94.123	-151.2351
38.700001	94.157	-152.0264
39.500000	94.208	-153.4001
40.000000	94.231	-154.2909
40.599998	94.250	-155.3527
41.200001	94.263	-156.3842
41.799999	94.272	-157.3789
42.500000	94.280	-158.4923
43.099998	94.286	-159.4097
43.700001	94.291	-160.2998
44.400002	94.295	-161.3113
45.000000	94.298	-162.1597
45.500000	94.299	-162.8578
46.200001	94.298	-163.8284
46.799999	94.295	-164.6558
47.500000	94.288	-165.6109
48.200001	94.279	-166.5498
48.700001	94.272	-167.2088
49.400002	94.263	-168.1119
50.000000	94.257	-168.8678
50.799999	94.252	-169.8593
51.500000	94.249	-170.7235
52.200001	94.245	-171.5869
53.000000	94.239	-172.5659
53.799999	94.228	-173.5293
54.500000	94.215	-174.3583
55.200001	94.197	-175.1734
56.000000	94.170	-176.0820
57.000000	94.131	-177.1813
58.000000	94.093	-178.2751
59.000000	94.056	-179.4014
60.000000	94.015	179.4455
60.799999	93.979	178.5262
61.500000	93.947	177.7332
62.200001	93.916	176.9512
63.000000	93.878	176.0734
64.000000	93.828	175.0105
65.000000	93.776	173.9803
66.000000	93.721	172.9703
67.000000	93.662	171.9821
68.000000	93.600	171.0084
69.000000	93.537	170.0361
70.000000	93.468	169.0706
71.000000	93.395	168.1324
72.000000	93.317	167.2388
73.000000	93.236	166.3920
74.000000	93.152	165.5817
75.000000	93.067	164.7944
76.199997	92.962	163.8698
77.500000	92.846	162.8859
78.800003	92.730	161.9108
80.000000	92.623	161.0312
81.199997	92.514	160.1887
82.500000	92.395	159.3177
83.800003	92.270	158.4986
85.000000	92.147	157.8066
86.199997	92.021	157.1744
87.500000	91.885	156.5360
88.500000	91.781	156.0608
90.000000	91.628	155.3629
91.199997	91.505	154.8301
92.500000	91.376	154.2832
93.800003	91.249	153.7628
95.000000	91.133	153.2983
96.199997	91.015	152.8512
97.500000	90.883	152.4056
98.800003	90.749	152.0078
100.000000	90.623	151.6750
101.500000	90.465	151.2983
103.000000	90.308	150.9553
104.400002	90.163	150.6567
106.000000	90.000	150.3482
107.500000	89.851	150.1004
109.000000	89.707	149.8906
110.599998	89.557	149.6930
112.000000	89.427	149.5334
113.800003	89.258	149.3559
115.000000	89.147	149.2654
117.199997	88.949	149.1545
118.000000	88.879	149.1294
120.599998	88.651	149.1027
122.000000	88.529	149.1216
124.099998	88.348	149.1770
125.000000	88.272	149.2067
126.500000	88.147	149.2663
128.000000	88.027	149.3426
131.500000	87.754	149.6122
132.000000	87.716	149.6637
134.000000	87.566	149.8885
136.000000	87.421	150.1137
138.000000	87.277	150.3403
140.000000	87.134	150.6014
143.000000	86.923	151.0829
145.000000	86.780	151.4814
147.500000	86.600	152.0750
150.000000	86.426	152.7650
152.500000	86.267	153.5864
155.000000	86.141	154.5547
157.500000	86.069	155.5356
160.000000	86.036	156.3391
162.500000	86.009	156.9200
165.000000	85.962	157.3720
167.500000	85.891	157.8000
170.000000	85.800	158.2687
172.500000	85.700	158.8066
175.000000	85.601	159.3988
177.500000	85.519	159.9958
180.000000	85.459	160.5511
182.500000	85.422	161.0445
185.000000	85.399	161.4818
187.500000	85.380	161.8973
190.000000	85.361	162.3342
192.500000	85.340	162.8011
195.000000	85.311	163.2899
197.500000	85.275	163.8015
200.000000	85.238	164.3206
203.000000	85.199	164.9196
206.000000	85.165	165.4824
209.000000	85.138	166.0189
212.000000	85.115	166.5390
214.000000	85.102	166.8731
218.000000	85.079	167.5023
220.000000	85.070	167.8084
224.000000	85.060	168.4133
227.000000	85.057	168.8380
230.000000	85.057	169.2280
233.000000	85.058	169.5988
236.000000	85.056	169.9658
240.000000	85.050	170.4408
243.000000	85.044	170.7809
247.000000	85.042	171.2134
250.000000	85.045	171.5135
254.000000	85.048	171.8804
258.000000	85.048	172.2296
262.000000	85.045	172.5703
265.000000	85.044	172.8162
269.000000	85.043	173.1406
272.000000	85.042	173.3989
276.000000	85.039	173.7757
280.000000	85.035	174.1833
285.000000	85.038	174.7159
290.000000	85.059	175.2097
295.000000	85.095	175.5848
300.000000	85.131	175.8323
304.000000	85.153	175.9665
307.000000	85.165	176.0572
311.000000	85.177	176.1900
315.000000	85.184	176.3311
320.000000	85.186	176.5012
325.000000	85.183	176.6776
330.000000	85.178	176.8768
335.000000	85.175	177.0795
340.000000	85.175	177.2552
345.000000	85.176	177.4151
350.000000	85.176	177.6075
355.000000	85.177	177.8430
360.000000	85.180	178.0809
365.000000	85.184	178.2858
370.000000	85.186	178.4684
375.000000	85.185	178.6567
382.000000	85.176	178.9273
387.000000	85.172	179.1014
395.000000	85.180	179.3590
400.000000	85.190	179.5297
406.000000	85.200	179.7301
412.000000	85.205	179.9177
418.000000	85.213	-179.8813
425.000000	85.230	-179.6430
431.000000	85.246	-179.4716
437.000000	85.259	-179.3181
444.000000	85.270	-179.1435
450.000000	85.276	-179.0106
455.000000	85.278	-178.9021
