* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: 0.000. Timing signal peak level -37.5 dBFS, measurement signal peak level -36.0 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 09-Apr-2024 23:26:52
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0705 ms (-24 mm, -0.95 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 21.5 ppm
* Measurement: R1 Tennmak
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.578	-92.4558
20.299999	102.705	-93.5057
20.600000	102.824	-94.5447
20.900000	102.938	-95.5592
21.200001	103.047	-96.5421
21.400000	103.119	-97.1807
21.799999	103.260	-98.4305
22.000000	103.331	-99.0491
22.400000	103.470	-100.2870
22.700001	103.572	-101.2190
23.000000	103.669	-102.1499
23.299999	103.762	-103.0730
23.600000	103.851	-103.9826
24.000000	103.966	-105.1708
24.299999	104.049	-106.0453
24.700001	104.157	-107.1930
25.000000	104.236	-108.0419
25.400000	104.337	-109.1573
25.799999	104.433	-110.2520
26.200001	104.526	-111.3237
26.500000	104.593	-112.1114
26.900000	104.680	-113.1381
27.200001	104.744	-113.8902
27.600000	104.828	-114.8726
28.000000	104.910	-115.8408
28.500000	105.011	-117.0466
29.000000	105.104	-118.2473
29.500000	105.188	-119.4175
30.000000	105.266	-120.5352
30.400000	105.330	-121.3995
30.700001	105.377	-122.0426
31.100000	105.439	-122.9041
31.500000	105.495	-123.7676
32.000000	105.558	-124.8199
32.500000	105.615	-125.8104
33.000000	105.676	-126.7487
33.500000	105.743	-127.6854
34.000000	105.809	-128.6567
34.500000	105.866	-129.6479
35.000000	105.914	-130.6134
35.500000	105.959	-131.5288
36.000000	106.006	-132.4127
36.500000	106.054	-133.2979
37.000000	106.098	-134.1893
37.500000	106.136	-135.0612
38.200001	106.190	-136.2198
38.700001	106.234	-137.0393
39.500000	106.298	-138.4122
40.000000	106.324	-139.2651
40.599998	106.345	-140.1949
41.200001	106.373	-141.0268
41.799999	106.414	-141.8542
42.500000	106.461	-142.8779
43.099998	106.493	-143.7510
43.700001	106.523	-144.5840
44.400002	106.561	-145.5521
45.000000	106.589	-146.4052
45.500000	106.604	-147.1065
46.200001	106.620	-148.0292
46.799999	106.633	-148.7714
47.500000	106.651	-149.6178
48.200001	106.670	-150.4640
48.700001	106.683	-151.0695
49.400002	106.700	-151.9111
50.000000	106.711	-152.6162
50.799999	106.726	-153.5319
51.500000	106.739	-154.3268
52.200001	106.749	-155.1215
53.000000	106.757	-156.0176
53.799999	106.763	-156.8898
54.500000	106.765	-157.6215
55.200001	106.766	-158.3171
56.000000	106.769	-159.0966
57.000000	106.768	-160.0778
58.000000	106.760	-160.9756
59.000000	106.765	-161.8190
60.000000	106.773	-162.7236
