* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: 0.000. Timing signal peak level -37.2 dBFS, measurement signal peak level -34.9 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 09-Apr-2024 23:25:49
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1094 ms (-38 mm, -1.48 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: -4.0 ppm
* Measurement: R3 Tennmak
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.437	-98.6150
20.299999	104.548	-99.6241
20.600000	104.657	-100.6247
20.900000	104.764	-101.6222
21.200001	104.866	-102.6169
21.400000	104.931	-103.2757
21.799999	105.053	-104.5720
22.000000	105.111	-105.2045
22.400000	105.222	-106.4307
22.700001	105.302	-107.3167
23.000000	105.382	-108.1786
23.299999	105.461	-109.0231
23.600000	105.539	-109.8571
24.000000	105.642	-110.9613
24.299999	105.717	-111.7868
24.700001	105.813	-112.8835
25.000000	105.881	-113.6991
25.400000	105.966	-114.7677
25.799999	106.044	-115.8018
26.200001	106.119	-116.7922
26.500000	106.175	-117.5079
26.900000	106.250	-118.4388
27.200001	106.308	-119.1319
27.600000	106.385	-120.0640
28.000000	106.458	-121.0086
28.500000	106.540	-122.1856
29.000000	106.613	-123.3210
29.500000	106.682	-124.3983
30.000000	106.752	-125.4389
30.400000	106.809	-126.2656
30.700001	106.850	-126.8864
31.100000	106.901	-127.7105
31.500000	106.949	-128.5216
32.000000	107.007	-129.5120
32.500000	107.064	-130.4869
33.000000	107.118	-131.4584
33.500000	107.167	-132.4191
34.000000	107.212	-133.3503
34.500000	107.255	-134.2464
35.000000	107.298	-135.1227
35.500000	107.340	-135.9946
36.000000	107.379	-136.8584
36.500000	107.413	-137.6987
37.000000	107.446	-138.5104
37.500000	107.479	-139.3033
38.200001	107.524	-140.3938
38.700001	107.554	-141.1492
39.500000	107.602	-142.3154
40.000000	107.633	-143.0459
40.599998	107.666	-143.9458
