* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: 0.000. Timing signal peak level -37.3 dBFS, measurement signal peak level -34.9 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 09-Apr-2024 23:26:18
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0306 ms (-11 mm, -0.41 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 26.1 ppm
* Measurement: R4 Tennmak
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.474	-98.5489
20.299999	104.581	-99.5748
20.600000	104.685	-100.5726
20.900000	104.786	-101.5411
21.200001	104.886	-102.4853
21.400000	104.951	-103.1061
21.799999	105.082	-104.3399
22.000000	105.145	-104.9565
22.400000	105.269	-106.1898
22.700001	105.357	-107.1089
23.000000	105.441	-108.0166
23.299999	105.523	-108.9105
23.600000	105.602	-109.7930
24.000000	105.704	-110.9612
24.299999	105.778	-111.8362
24.700001	105.869	-112.9979
25.000000	105.930	-113.8543
25.400000	106.004	-114.9526
25.799999	106.072	-115.9788
26.200001	106.139	-116.9245
26.500000	106.193	-117.5892
26.900000	106.273	-118.4445
27.200001	106.340	-119.0894
27.600000	106.436	-119.9945
28.000000	106.532	-120.9814
28.500000	106.639	-122.3248
29.000000	106.718	-123.7048
29.500000	106.770	-124.9942
30.000000	106.812	-126.1197
30.400000	106.850	-126.9198
30.700001	106.885	-127.4922
31.100000	106.936	-128.2552
31.500000	106.989	-129.0390
32.000000	107.052	-130.0400
32.500000	107.108	-131.0325
33.000000	107.161	-131.9960
33.500000	107.213	-132.9344
34.000000	107.263	-133.8563
34.500000	107.312	-134.7655
35.000000	107.359	-135.6684
35.500000	107.403	-136.5735
36.000000	107.442	-137.4745
36.500000	107.473	-138.3424
37.000000	107.502	-139.1548
37.500000	107.536	-139.9336
38.200001	107.592	-141.0717
38.700001	107.624	-141.9360
39.500000	107.649	-143.2316
40.000000	107.663	-143.9185
40.599998	107.695	-144.7061
41.200001	107.735	-145.5700
41.799999	107.765	-146.4855
42.500000	107.789	-147.4935
43.099998	107.814	-148.3198
43.700001	107.838	-149.1760
44.400002	107.854	-150.1663
45.000000	107.863	-150.9292
45.500000	107.877	-151.5233
46.200001	107.904	-152.3855
46.799999	107.922	-153.1663
47.500000	107.934	-154.0548
48.200001	107.944	-154.8842
48.700001	107.954	-155.4569
49.400002	107.968	-156.2554
50.000000	107.980	-156.9418
50.799999	107.990	-157.8492
51.500000	107.994	-158.6223
52.200001	107.995	-159.3736
53.000000	107.996	-160.2156
53.799999	107.998	-161.0401
54.500000	108.000	-161.7459
55.200001	108.002	-162.4439
56.000000	108.002	-163.2345
57.000000	108.000	-164.1877
58.000000	108.000	-165.1010
59.000000	107.999	-166.0145
60.000000	107.992	-166.9128
60.799999	107.983	-167.6078
61.500000	107.973	-168.2065
62.200001	107.961	-168.8025
63.000000	107.945	-169.4722
64.000000	107.923	-170.2739
65.000000	107.904	-171.0785
66.000000	107.878	-171.8578
67.000000	107.859	-172.5511
68.000000	107.850	-173.2659
69.000000	107.836	-173.9641
70.000000	107.831	-174.6162
71.000000	107.829	-175.3360
72.000000	107.813	-176.0592
73.000000	107.796	-176.6954
74.000000	107.786	-177.3359
75.000000	107.770	-178.0375
76.199997	107.739	-178.8232
77.500000	107.715	-179.6418
78.800003	107.686	179.4634
80.000000	107.650	178.6802
81.199997	107.617	177.9800
82.500000	107.591	177.2291
83.800003	107.562	176.4601
85.000000	107.527	175.7768
86.199997	107.488	175.1201
87.500000	107.439	174.4280
88.500000	107.398	173.9215
90.000000	107.347	173.2786
91.199997	107.328	172.6699
92.500000	107.296	171.9166
93.800003	107.256	171.2368
95.000000	107.220	170.6677
96.199997	107.185	170.1216
97.500000	107.144	169.5287
98.800003	107.100	168.9388
100.000000	107.058	168.4017
101.500000	107.007	167.7468
103.000000	106.959	167.1022
104.400002	106.913	166.5229
106.000000	106.862	165.8915
107.500000	106.813	165.3132
109.000000	106.763	164.7409
110.599998	106.709	164.1348
112.000000	106.661	163.6145
113.800003	106.598	162.9631
115.000000	106.556	162.5410
117.199997	106.480	161.7900
118.000000	106.454	161.5189
120.599998	106.369	160.6593
122.000000	106.322	160.2210
124.099998	106.250	159.5831
125.000000	106.219	159.3158
126.500000	106.167	158.8768
128.000000	106.116	158.4435
131.500000	106.001	157.4673
132.000000	105.984	157.3351
134.000000	105.919	156.8284
136.000000	105.856	156.3221
138.000000	105.792	155.7986
140.000000	105.723	155.2762
143.000000	105.615	154.5138
145.000000	105.540	154.0177
147.500000	105.446	153.4220
150.000000	105.355	152.8633
152.500000	105.267	152.3258
155.000000	105.183	151.8150
157.500000	105.107	151.3440
160.000000	105.036	150.8936
162.500000	104.961	150.4677
165.000000	104.878	150.0743
167.500000	104.779	149.7196
170.000000	104.671	149.4211
172.500000	104.563	149.1631
175.000000	104.469	148.9122
177.500000	104.396	148.6439
180.000000	104.342	148.2958
182.500000	104.298	147.8479
185.000000	104.250	147.3560
187.500000	104.192	146.8875
190.000000	104.125	146.4603
192.500000	104.050	146.0621
195.000000	103.966	145.6980
197.500000	103.872	145.3971
200.000000	103.772	145.1752
203.000000	103.654	145.0150
206.000000	103.545	144.9652
209.000000	103.456	145.0190
212.000000	103.397	145.1032
214.000000	103.370	145.1313
218.000000	103.340	145.0392
220.000000	103.327	144.8759
224.000000	103.290	144.3124
227.000000	103.241	143.8000
230.000000	103.177	143.3173
233.000000	103.105	142.8989
236.000000	103.031	142.5297
240.000000	102.935	142.0750
243.000000	102.862	141.7356
247.000000	102.762	141.2849
250.000000	102.681	140.9641
254.000000	102.568	140.5857
258.000000	102.456	140.2671
262.000000	102.351	140.0043
265.000000	102.274	139.8283
269.000000	102.173	139.6216
272.000000	102.101	139.4880
276.000000	102.012	139.3074
280.000000	101.929	139.1071
285.000000	101.827	138.8334
290.000000	101.719	138.5398
295.000000	101.606	138.2579
300.000000	101.491	138.0048
304.000000	101.398	137.8245
307.000000	101.329	137.7027
311.000000	101.238	137.5610
315.000000	101.149	137.4380
320.000000	101.038	137.2989
325.000000	100.930	137.1808
330.000000	100.824	137.1082
335.000000	100.720	137.0583
340.000000	100.623	137.0116
345.000000	100.532	136.9651
350.000000	100.443	136.9017
355.000000	100.353	136.8031
360.000000	100.261	136.7027
365.000000	100.167	136.6272
370.000000	100.075	136.5716
375.000000	99.983	136.5297
382.000000	99.853	136.4962
387.000000	99.760	136.4980
395.000000	99.617	136.5609
400.000000	99.530	136.6298
406.000000	99.428	136.7448
412.000000	99.333	136.9006
418.000000	99.251	137.0500
425.000000	99.163	137.1349
431.000000	99.088	137.1394
437.000000	99.008	137.1306
444.000000	98.909	137.1470
450.000000	98.823	137.1912
455.000000	98.754	137.2473
462.000000	98.658	137.3372
468.000000	98.578	137.4262
475.000000	98.488	137.5408
482.000000	98.399	137.6581
487.000000	98.335	137.7465
494.000000	98.245	137.8757
500.000000	98.168	137.9905
508.000000	98.069	138.1468
515.000000	97.983	138.2973
522.000000	97.900	138.4583
530.000000	97.808	138.6568
538.000000	97.718	138.8775
545.000000	97.641	139.0760
552.000000	97.566	139.2780
560.000000	97.481	139.5193
570.000000	97.378	139.8305
580.000000	97.277	140.1795
590.000000	97.179	140.5445
600.000000	97.085	140.9135
608.000000	97.010	141.2173
615.000000	96.948	141.4863
622.000000	96.887	141.7550
630.000000	96.820	142.0712
640.000000	96.739	142.4902
650.000000	96.663	142.9168
660.000000	96.591	143.3458
670.000000	96.523	143.7861
680.000000	96.457	144.2284
690.000000	96.392	144.6901
700.000000	96.330	145.1714
710.000000	96.270	145.6668
720.000000	96.216	146.1667
730.000000	96.166	146.6668
740.000000	96.118	147.1705
750.000000	96.072	147.6897
762.000000	96.021	148.3196
775.000000	95.974	149.0119
788.000000	95.935	149.7011
800.000000	95.904	150.3306
812.000000	95.877	150.9881
825.000000	95.857	151.7128
838.000000	95.845	152.4078
850.000000	95.841	153.0167
862.000000	95.840	153.5322
875.000000	95.824	154.0038
885.000000	95.793	154.5067
900.000000	95.796	155.5792
912.000000	95.854	156.2084
925.000000	95.935	156.4828
938.000000	95.989	156.1452
950.000000	95.900	155.2512
962.000000	95.591	155.0129
975.000000	95.254	156.9067
988.000000	95.180	159.5352
1000.000000	95.259	161.4656
1015.000000	95.448	163.5772
1030.000000	95.745	164.9838
1044.000000	95.988	165.1833
1060.000000	96.138	165.0684
1075.000000	96.219	165.1695
1090.000000	96.292	165.4087
1106.000000	96.370	165.7213
1120.000000	96.439	165.9929
1138.000000	96.534	166.3008
1150.000000	96.601	166.4791
1172.000000	96.728	166.7380
1180.000000	96.775	166.8031
1206.000000	96.937	166.8988
1220.000000	97.030	166.8480
1241.000000	97.180	166.5788
1250.000000	97.247	166.3718
1265.000000	97.359	165.8437
1280.000000	97.463	165.0089
1315.000000	97.497	161.5562
1320.000000	97.450	160.9476
1340.000000	97.065	159.0023
1360.000000	96.477	159.4676
1380.000000	96.059	162.8005
1400.000000	96.023	166.7441
1430.000000	96.358	170.5753
1450.000000	96.622	171.9334
1475.000000	96.922	172.9662
1500.000000	97.188	173.6343
1525.000000	97.429	174.1352
1550.000000	97.655	174.5299
1575.000000	97.872	174.8549
1600.000000	98.084	175.1153
1625.000000	98.293	175.3177
1650.000000	98.500	175.4854
1675.000000	98.708	175.6093
1700.000000	98.914	175.6822
1725.000000	99.120	175.6967
1750.000000	99.326	175.6632
1775.000000	99.532	175.5872
1800.000000	99.738	175.4641
1825.000000	99.944	175.2967
1850.000000	100.149	175.0822
1875.000000	100.354	174.8116
1900.000000	100.559	174.5009
1925.000000	100.763	174.1572
1950.000000	100.965	173.7758
1975.000000	101.166	173.3565
2000.000000	101.365	172.9001
2030.000000	101.602	172.2976
2060.000000	101.838	171.6438
2090.000000	102.071	170.9501
2120.000000	102.303	170.1951
2140.000000	102.456	169.6534
2180.000000	102.759	168.4938
2200.000000	102.908	167.8756
2240.000000	103.203	166.5560
2270.000000	103.420	165.4861
2300.000000	103.632	164.3452
2330.000000	103.839	163.1396
2360.000000	104.038	161.8660
2400.000000	104.292	160.0762
2430.000000	104.473	158.6641
2470.000000	104.699	156.6879
2500.000000	104.857	155.1491
2540.000000	105.050	153.0259
2580.000000	105.222	150.8338
2620.000000	105.371	148.5942
2650.000000	105.467	146.8888
2690.000000	105.575	144.5929
2720.000000	105.640	142.8652
2760.000000	105.706	140.5696
2800.000000	105.749	138.3040
2850.000000	105.770	135.5333
2900.000000	105.758	132.8440
2950.000000	105.718	130.2548
3000.000000	105.651	127.7808
3040.000000	105.580	125.8973
3070.000000	105.519	124.5422
3110.000000	105.428	122.8110
3150.000000	105.332	121.1730
3200.000000	105.209	119.2678
3250.000000	105.082	117.5240
3300.000000	104.953	115.9493
3350.000000	104.814	114.5609
3400.000000	104.657	113.3626
3450.000000	104.484	112.3578
3500.000000	104.300	111.5533
3550.000000	104.117	110.9516
3600.000000	103.945	110.5521
3650.000000	103.795	110.3404
3700.000000	103.678	110.2893
3750.000000	103.599	110.3817
3820.000000	103.561	110.7100
3870.000000	103.582	111.0335
3950.000000	103.692	111.5685
4000.000000	103.795	111.7867
4060.000000	103.924	111.8213
4120.000000	104.058	111.5917
4180.000000	104.194	111.1203
4250.000000	104.371	110.2621
4310.000000	104.542	109.2087
4370.000000	104.718	107.8293
4440.000000	104.923	105.9617
4500.000000	105.122	104.1309
4550.000000	105.296	102.2503
4620.000000	105.512	99.0653
4680.000000	105.649	95.9206
4750.000000	105.737	91.8599
4820.000000	105.732	87.4981
4870.000000	105.666	84.2925
4940.000000	105.481	79.8204
5000.000000	105.238	76.1312
5080.000000	104.802	71.6218
5150.000000	104.332	68.1870
5220.000000	103.794	65.2953
5300.000000	103.126	62.6780
5380.000000	102.424	60.7590
5450.000000	101.800	59.6064
5520.000000	101.181	58.9033
5600.000000	100.491	58.6126
5700.000000	99.679	58.9765
5800.000000	98.934	60.0592
5900.000000	98.269	61.7264
6000.000000	97.683	63.8229
6080.000000	97.263	65.7261
6150.000000	96.929	67.5127
6220.000000	96.623	69.3968
6300.000000	96.309	71.6476
6400.000000	95.971	74.5763
6500.000000	95.696	77.6254
6600.000000	95.481	80.7452
6700.000000	95.327	83.9145
6800.000000	95.235	87.1361
6900.000000	95.208	90.3870
7000.000000	95.242	93.6254
7100.000000	95.347	96.8143
7200.000000	95.529	99.9215
7300.000000	95.789	102.8844
7400.000000	96.135	105.6633
7500.000000	96.579	108.2031
7620.000000	97.261	110.7941
7750.000000	98.228	112.7376
7880.000000	99.486	113.1100
8000.000000	100.947	110.9898
8120.000000	102.616	104.9765
8250.000000	104.277	92.4813
8380.000000	105.144	74.3105
8500.000000	104.837	56.0522
8620.000000	103.601	40.4835
8750.000000	101.786	28.5717
