* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), no input selected, L, volume: no control. Timing signal peak level -30.0 dBFS, measurement signal peak level -17.1 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 27-Nov-2023 14:07:49
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -230.4018 ms (-79.028 m, -(259 ft 3 in)) using IR start time relative to Acoustic reference played from  L with no timing offset
* Measurement: Thinkplus XT88 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	142.416	51.3140
20.299999	142.482	70.8822
20.600000	142.548	90.4886
20.900000	142.614	110.1240
21.200001	142.682	129.7798
21.400000	142.726	142.8916
21.799999	142.811	169.1372
22.000000	142.852	-177.7268
22.400000	142.930	-151.4188
22.700001	142.984	-131.6488
23.000000	143.036	-111.8428
23.299999	143.088	-92.0044
23.600000	143.138	-72.1399
24.000000	143.204	-45.6245
24.299999	143.251	-25.7209
24.700001	143.309	0.8419
25.000000	143.349	20.7893
25.400000	143.398	47.4298
25.799999	143.446	74.1244
26.200001	143.496	100.8632
26.500000	143.535	120.9340
26.900000	143.588	147.7048
27.200001	143.627	167.7877
27.600000	143.677	-165.4214
28.000000	143.724	-138.5966
28.500000	143.779	-104.9928
29.000000	143.835	-71.3057
29.500000	143.893	-37.5569
30.000000	143.951	-3.7662
30.400000	143.994	23.2976
30.700001	144.024	43.6193
31.100000	144.062	70.7515
31.500000	144.097	97.9253
32.000000	144.138	131.9395
32.500000	144.177	165.9946
33.000000	144.212	-159.9102
33.500000	144.244	-125.7700
34.000000	144.276	-91.5872
34.500000	144.307	-57.3755
35.000000	144.337	-23.1438
35.500000	144.364	11.1184
36.000000	144.387	45.4319
36.500000	144.410	79.8098
37.000000	144.434	114.2485
37.500000	144.463	148.7324
38.200001	144.505	-162.9375
38.700001	144.535	-128.3826
39.500000	144.580	-73.0322
40.000000	144.605	-38.3987
40.599998	144.631	3.2041
41.200001	144.654	44.8555
41.799999	144.677	86.5537
42.500000	144.703	135.2532
43.099998	144.725	177.0369
