* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the dB magnitudes of Thinkplus XT88 R1, Thinkplus XT88 R2
* Dated: 27-Nov-2023 14:12:34
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the dB magnitudes of Thinkplus XT88 R1, Thinkplus XT88 R2
* Measurement: Thinkplus XT88 avg R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	131.139
20.299999	131.312
20.600000	131.479
20.900000	131.640
21.200001	131.797
21.400000	131.900
21.799999	132.100
22.000000	132.197
22.400000	132.389
22.700001	132.530
23.000000	132.669
23.299999	132.804
23.600000	132.936
24.000000	133.107
24.299999	133.231
24.700001	133.391
25.000000	133.508
25.400000	133.659
25.799999	133.806
26.200001	133.949
26.500000	134.053
26.900000	134.188
27.200001	134.287
27.600000	134.415
28.000000	134.540
28.500000	134.692
29.000000	134.839
29.500000	134.979
30.000000	135.112
30.400000	135.214
30.700001	135.288
31.100000	135.384
31.500000	135.478
32.000000	135.591
32.500000	135.702
33.000000	135.811
33.500000	135.919
34.000000	136.024
34.500000	136.128
35.000000	136.228
35.500000	136.324
36.000000	136.415
36.500000	136.503
37.000000	136.587
37.500000	136.668
38.200001	136.778
38.700001	136.853
39.500000	136.968
40.000000	137.038
40.599998	137.119
41.200001	137.198
41.799999	137.274
42.500000	137.358
43.099998	137.427
43.700001	137.493
44.400002	137.568
45.000000	137.630
45.500000	137.681
46.200001	137.751
46.799999	137.810
47.500000	137.878
48.200001	137.943
48.700001	137.987
49.400002	138.046
50.000000	138.093
50.799999	138.152
51.500000	138.202
52.200001	138.252
53.000000	138.307
53.799999	138.360
54.500000	138.406
55.200001	138.449
56.000000	138.496
57.000000	138.553
58.000000	138.607
59.000000	138.659
60.000000	138.710
60.799999	138.749
61.500000	138.781
62.200001	138.811
63.000000	138.844
64.000000	138.882
65.000000	138.918
66.000000	138.953
67.000000	138.986
68.000000	139.018
69.000000	139.048
70.000000	139.079
71.000000	139.109
72.000000	139.138
73.000000	139.167
74.000000	139.194
75.000000	139.220
76.199997	139.249
77.500000	139.280
78.800003	139.308
80.000000	139.333
81.199997	139.357
82.500000	139.383
83.800003	139.408
85.000000	139.429
86.199997	139.448
87.500000	139.468
88.500000	139.482
90.000000	139.500
91.199997	139.514
92.500000	139.528
93.800003	139.540
95.000000	139.552
96.199997	139.562
97.500000	139.573
98.800003	139.584
100.000000	139.593
101.500000	139.604
103.000000	139.614
104.400002	139.623
106.000000	139.633
107.500000	139.644
109.000000	139.654
110.599998	139.665
112.000000	139.673
113.800003	139.683
115.000000	139.688
117.199997	139.697
118.000000	139.700
120.599998	139.710
122.000000	139.716
124.099998	139.724
125.000000	139.727
126.500000	139.733
128.000000	139.741
131.500000	139.769
132.000000	139.775
134.000000	139.806
136.000000	139.844
138.000000	139.878
140.000000	139.896
143.000000	139.878
145.000000	139.848
147.500000	139.810
150.000000	139.786
152.500000	139.777
155.000000	139.779
157.500000	139.786
160.000000	139.794
162.500000	139.800
165.000000	139.800
167.500000	139.793
170.000000	139.780
172.500000	139.768
175.000000	139.765
177.500000	139.776
180.000000	139.802
182.500000	139.834
185.000000	139.855
187.500000	139.857
190.000000	139.842
192.500000	139.817
195.000000	139.793
197.500000	139.774
200.000000	139.762
203.000000	139.752
206.000000	139.746
209.000000	139.740
212.000000	139.733
214.000000	139.727
218.000000	139.713
220.000000	139.706
224.000000	139.692
227.000000	139.682
230.000000	139.671
233.000000	139.659
236.000000	139.646
240.000000	139.628
243.000000	139.615
247.000000	139.597
250.000000	139.585
254.000000	139.568
258.000000	139.549
262.000000	139.527
265.000000	139.509
269.000000	139.483
272.000000	139.461
276.000000	139.430
280.000000	139.394
285.000000	139.343
290.000000	139.282
295.000000	139.207
300.000000	139.117
304.000000	139.036
307.000000	138.975
311.000000	138.906
315.000000	138.877
320.000000	138.943
325.000000	139.141
330.000000	139.414
335.000000	139.664
340.000000	139.819
345.000000	139.868
350.000000	139.840
355.000000	139.773
360.000000	139.693
365.000000	139.616
370.000000	139.547
375.000000	139.486
382.000000	139.408
387.000000	139.354
395.000000	139.268
400.000000	139.212
406.000000	139.140
412.000000	139.063
418.000000	138.981
425.000000	138.893
431.000000	138.832
437.000000	138.785
444.000000	138.736
450.000000	138.691
455.000000	138.647
462.000000	138.576
468.000000	138.509
475.000000	138.426
482.000000	138.340
487.000000	138.277
494.000000	138.188
500.000000	138.109
508.000000	138.003
515.000000	137.907
522.000000	137.809
530.000000	137.694
538.000000	137.576
545.000000	137.470
552.000000	137.361
560.000000	137.234
570.000000	137.071
580.000000	136.905
590.000000	136.735
600.000000	136.560
608.000000	136.416
615.000000	136.288
622.000000	136.159
630.000000	136.009
640.000000	135.820
650.000000	135.631
660.000000	135.441
670.000000	135.249
680.000000	135.056
690.000000	134.862
700.000000	134.667
710.000000	134.471
720.000000	134.275
730.000000	134.080
740.000000	133.886
750.000000	133.692
762.000000	133.462
775.000000	133.217
788.000000	132.978
800.000000	132.762
812.000000	132.552
825.000000	132.332
838.000000	132.121
850.000000	131.933
862.000000	131.754
875.000000	131.570
885.000000	131.437
900.000000	131.250
912.000000	131.113
925.000000	130.978
938.000000	130.856
950.000000	130.757
962.000000	130.674
975.000000	130.605
988.000000	130.563
1000.000000	130.547
1015.000000	130.556
1030.000000	130.594
1044.000000	130.651
1060.000000	130.742
1075.000000	130.850
1090.000000	130.980
1106.000000	131.142
1120.000000	131.302
1138.000000	131.531
1150.000000	131.696
1172.000000	132.019
1180.000000	132.142
1206.000000	132.556
1220.000000	132.786
1241.000000	133.136
1250.000000	133.287
1265.000000	133.537
1280.000000	133.785
1315.000000	134.345
1320.000000	134.422
1340.000000	134.719
1360.000000	134.999
1380.000000	135.258
1400.000000	135.493
1430.000000	135.799
1450.000000	135.968
1475.000000	136.141
1500.000000	136.270
1525.000000	136.357
1550.000000	136.407
1575.000000	136.422
1600.000000	136.409
1625.000000	136.369
1650.000000	136.308
1675.000000	136.227
1700.000000	136.128
1725.000000	136.011
1750.000000	135.878
1775.000000	135.729
1800.000000	135.566
1825.000000	135.392
1850.000000	135.211
1875.000000	135.025
1900.000000	134.837
1925.000000	134.649
1950.000000	134.461
1975.000000	134.274
2000.000000	134.088
2030.000000	133.866
2060.000000	133.647
2090.000000	133.432
2120.000000	133.222
2140.000000	133.087
2180.000000	132.828
2200.000000	132.705
2240.000000	132.475
2270.000000	132.315
2300.000000	132.165
2330.000000	132.026
2360.000000	131.898
2400.000000	131.743
2430.000000	131.640
2470.000000	131.518
2500.000000	131.436
2540.000000	131.334
2580.000000	131.237
2620.000000	131.144
2650.000000	131.079
2690.000000	131.002
2720.000000	130.956
2760.000000	130.914
2800.000000	130.894
2850.000000	130.890
2900.000000	130.896
2950.000000	130.898
3000.000000	130.895
3040.000000	130.892
3070.000000	130.893
3110.000000	130.900
3150.000000	130.918
3200.000000	130.956
3250.000000	131.010
3300.000000	131.078
3350.000000	131.153
3400.000000	131.233
3450.000000	131.315
3500.000000	131.400
3550.000000	131.490
3600.000000	131.590
3650.000000	131.701
3700.000000	131.825
3750.000000	131.960
3820.000000	132.161
3870.000000	132.304
3950.000000	132.512
4000.000000	132.620
4060.000000	132.718
4120.000000	132.780
4180.000000	132.804
4250.000000	132.790
4310.000000	132.746
4370.000000	132.683
4440.000000	132.596
4500.000000	132.514
4550.000000	132.437
4620.000000	132.307
4680.000000	132.172
4750.000000	131.987
4820.000000	131.779
4870.000000	131.620
4940.000000	131.385
5000.000000	131.174
5080.000000	130.883
5150.000000	130.630
5220.000000	130.394
5300.000000	130.169
5380.000000	130.005
5450.000000	129.901
5520.000000	129.807
5600.000000	129.688
5700.000000	129.516
5800.000000	129.348
5900.000000	129.221
6000.000000	129.146
6080.000000	129.124
6150.000000	129.132
6220.000000	129.167
6300.000000	129.240
6400.000000	129.383
6500.000000	129.586
6600.000000	129.847
6700.000000	130.162
6800.000000	130.529
6900.000000	130.943
7000.000000	131.402
7100.000000	131.907
7200.000000	132.459
7300.000000	133.056
7400.000000	133.690
7500.000000	134.345
7620.000000	135.113
7750.000000	135.840
7880.000000	136.351
8000.000000	136.545
8120.000000	136.418
8250.000000	135.900
8380.000000	135.008
8500.000000	133.902
8620.000000	132.588
8750.000000	131.010
8850.000000	129.739
9000.000000	127.824
9120.000000	126.367
9250.000000	124.988
9380.000000	123.999
9500.000000	123.582
9620.000000	123.621
9750.000000	123.949
9880.000000	124.285
10000.000000	124.442
10150.000000	124.356
10300.000000	123.989
10440.000000	123.475
10600.000000	122.790
10750.000000	122.134
10900.000000	121.512
11060.000000	120.907
11200.000000	120.429
11380.000000	119.883
11500.000000	119.560
11720.000000	119.048
11800.000000	118.887
12060.000000	118.457
12200.000000	118.280
12410.000000	118.094
12500.000000	118.049
12650.000000	118.029
12800.000000	118.080
13150.000000	118.442
13200.000000	118.519
13400.000000	118.909
13600.000000	119.473
13800.000000	120.286
14000.000000	121.401
14300.000000	123.607
14500.000000	125.303
14750.000000	127.442
15000.000000	129.334
15250.000000	130.731
15500.000000	131.460
15750.000000	131.452
16000.000000	130.746
16250.000000	129.476
16500.000000	127.817
16750.000000	125.912
17000.000000	123.819
17250.000000	121.547
17500.000000	119.161
17750.000000	116.839
18000.000000	114.797
18250.000000	113.150
18500.000000	111.896
18750.000000	111.001
19000.000000	110.405
19250.000000	110.000
19500.000000	109.682
19750.000000	109.423
