* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -40.5 dBFS, measurement signal peak level -40.4 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 29-Apr-2024 11:12:57
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0332 ms (-11 mm, -0.45 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset
* Measurement: Zero Red Spring L1
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.901	-103.7993
20.144928	97.995	-104.5325
20.290907	98.076	-105.3171
20.437943	98.144	-106.1270
20.586044	98.198	-106.9309
20.735220	98.239	-107.7049
20.885475	98.270	-108.4218
21.036821	98.293	-109.0618
21.189262	98.314	-109.6175
21.342808	98.338	-110.0881
21.497467	98.368	-110.4851
21.653246	98.409	-110.8329
21.810154	98.462	-111.1568
21.968201	98.527	-111.4895
22.127390	98.601	-111.8597
22.287735	98.681	-112.2848
22.449242	98.761	-112.7753
22.611917	98.837	-113.3264
22.775772	98.904	-113.9210
22.940815	98.961	-114.5374
23.107054	99.006	-115.1433
23.274498	99.040	-115.7115
23.443153	99.068	-116.2188
23.613033	99.094	-116.6517
23.784142	99.125	-117.0159
23.956491	99.166	-117.3307
24.130091	99.221	-117.6320
24.304947	99.291	-117.9675
24.481071	99.374	-118.3827
24.658470	99.464	-118.9226
24.837156	99.555	-119.6115
25.017136	99.635	-120.4581
25.198421	99.696	-121.4473
25.381020	99.728	-122.5408
25.564941	99.725	-123.6869
25.750195	99.684	-124.8108
25.936790	99.605	-125.8383
26.124741	99.490	-126.6810
26.314051	99.351	-127.2658
26.504732	99.199	-127.5278
26.696796	99.055	-127.4380
26.890253	98.938	-127.0094
27.085112	98.868	-126.3099
27.281382	98.861	-125.4621
27.479073	98.922	-124.6214
27.678198	99.047	-123.9495
27.878765	99.222	-123.5793
28.080786	99.425	-123.5917
28.284271	99.635	-124.0086
28.489231	99.831	-124.8013
28.695675	99.997	-125.8987
28.903616	100.122	-127.2130
29.113064	100.202	-128.6401
29.324028	100.239	-130.0848
29.536524	100.236	-131.4605
29.750557	100.204	-132.7003
29.966141	100.154	-133.7651
30.183289	100.098	-134.6451
30.402010	100.046	-135.3585
30.622314	100.006	-135.9449
30.844217	99.980	-136.4525
31.067726	99.966	-136.9227
31.292856	99.961	-137.3840
31.519617	99.961	-137.8447
31.748020	99.963	-138.2998
31.978081	99.967	-138.7377
32.209808	99.975	-139.1530
32.443211	99.989	-139.5514
32.678310	100.011	-139.9519
32.915108	100.040	-140.3790
33.153625	100.072	-140.8551
33.393871	100.103	-141.3870
33.635857	100.126	-141.9639
33.879597	100.139	-142.5567
34.125103	100.140	-143.1313
34.372387	100.134	-143.6590
34.621464	100.126	-144.1281
34.872345	100.122	-144.5499
35.125042	100.124	-144.9521
35.379574	100.132	-145.3682
35.635948	100.143	-145.8174
35.894180	100.152	-146.2973
36.154285	100.154	-146.7834
36.416275	100.153	-147.2436
36.680161	100.154	-147.6609
36.945961	100.165	-148.0487
37.213688	100.194	-148.4610
37.483353	100.239	-148.9733
37.754974	100.292	-149.6508
38.028561	100.338	-150.5196
38.304131	100.356	-151.5394
38.581699	100.336	-152.6084
38.861279	100.274	-153.5894
39.142883	100.178	-154.3392
39.426529	100.073	-154.7600
39.712231	99.985	-154.8472
40.000000	99.941	-154.6973
40.289856	99.951	-154.4839
40.581814	100.008	-154.3955
40.875885	100.090	-154.5509
41.172089	100.169	-154.9615
41.470440	100.225	-155.5483
41.770950	100.248	-156.1807
42.073643	100.243	-156.7277
42.378525	100.227	-157.1102
42.685616	100.217	-157.3298
42.994934	100.227	-157.4592
43.306492	100.259	-157.6058
43.620308	100.306	-157.8630
43.936401	100.350	-158.2689
44.254780	100.379	-158.7926
44.575470	100.385	-159.3582
44.898483	100.371	-159.8876
45.223835	100.348	-160.3389
45.551544	100.327	-160.7260
45.881630	100.315	-161.1092
46.214108	100.309	-161.5583
46.548996	100.297	-162.1059
46.886307	100.267	-162.7182
47.226067	100.214	-163.3034
47.568283	100.145	-163.7576
47.912983	100.079	-164.0258
48.260181	100.035	-164.1439
48.609894	100.029	-164.2338
48.962143	100.056	-164.4447
49.316940	100.100	-164.8771
49.674313	100.135	-165.5366
50.034271	100.145	-166.3416
50.396843	100.122	-167.1676
50.762039	100.071	-167.8967
51.129883	100.004	-168.4491
51.500389	99.935	-168.7906
51.873581	99.875	-168.9267
52.249481	99.838	-168.8992
52.628101	99.833	-168.7899
53.009464	99.866	-168.7170
53.393593	99.928	-168.8079
53.780506	100.001	-169.1523
54.170223	100.065	-169.7663
54.562763	100.097	-170.5902
54.958145	100.088	-171.5174
55.356396	100.035	-172.4306
55.757530	99.945	-173.2247
56.161572	99.826	-173.8154
56.568542	99.694	-174.1460
56.978462	99.568	-174.2043
57.391350	99.466	-174.0404
57.807232	99.402	-173.7598
58.226128	99.375	-173.4815
58.648056	99.380	-173.2895
