* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -41.8 dBFS, measurement signal peak level -41.2 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 29-Apr-2024 11:11:16
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0357 ms (-12 mm, -0.48 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset
* Measurement: Zero Red Spring R2
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	98.891	-110.9746
20.144928	98.921	-111.3990
20.290907	98.955	-111.8173
20.437943	98.993	-112.2421
20.586044	99.035	-112.6874
20.735220	99.079	-113.1618
20.885475	99.124	-113.6719
21.036821	99.167	-114.2197
21.189262	99.205	-114.7995
21.342808	99.238	-115.4017
21.497467	99.263	-116.0140
21.653246	99.281	-116.6184
21.810154	99.293	-117.2001
21.968201	99.300	-117.7440
22.127390	99.305	-118.2383
22.287735	99.311	-118.6796
22.449242	99.322	-119.0693
22.611917	99.340	-119.4163
22.775772	99.368	-119.7378
22.940815	99.407	-120.0521
23.107054	99.457	-120.3835
23.274498	99.518	-120.7524
23.443153	99.586	-121.1767
23.613033	99.659	-121.6690
23.784142	99.733	-122.2324
23.956491	99.805	-122.8646
24.130091	99.871	-123.5554
24.304947	99.929	-124.2888
24.481071	99.977	-125.0472
24.658470	100.016	-125.8090
24.837156	100.045	-126.5563
25.017136	100.066	-127.2712
25.198421	100.082	-127.9426
25.381020	100.094	-128.5634
25.564941	100.105	-129.1330
25.750195	100.117	-129.6566
25.936790	100.132	-130.1428
26.124741	100.150	-130.6040
26.314051	100.171	-131.0508
26.504732	100.194	-131.4929
26.696796	100.218	-131.9349
26.890253	100.240	-132.3773
27.085112	100.262	-132.8158
27.281382	100.280	-133.2432
27.479073	100.297	-133.6522
27.678198	100.312	-134.0373
27.878765	100.328	-134.3981
28.080786	100.348	-134.7400
28.284271	100.371	-135.0753
28.489231	100.399	-135.4196
28.695675	100.431	-135.7911
28.903616	100.465	-136.2038
29.113064	100.498	-136.6662
29.324028	100.527	-137.1771
29.536524	100.548	-137.7267
29.750557	100.560	-138.2963
29.966141	100.563	-138.8649
30.183289	100.558	-139.4095
30.402010	100.547	-139.9146
30.622314	100.534	-140.3719
30.844217	100.523	-140.7849
31.067726	100.516	-141.1659
31.292856	100.516	-141.5349
31.519617	100.524	-141.9118
31.748020	100.536	-142.3135
31.978081	100.552	-142.7491
32.209808	100.568	-143.2188
32.443211	100.582	-143.7152
32.678310	100.594	-144.2269
32.915108	100.604	-144.7426
33.153625	100.613	-145.2540
33.393871	100.621	-145.7582
33.635857	100.631	-146.2568
33.879597	100.642	-146.7545
34.125103	100.654	-147.2545
34.372387	100.666	-147.7574
34.621464	100.676	-148.2592
34.872345	100.685	-148.7529
35.125042	100.692	-149.2310
35.379574	100.700	-149.6896
35.635948	100.710	-150.1312
35.894180	100.722	-150.5652
36.154285	100.738	-151.0072
36.416275	100.757	-151.4734
36.680161	100.774	-151.9751
36.945961	100.787	-152.5139
37.213688	100.793	-153.0787
37.483353	100.788	-153.6477
37.754974	100.774	-154.1946
38.028561	100.753	-154.6943
38.304131	100.728	-155.1327
38.581699	100.706	-155.5130
38.861279	100.689	-155.8528
39.142883	100.680	-156.1818
39.426529	100.677	-156.5300
39.712231	100.678	-156.9140
40.000000	100.678	-157.3336
40.289856	100.675	-157.7733
40.581814	100.668	-158.2116
40.875885	100.662	-158.6357
41.172089	100.661	-159.0522
41.470440	100.668	-159.4863
41.770950	100.681	-159.9721
42.073643	100.694	-160.5340
