* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -40.6 dBFS, measurement signal peak level -40.6 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 29-Apr-2024 10:57:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0332 ms (-11 mm, -0.45 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset
* Measurement: Zero Red Stock Narrow L1
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	98.082	-104.7999
20.144928	98.174	-105.1686
20.290907	98.271	-105.6088
20.437943	98.370	-106.1287
20.586044	98.464	-106.7301
20.735220	98.549	-107.4041
20.885475	98.622	-108.1288
21.036821	98.681	-108.8818
21.189262	98.726	-109.6356
21.342808	98.757	-110.3608
21.497467	98.776	-111.0387
21.653246	98.788	-111.6522
21.810154	98.797	-112.1942
21.968201	98.807	-112.6692
22.127390	98.821	-113.0874
22.287735	98.841	-113.4668
22.449242	98.869	-113.8301
22.611917	98.903	-114.1948
22.775772	98.943	-114.5779
22.940815	98.985	-114.9880
23.107054	99.026	-115.4258
23.274498	99.066	-115.8871
23.443153	99.102	-116.3616
23.613033	99.136	-116.8385
23.784142	99.167	-117.3091
23.956491	99.197	-117.7680
24.130091	99.229	-118.2173
24.304947	99.264	-118.6643
24.481071	99.303	-119.1199
24.658470	99.344	-119.5984
24.837156	99.388	-120.1100
25.017136	99.430	-120.6619
25.198421	99.470	-121.2532
25.381020	99.503	-121.8754
25.564941	99.529	-122.5151
25.750195	99.547	-123.1526
25.936790	99.557	-123.7709
26.124741	99.561	-124.3541
26.314051	99.564	-124.8953
26.504732	99.567	-125.3956
26.696796	99.575	-125.8657
26.890253	99.589	-126.3241
27.085112	99.608	-126.7917
27.281382	99.632	-127.2889
27.479073	99.657	-127.8278
27.678198	99.679	-128.4120
27.878765	99.694	-129.0311
28.080786	99.700	-129.6659
28.284271	99.696	-130.2870
28.489231	99.682	-130.8655
28.695675	99.662	-131.3732
28.903616	99.642	-131.7950
29.113064	99.627	-132.1296
29.324028	99.625	-132.3954
29.536524	99.639	-132.6265
29.750557	99.671	-132.8701
29.966141	99.721	-133.1726
30.183289	99.782	-133.5744
30.402010	99.847	-134.0954
30.622314	99.908	-134.7351
30.844217	99.957	-135.4691
31.067726	99.990	-136.2586
31.292856	100.005	-137.0522
31.519617	100.004	-137.8031
31.748020	99.992	-138.4729
31.978081	99.976	-139.0427
32.209808	99.964	-139.5154
32.443211	99.961	-139.9150
32.678310	99.971	-140.2788
32.915108	99.991	-140.6450
33.153625	100.019	-141.0448
33.393871	100.049	-141.4904
33.635857	100.077	-141.9773
33.879597	100.098	-142.4855
34.125103	100.111	-142.9909
34.372387	100.119	-143.4718
34.621464	100.123	-143.9156
34.872345	100.127	-144.3224
35.125042	100.132	-144.7010
35.379574	100.140	-145.0658
35.635948	100.150	-145.4284
35.894180	100.161	-145.7957
36.154285	100.172	-146.1693
36.416275	100.183	-146.5492
36.680161	100.194	-146.9380
36.945961	100.208	-147.3435
37.213688	100.223	-147.7791
37.483353	100.240	-148.2587
37.754974	100.256	-148.7905
38.028561	100.267	-149.3736
38.304131	100.272	-149.9954
38.581699	100.270	-150.6367
38.861279	100.261	-151.2791
