* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -31.3 dBFS, measurement signal peak level -34.9 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 29-Apr-2024 11:01:48
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0367 ms (-13 mm, -0.49 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset
* Measurement: Zero Red Stock Narrow R1
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	98.268	-109.9633
20.144928	98.392	-110.1810
20.290907	98.520	-110.5517
20.437943	98.645	-111.0659
20.586044	98.758	-111.7037
20.735220	98.855	-112.4374
20.885475	98.933	-113.2221
21.036821	98.991	-114.0177
21.189262	99.031	-114.7855
21.342808	99.058	-115.4876
21.497467	99.076	-116.1056
21.653246	99.091	-116.6299
21.810154	99.111	-117.0639
21.968201	99.140	-117.4300
22.127390	99.181	-117.7570
22.287735	99.236	-118.0783
22.449242	99.303	-118.4309
22.611917	99.379	-118.8385
22.775772	99.459	-119.3200
22.940815	99.540	-119.8809
23.107054	99.615	-120.5145
23.274498	99.683	-121.2087
23.443153	99.741	-121.9430
23.613033	99.789	-122.6962
23.784142	99.826	-123.4487
23.956491	99.855	-124.1821
24.130091	99.877	-124.8843
24.304947	99.893	-125.5464
24.481071	99.907	-126.1646
24.658470	99.921	-126.7386
24.837156	99.936	-127.2718
25.017136	99.954	-127.7708
25.198421	99.976	-128.2450
25.381020	100.004	-128.7077
25.564941	100.037	-129.1733
25.750195	100.076	-129.6591
25.936790	100.118	-130.1790
26.124741	100.161	-130.7450
26.314051	100.202	-131.3601
26.504732	100.235	-132.0187
26.696796	100.258	-132.7045
26.890253	100.268	-133.3909
27.085112	100.265	-134.0468
27.281382	100.249	-134.6378
27.479073	100.225	-135.1369
27.678198	100.199	-135.5269
27.878765	100.178	-135.8104
28.080786	100.168	-136.0068
28.284271	100.174	-136.1565
28.489231	100.197	-136.3057
28.695675	100.235	-136.5046
28.903616	100.282	-136.7873
29.113064	100.330	-137.1713
29.324028	100.373	-137.6489
29.536524	100.404	-138.1945
29.750557	100.420	-138.7670
29.966141	100.424	-139.3253
30.183289	100.418	-139.8325
30.402010	100.411	-140.2725
30.622314	100.409	-140.6514
30.844217	100.419	-141.0025
31.067726	100.444	-141.3752
31.292856	100.484	-141.8293
31.519617	100.532	-142.4102
31.748020	100.578	-143.1419
31.978081	100.612	-144.0125
32.209808	100.624	-144.9785
32.443211	100.609	-145.9662
32.678310	100.567	-146.8913
32.915108	100.507	-147.6777
33.153625	100.443	-148.2752
33.393871	100.391	-148.6871
33.635857	100.366	-148.9703
33.879597	100.377	-149.2328
34.125103	100.418	-149.5851
34.372387	100.476	-150.1051
34.621464	100.529	-150.8032
34.872345	100.558	-151.6103
35.125042	100.555	-152.4035
35.379574	100.525	-153.0324
35.635948	100.487	-153.3917
35.894180	100.471	-153.4662
36.154285	100.504	-153.3651
36.416275	100.600	-153.3058
36.680161	100.746	-153.5139
36.945961	100.909	-154.1415
37.213688	101.044	-155.1974
37.483353	101.116	-156.5437
37.754974	101.107	-157.9568
38.028561	101.019	-159.1749
38.304131	100.880	-159.9795
38.581699	100.730	-160.2818
38.861279	100.613	-160.1523
39.142883	100.557	-159.8118
39.426529	100.557	-159.5352
39.712231	100.588	-159.5007
40.000000	100.614	-159.7347
40.289856	100.611	-160.1348
40.581814	100.576	-160.5419
40.875885	100.526	-160.8457
41.172089	100.482	-161.0430
41.470440	100.460	-161.2235
41.770950	100.457	-161.5065
42.073643	100.453	-161.9529
42.378525	100.427	-162.5086
42.685616	100.373	-163.0361
42.994934	100.303	-163.3993
43.306492	100.245	-163.5490
43.620308	100.228	-163.5717
43.936401	100.261	-163.6613
44.254780	100.328	-164.0046
44.575470	100.393	-164.6608
44.898483	100.426	-165.5352
45.223835	100.414	-166.4406
45.551544	100.368	-167.1945
45.881630	100.313	-167.7061
46.214108	100.277	-168.0184
46.548996	100.269	-168.2739
46.886307	100.280	-168.6145
47.226067	100.287	-169.0850
47.568283	100.269	-169.6111
47.912983	100.224	-170.0563
48.260181	100.167	-170.3129
48.609894	100.123	-170.3743
48.962143	100.109	-170.3488
49.316940	100.128	-170.4050
49.674313	100.165	-170.6806
50.034271	100.193	-171.2148
50.396843	100.193	-171.9371
50.762039	100.152	-172.7069
51.129883	100.078	-173.3737
51.500389	99.989	-173.8364
51.873581	99.909	-174.0834
52.249481	99.859	-174.1986
52.628101	99.846	-174.3219
53.009464	99.862	-174.5829
53.393593	99.890	-175.0432
53.780506	99.911	-175.6810
54.170223	99.914	-176.4156
54.562763	99.896	-177.1494
54.958145	99.860	-177.8011
55.356396	99.814	-178.3204
55.757530	99.767	-178.6893
56.161572	99.728	-178.9212
56.568542	99.702	-179.0615
56.978462	99.693	-179.1782
57.391350	99.692	-179.3346
57.807232	99.691	-179.5541
58.226128	99.678	-179.8084
58.648056	99.654	179.9551
59.073048	99.623	179.7649
59.501114	99.593	179.5986
59.932281	99.565	179.4067
60.366577	99.532	179.1683
60.804020	99.490	178.9206
61.244629	99.443	178.7240
61.688435	99.408	178.5933
62.135452	99.398	178.4592
62.585712	99.414	178.2059
63.039234	99.444	177.7547
63.496040	99.472	177.1151
63.956161	99.486	176.3671
64.419617	99.486	175.6080
64.886421	99.476	174.9122
65.356621	99.461	174.3237
65.830215	99.445	173.8666
66.307251	99.432	173.5503
66.787743	99.423	173.3657
67.271713	99.421	173.2818
67.759193	99.422	173.2519
68.250206	99.418	173.2330
68.744774	99.401	173.2108
69.242928	99.362	173.2088
69.744690	99.301	173.2623
70.250084	99.225	173.3690
70.759148	99.142	173.4678
71.271896	99.050	173.4833
71.788361	98.943	173.3965
72.308571	98.822	173.2550
72.832550	98.701	173.0951
73.360321	98.599	172.8608
73.891922	98.523	172.4288
74.427376	98.460	171.7287
74.966705	98.392	170.8299
75.509949	98.313	169.9010
76.057121	98.231	169.0978
76.608261	98.160	168.4935
77.163399	98.112	168.0802
77.722557	98.088	167.8015
78.285767	98.082	167.5871
78.853058	98.081	167.3871
79.424461	98.072	167.1940
80.000000	98.050	167.0255
80.579712	98.015	166.8923
81.163628	97.972	166.7892
81.751770	97.928	166.6964
82.344177	97.892	166.5817
82.940880	97.868	166.4226
83.541901	97.858	166.2195
84.147285	97.864	165.9648
84.757050	97.878	165.6566
85.371231	97.881	165.3988
85.989868	97.869	165.3804
86.612984	97.856	165.7015
87.240616	97.849	166.3976
87.872803	97.865	167.6104
88.509560	97.967	169.2421
89.150940	98.193	170.3698
89.796967	98.424	169.9663
90.447670	98.470	168.2190
91.103088	98.261	166.3652
91.763260	97.907	165.3804
92.428215	97.567	165.1523
93.097992	97.305	164.9989
93.772614	97.100	164.6409
94.452133	96.945	164.1812
95.136566	96.844	163.6699
95.825966	96.784	163.1327
96.520363	96.751	162.6536
97.219788	96.733	162.2926
97.924286	96.713	162.0911
98.633881	96.684	162.0862
99.348625	96.647	162.2319
100.068542	96.600	162.4245
100.793686	96.539	162.6025
101.524078	96.469	162.7195
102.259766	96.396	162.7042
103.000778	96.321	162.5304
103.747162	96.245	162.2519
