* Measurement data measured by REW V5.31
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R Zero Red Stock Narrow, R Zero Red Stock Narrow
* Dated: 29-Apr-2024 11:05:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of R Zero Red Stock Narrow, R Zero Red Stock Narrow
* Measurement: Zero Red Stock Narrow R2
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	98.879
20.144928	98.924
20.290907	98.968
20.437943	99.009
20.586044	99.049
20.735220	99.087
20.885475	99.124
21.036821	99.160
21.189262	99.195
21.342808	99.229
21.497467	99.263
21.653246	99.295
21.810154	99.327
21.968201	99.356
22.127390	99.384
22.287735	99.410
22.449242	99.434
22.611917	99.456
22.775772	99.476
22.940815	99.495
23.107054	99.514
23.274498	99.533
23.443153	99.551
23.613033	99.571
23.784142	99.591
23.956491	99.613
24.130091	99.637
24.304947	99.663
24.481071	99.692
24.658470	99.722
24.837156	99.755
25.017136	99.788
25.198421	99.822
25.381020	99.855
25.564941	99.885
25.750195	99.912
25.936790	99.936
26.124741	99.956
26.314051	99.973
26.504732	99.989
26.696796	100.006
26.890253	100.026
27.085112	100.051
27.281382	100.083
27.479073	100.120
27.678198	100.162
27.878765	100.205
28.080786	100.247
28.284271	100.284
28.489231	100.313
28.695675	100.332
28.903616	100.342
29.113064	100.344
29.324028	100.342
29.536524	100.337
29.750557	100.336
29.966141	100.338
30.183289	100.347
30.402010	100.361
30.622314	100.378
30.844217	100.395
31.067726	100.411
31.292856	100.425
31.519617	100.435
31.748020	100.443
31.978081	100.452
32.209808	100.461
32.443211	100.474
32.678310	100.490
32.915108	100.508
33.153625	100.527
33.393871	100.543
33.635857	100.555
33.879597	100.562
34.125103	100.564
34.372387	100.562
34.621464	100.559
34.872345	100.557
35.125042	100.558
35.379574	100.563
35.635948	100.569
35.894180	100.578
36.154285	100.585
36.416275	100.590
36.680161	100.592
36.945961	100.592
37.213688	100.591
37.483353	100.591
37.754974	100.592
38.028561	100.596
38.304131	100.600
38.581699	100.602
38.861279	100.599
39.142883	100.592
39.426529	100.581
39.712231	100.570
40.000000	100.560
40.289856	100.556
40.581814	100.556
40.875885	100.560
41.172089	100.564
41.470440	100.564
41.770950	100.558
42.073643	100.545
42.378525	100.527
42.685616	100.509
42.994934	100.494
43.306492	100.483
43.620308	100.477
43.936401	100.475
44.254780	100.474
44.575470	100.473
44.898483	100.472
45.223835	100.470
45.551544	100.467
45.881630	100.461
46.214108	100.450
46.548996	100.434
46.886307	100.414
47.226067	100.392
47.568283	100.370
