* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -40.4 dBFS, measurement signal peak level -40.5 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 29-Apr-2024 10:48:40
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0349 ms (-12 mm, -0.47 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset
* Measurement: Zero Red Stock Wide L4
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.944	-103.2721
20.144928	98.030	-103.6432
20.290907	98.119	-104.1120
20.437943	98.205	-104.6693
20.586044	98.284	-105.2977
20.735220	98.352	-105.9768
20.885475	98.409	-106.6760
21.036821	98.455	-107.3692
21.189262	98.491	-108.0345
21.342808	98.522	-108.6527
21.497467	98.550	-109.2176
21.653246	98.579	-109.7311
21.810154	98.612	-110.2012
21.968201	98.652	-110.6467
22.127390	98.700	-111.0876
22.287735	98.753	-111.5426
22.449242	98.811	-112.0291
22.611917	98.869	-112.5545
22.775772	98.926	-113.1193
22.940815	98.978	-113.7177
23.107054	99.023	-114.3345
23.274498	99.060	-114.9543
23.443153	99.090	-115.5592
23.613033	99.114	-116.1341
23.784142	99.135	-116.6713
23.956491	99.156	-117.1680
24.130091	99.179	-117.6302
24.304947	99.206	-118.0696
24.481071	99.238	-118.5001
24.658470	99.274	-118.9376
24.837156	99.313	-119.3926
25.017136	99.352	-119.8719
25.198421	99.390	-120.3747
25.381020	99.425	-120.8944
25.564941	99.456	-121.4213
25.750195	99.482	-121.9430
25.936790	99.506	-122.4508
26.124741	99.529	-122.9390
26.314051	99.552	-123.4082
26.504732	99.579	-123.8649
26.696796	99.608	-124.3190
26.890253	99.641	-124.7831
27.085112	99.677	-125.2666
27.281382	99.712	-125.7763
27.479073	99.747	-126.3121
27.678198	99.778	-126.8690
27.878765	99.804	-127.4370
28.080786	99.826	-128.0047
28.284271	99.844	-128.5605
28.489231	99.859	-129.0963
28.695675	99.872	-129.6076
28.903616	99.886	-130.0950
29.113064	99.902	-130.5630
29.324028	99.920	-131.0187
29.536524	99.940	-131.4696
29.750557	99.963	-131.9229
29.966141	99.987	-132.3837
30.183289	100.012	-132.8550
30.402010	100.036	-133.3372
30.622314	100.059	-133.8285
30.844217	100.080	-134.3248
31.067726	100.099	-134.8211
31.292856	100.115	-135.3111
31.519617	100.130	-135.7901
31.748020	100.144	-136.2558
31.978081	100.159	-136.7105
32.209808	100.176	-137.1619
32.443211	100.196	-137.6223
32.678310	100.217	-138.1053
32.915108	100.238	-138.6206
33.153625	100.255	-139.1697
33.393871	100.265	-139.7410
33.635857	100.265	-140.3118
33.879597	100.255	-140.8485
34.125103	100.238	-141.3203
34.372387	100.220	-141.7066
34.621464	100.208	-142.0074
34.872345	100.210	-142.2493
35.125042	100.229	-142.4790
35.379574	100.265	-142.7556
35.635948	100.312	-143.1265
35.894180	100.363	-143.6149
36.154285	100.406	-144.2132
36.416275	100.436	-144.8829
36.680161	100.449	-145.5724
36.945961	100.447	-146.2288
37.213688	100.436	-146.8146
37.483353	100.424	-147.3194
37.754974	100.418	-147.7575
38.028561	100.419	-148.1599
38.304131	100.429	-148.5601
38.581699	100.443	-148.9788
38.861279	100.457	-149.4206
39.142883	100.469	-149.8765
39.426529	100.479	-150.3322
39.712231	100.487	-150.7787
40.000000	100.494	-151.2153
40.289856	100.502	-151.6475
40.581814	100.508	-152.0809
40.875885	100.513	-152.5146
41.172089	100.516	-152.9409
41.470440	100.517	-153.3507
41.770950	100.519	-153.7403
42.073643	100.523	-154.1183
42.378525	100.532	-154.5046
42.685616	100.544	-154.9209
42.994934	100.554	-155.3795
43.306492	100.560	-155.8766
43.620308	100.558	-156.3919
43.936401	100.547	-156.8971
44.254780	100.531	-157.3681
44.575470	100.514	-157.7968
44.898483	100.499	-158.1922
45.223835	100.487	-158.5730
45.551544	100.479	-158.9573
45.881630	100.471	-159.3525
46.214108	100.463	-159.7538
46.548996	100.452	-160.1498
46.886307	100.443	-160.5332
47.226067	100.435	-160.9081
47.568283	100.431	-161.2899
47.912983	100.429	-161.6944
48.260181	100.424	-162.1248
48.609894	100.415	-162.5651
48.962143	100.400	-162.9861
49.316940	100.383	-163.3620
49.674313	100.369	-163.6899
50.034271	100.364	-163.9979
50.396843	100.369	-164.3334
50.762039	100.378	-164.7361
51.129883	100.383	-165.2115
51.500389	100.377	-165.7256
51.873581	100.359	-166.2238
52.249481	100.336	-166.6661
52.628101	100.316	-167.0517
53.009464	100.303	-167.4184
53.393593	100.298	-167.8133
53.780506	100.293	-168.2562
54.170223	100.280	-168.7258
54.562763	100.257	-169.1763
54.958145	100.230	-169.5706
55.356396	100.204	-169.9046
55.757530	100.184	-170.2050
56.161572	100.169	-170.5043
56.568542	100.155	-170.8174
56.978462	100.141	-171.1375
57.391350	100.126	-171.4523
57.807232	100.112	-171.7630
58.226128	100.100	-172.0867
58.648056	100.089	-172.4428
59.073048	100.074	-172.8357
59.501114	100.053	-173.2496
59.932281	100.025	-173.6585
60.366577	99.993	-174.0427
60.804020	99.960	-174.3991
61.244629	99.929	-174.7389
61.688435	99.901	-175.0771
62.135452	99.875	-175.4214
62.585712	99.850	-175.7689
63.039234	99.826	-176.1122
63.496040	99.804	-176.4495
63.956161	99.784	-176.7884
64.419617	99.766	-177.1387
64.886421	99.746	-177.5017
65.356621	99.723	-177.8659
65.830215	99.696	-178.2151
66.307251	99.668	-178.5410
66.787743	99.640	-178.8499
67.271713	99.612	-179.1559
67.759193	99.583	-179.4692
68.250206	99.551	-179.7876
68.744774	99.516	179.9006
69.242928	99.479	179.6064
69.744690	99.445	179.3286
70.250084	99.414	179.0507
70.759148	99.386	178.7534
71.271896	99.357	178.4327
71.788361	99.326	178.1051
72.308571	99.292	177.7927
72.832550	99.257	177.5047
73.360321	99.224	177.2341
73.891922	99.191	176.9695
74.427376	99.157	176.7027
74.966705	99.120	176.4286
75.509949	99.079	176.1494
76.057121	99.033	175.8808
76.608261	98.984	175.6427
77.163399	98.937	175.4333
77.722557	98.898	175.2182
78.285767	98.864	174.9576
78.853058	98.830	174.6456
79.424461	98.793	174.3183
80.000000	98.755	174.0211
80.579712	98.722	173.7701
81.163628	98.694	173.5502
81.751770	98.670	173.3452
82.344177	98.645	173.1595
82.940880	98.617	173.0104
83.541901	98.583	172.9088
84.147285	98.546	172.8447
84.757050	98.507	172.7732
85.371231	98.460	172.6339
85.989868	98.398	172.4101
86.612984	98.318	172.1296
87.240616	98.225	171.7690
87.872803	98.111	171.2847
88.509560	97.956	170.8455
89.150940	97.780	170.8491
89.796967	97.666	171.4117
90.447670	97.677	171.9861
91.103088	97.768	171.9269
91.763260	97.846	171.2630
92.428215	97.875	170.4695
93.097992	97.877	169.8452
93.772614	97.871	169.3942
94.452133	97.856	169.0814
95.136566	97.834	168.9019
95.825966	97.809	168.8007
96.520363	97.778	168.7124
97.219788	97.736	168.6147
97.924286	97.686	168.5012
98.633881	97.628	168.3694
99.348625	97.566	168.2286
100.068542	97.506	168.0776
100.793686	97.451	167.9071
101.524078	97.398	167.7272
102.259766	97.346	167.5599
103.000778	97.296	167.4179
103.747162	97.245	167.3095
104.498962	97.191	167.2418
105.256203	97.137	167.2033
106.018929	97.082	167.1663
106.787186	97.025	167.1083
107.561012	96.965	167.0235
108.340446	96.904	166.9199
109.125526	96.844	166.8112
109.916290	96.788	166.7016
110.712791	96.737	166.5887
111.515060	96.688	166.4817
112.323143	96.640	166.3990
113.137085	96.591	166.3526
113.956924	96.542	166.3400
114.782700	96.491	166.3448
115.614464	96.438	166.3506
116.452255	96.380	166.3578
117.296112	96.319	166.3786
118.146095	96.258	166.4142
119.002228	96.201	166.4531
119.864563	96.149	166.4799
120.733154	96.100	166.4805
121.608040	96.051	166.4606
122.489258	95.999	166.4449
123.376869	95.946	166.4462
124.270905	95.892	166.4632
125.171425	95.840	166.4960
126.078468	95.788	166.5387
126.992081	95.738	166.5813
127.912323	95.687	166.6220
128.839233	95.635	166.6698
129.772842	95.582	166.7367
130.713242	95.527	166.8301
131.660431	95.474	166.9495
132.614502	95.422	167.0827
133.575485	95.372	167.2179
134.543427	95.323	167.3564
135.518387	95.274	167.5011
136.500412	95.225	167.6534
137.489548	95.175	167.8137
138.485855	95.125	167.9799
139.489380	95.073	168.1502
140.500168	95.020	168.3239
141.518295	94.968	168.5024
142.543793	94.916	168.6791
143.576721	94.866	168.8508
144.617142	94.817	169.0305
145.665100	94.769	169.2237
