* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -41.6 dBFS, measurement signal peak level -41.2 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 29-Apr-2024 10:39:12
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0361 ms (-12 mm, -0.49 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset
* Measurement: Zero Red Stock Wide R1
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	98.885	-112.5904
20.144928	98.903	-113.0862
20.290907	98.922	-113.5373
20.437943	98.944	-113.9506
20.586044	98.970	-114.3367
20.735220	99.002	-114.7064
20.885475	99.039	-115.0749
21.036821	99.082	-115.4553
21.189262	99.129	-115.8585
21.342808	99.178	-116.2940
21.497467	99.227	-116.7650
21.653246	99.274	-117.2713
21.810154	99.319	-117.8091
21.968201	99.359	-118.3696
22.127390	99.393	-118.9427
22.287735	99.423	-119.5178
22.449242	99.448	-120.0834
22.611917	99.470	-120.6322
22.775772	99.490	-121.1591
22.940815	99.511	-121.6632
23.107054	99.533	-122.1487
23.274498	99.559	-122.6224
23.443153	99.589	-123.0950
23.613033	99.623	-123.5776
23.784142	99.660	-124.0799
23.956491	99.700	-124.6101
24.130091	99.739	-125.1709
24.304947	99.777	-125.7612
24.481071	99.811	-126.3755
24.658470	99.841	-127.0037
24.837156	99.866	-127.6353
25.017136	99.886	-128.2577
25.198421	99.902	-128.8616
25.381020	99.917	-129.4391
25.564941	99.930	-129.9879
25.750195	99.944	-130.5091
25.936790	99.960	-131.0076
26.124741	99.979	-131.4910
26.314051	100.001	-131.9668
26.504732	100.025	-132.4422
26.696796	100.050	-132.9212
26.890253	100.075	-133.4052
27.085112	100.100	-133.8930
27.281382	100.124	-134.3814
27.479073	100.147	-134.8675
27.678198	100.169	-135.3492
27.878765	100.190	-135.8264
28.080786	100.211	-136.3008
28.284271	100.232	-136.7752
28.489231	100.252	-137.2525
28.695675	100.270	-137.7336
28.903616	100.286	-138.2172
29.113064	100.300	-138.6994
29.324028	100.311	-139.1752
29.536524	100.321	-139.6402
29.750557	100.329	-140.0931
29.966141	100.339	-140.5364
30.183289	100.350	-140.9781
30.402010	100.363	-141.4279
30.622314	100.378	-141.8961
30.844217	100.392	-142.3883
31.067726	100.404	-142.9036
31.292856	100.411	-143.4332
31.519617	100.414	-143.9638
31.748020	100.415	-144.4815
31.978081	100.414	-144.9787
32.209808	100.417	-145.4594
32.443211	100.426	-145.9413
32.678310	100.442	-146.4520
32.915108	100.462	-147.0195
33.153625	100.481	-147.6635
33.393871	100.492	-148.3809
33.635857	100.489	-149.1441
33.879597	100.465	-149.8983
34.125103	100.422	-150.5783
34.372387	100.366	-151.1210
34.621464	100.307	-151.4842
34.872345	100.260	-151.6688
35.125042	100.239	-151.7212
35.379574	100.251	-151.7312
35.635948	100.294	-151.7991
35.894180	100.358	-152.0051
36.154285	100.430	-152.3891
