* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: 0.000. Timing signal peak level -42.2 dBFS, measurement signal peak level -41.1 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 09-Apr-2024 23:45:55
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0666 ms (-23 mm, -0.9 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 8.0 ppm
* Measurement: L B3S
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.212	52.5537
20.299999	93.233	52.5511
20.600000	93.358	52.5609
20.900000	93.571	52.1555
21.200001	93.813	51.0718
21.400000	93.954	49.9679
21.799999	94.120	47.1464
22.000000	94.127	45.6426
22.400000	93.990	43.0499
22.700001	93.806	41.8886
23.000000	93.629	41.5956
23.299999	93.542	42.0198
23.600000	93.598	42.6865
24.000000	93.869	42.9261
24.299999	94.123	42.1767
24.700001	94.370	40.0846
25.000000	94.421	38.1917
25.400000	94.322	36.1159
25.799999	94.154	35.1562
26.200001	94.088	35.0378
26.500000	94.137	34.8515
26.900000	94.221	33.8096
27.200001	94.185	32.5617
27.600000	93.912	31.3010
28.000000	93.487	31.9596
28.500000	93.271	35.9577
29.000000	93.800	39.3412
29.500000	94.517	38.2387
30.000000	94.763	34.3434
30.400000	94.570	31.7222
30.700001	94.342	30.9458
31.100000	94.189	31.2540
31.500000	94.343	31.4348
32.000000	94.667	29.2298
32.500000	94.652	25.1609
33.000000	94.207	22.2912
33.500000	93.784	22.6131
34.000000	93.902	24.1403
34.500000	94.388	23.2709
35.000000	94.709	19.7228
35.500000	94.649	15.6212
36.000000	94.330	12.8128
36.500000	93.982	11.7701
37.000000	93.735	11.9282
37.500000	93.598	12.6880
38.200001	93.604	14.0316
38.700001	93.712	14.5298
39.500000	93.816	14.6355
40.000000	93.842	15.1420
40.599998	93.988	16.2734
41.200001	94.289	17.4860
41.799999	94.826	18.8422
42.500000	96.031	18.2085
43.099998	97.172	12.3115
43.700001	97.671	2.1649
44.400002	96.950	-9.4051
45.000000	95.605	-12.8439
45.500000	94.964	-10.6153
46.200001	95.346	-11.3686
46.799999	95.282	-18.9721
47.500000	93.633	-25.7920
48.200001	91.645	-16.1842
48.700001	91.808	-5.4615
49.400002	93.063	-3.5344
50.000000	93.523	-8.4941
50.799999	93.304	-14.6413
51.500000	92.683	-16.8064
52.200001	92.040	-13.0027
53.000000	92.542	-4.3081
53.799999	93.784	-3.4182
54.500000	94.184	-7.4720
55.200001	93.869	-10.2882
56.000000	93.249	-9.2475
57.000000	92.838	-4.7407
58.000000	92.748	-1.6778
59.000000	92.606	-0.5622
60.000000	92.451	-0.1550
60.799999	92.429	-0.5819
61.500000	92.463	-1.7599
62.200001	92.499	-3.4128
63.000000	92.527	-5.3112
64.000000	92.572	-7.1460
65.000000	92.618	-8.2038
66.000000	92.663	-8.5548
67.000000	92.671	-8.6528
68.000000	92.605	-8.6078
69.000000	92.501	-8.5731
70.000000	92.381	-8.8451
71.000000	92.263	-9.4126
72.000000	92.177	-10.1639
73.000000	92.128	-10.9797
74.000000	92.091	-11.5933
75.000000	92.063	-11.7680
76.199997	92.028	-11.6580
77.500000	91.916	-11.5607
78.800003	91.724	-11.6906
80.000000	91.548	-12.2652
81.199997	91.429	-13.2699
82.500000	91.426	-14.1830
83.800003	91.503	-14.4248
85.000000	91.561	-13.4651
86.199997	91.445	-11.6319
87.500000	91.073	-7.9334
88.500000	90.779	-1.4581
90.000000	91.753	7.8531
91.199997	92.075	0.2995
92.500000	91.129	-7.6891
93.800003	90.473	-12.1182
95.000000	90.260	-14.3027
96.199997	90.342	-15.1202
97.500000	90.401	-14.9799
98.800003	90.341	-13.9803
100.000000	90.178	-12.8785
101.500000	89.923	-12.0173
103.000000	89.761	-11.6112
104.400002	89.745	-11.7750
106.000000	89.769	-11.3915
107.500000	89.905	-9.8803
109.000000	90.082	-9.7223
110.599998	89.966	-10.2709
112.000000	89.809	-9.6947
113.800003	89.780	-8.0323
115.000000	90.002	-6.7340
117.199997	90.478	-10.2201
118.000000	90.311	-12.8198
120.599998	89.178	-11.2696
122.000000	89.462	-7.8626
124.099998	90.174	-10.3881
125.000000	90.191	-12.6096
126.500000	89.911	-15.0982
128.000000	89.552	-15.7723
131.500000	89.178	-15.5826
132.000000	89.152	-15.2331
134.000000	89.136	-13.1984
136.000000	89.086	-11.5515
138.000000	88.935	-10.9889
140.000000	88.805	-11.6862
143.000000	88.938	-13.0065
145.000000	89.068	-12.9813
147.500000	89.046	-11.8023
150.000000	88.889	-10.9243
152.500000	88.796	-11.0743
155.000000	88.731	-11.2514
157.500000	88.670	-10.7526
160.000000	88.619	-10.4055
162.500000	88.588	-10.2237
165.000000	88.557	-9.8908
167.500000	88.482	-9.4630
170.000000	88.392	-9.1187
172.500000	88.317	-8.8339
175.000000	88.248	-8.5521
177.500000	88.180	-8.2436
180.000000	88.120	-7.9828
182.500000	88.068	-7.6654
185.000000	88.025	-7.3358
187.500000	87.991	-7.0423
190.000000	87.970	-6.7586
192.500000	87.947	-6.4882
195.000000	87.916	-6.1989
197.500000	87.878	-5.8827
200.000000	87.837	-5.5141
203.000000	87.788	-5.0882
206.000000	87.742	-4.7367
209.000000	87.704	-4.3753
212.000000	87.673	-3.9506
214.000000	87.651	-3.6726
218.000000	87.598	-3.1603
220.000000	87.569	-2.9044
224.000000	87.503	-2.2821
227.000000	87.448	-1.7215
230.000000	87.390	-1.1482
233.000000	87.332	-0.5352
236.000000	87.280	0.1728
240.000000	87.227	1.3966
243.000000	87.220	2.6126
247.000000	87.295	4.4577
250.000000	87.437	5.6821
254.000000	87.707	6.4822
258.000000	87.944	6.2099
262.000000	88.075	5.5260
265.000000	88.115	5.0408
269.000000	88.118	4.5691
272.000000	88.102	4.3749
276.000000	88.077	4.2407
280.000000	88.053	4.2243
285.000000	88.026	4.3331
290.000000	87.999	4.5239
295.000000	87.981	4.7739
300.000000	87.977	5.0058
304.000000	87.973	5.1962
307.000000	87.968	5.3589
311.000000	87.967	5.6026
315.000000	87.968	5.8527
320.000000	87.970	6.1437
325.000000	87.973	6.4506
330.000000	87.974	6.7309
335.000000	87.977	6.9990
340.000000	87.981	7.2843
345.000000	87.986	7.5707
350.000000	87.991	7.8244
355.000000	87.997	8.0771
360.000000	88.001	8.3309
365.000000	88.008	8.5758
370.000000	88.018	8.8446
375.000000	88.031	9.1043
382.000000	88.047	9.3890
387.000000	88.056	9.6066
395.000000	88.072	9.9866
400.000000	88.080	10.2390
406.000000	88.088	10.5163
412.000000	88.094	10.7576
418.000000	88.101	11.0123
425.000000	88.116	11.3257
431.000000	88.131	11.6207
437.000000	88.144	11.8804
444.000000	88.155	12.1405
450.000000	88.166	12.3788
455.000000	88.174	12.5997
462.000000	88.182	12.8722
468.000000	88.193	13.0986
475.000000	88.212	13.3615
482.000000	88.227	13.6396
487.000000	88.235	13.8354
494.000000	88.246	14.1026
500.000000	88.259	14.3278
508.000000	88.269	14.6584
515.000000	88.279	14.9568
522.000000	88.287	15.2384
530.000000	88.298	15.5318
538.000000	88.311	15.7968
545.000000	88.324	16.0893
552.000000	88.336	16.4005
560.000000	88.346	16.7267
570.000000	88.360	17.1305
580.000000	88.376	17.5068
590.000000	88.394	17.8847
600.000000	88.413	18.2884
608.000000	88.427	18.6436
615.000000	88.438	18.9684
622.000000	88.449	19.2784
630.000000	88.461	19.5995
640.000000	88.476	19.9945
650.000000	88.495	20.4226
660.000000	88.512	20.8579
670.000000	88.531	21.3275
680.000000	88.553	21.7820
690.000000	88.577	22.2248
700.000000	88.600	22.6659
710.000000	88.623	23.1419
720.000000	88.642	23.6195
730.000000	88.663	24.0641
740.000000	88.690	24.5172
750.000000	88.715	24.9883
762.000000	88.744	25.5905
775.000000	88.782	26.2338
788.000000	88.821	26.8645
800.000000	88.860	27.4715
812.000000	88.902	28.1020
825.000000	88.950	28.7849
838.000000	88.997	29.4371
850.000000	89.045	30.0325
862.000000	89.093	30.6194
875.000000	89.150	31.2724
885.000000	89.193	31.8001
900.000000	89.260	32.5664
912.000000	89.322	33.1356
925.000000	89.393	33.7677
938.000000	89.463	34.3818
950.000000	89.515	34.9134
962.000000	89.551	35.4349
975.000000	89.600	35.9853
988.000000	89.678	36.5099
1000.000000	89.766	36.9851
1015.000000	89.884	37.5506
1030.000000	89.999	38.0858
1044.000000	90.096	38.5323
1060.000000	90.200	38.9758
1075.000000	90.295	39.3675
1090.000000	90.387	39.7392
1106.000000	90.480	40.1214
1120.000000	90.560	40.4276
1138.000000	90.660	40.7592
1150.000000	90.723	40.9545
1172.000000	90.833	41.2779
1180.000000	90.870	41.3949
1206.000000	90.987	41.7593
1220.000000	91.047	41.9312
1241.000000	91.135	42.1852
1250.000000	91.172	42.2928
1265.000000	91.236	42.4700
1280.000000	91.301	42.6433
1315.000000	91.441	42.9967
1320.000000	91.461	43.0481
1340.000000	91.536	43.2542
1360.000000	91.606	43.4581
1380.000000	91.669	43.7020
1400.000000	91.728	43.9805
1430.000000	91.814	44.4177
1450.000000	91.869	44.7784
1475.000000	91.938	45.3121
1500.000000	92.011	45.8674
1525.000000	92.086	46.4398
1550.000000	92.156	47.0588
1575.000000	92.219	47.7862
1600.000000	92.289	48.6566
1625.000000	92.381	49.6610
1650.000000	92.503	50.7293
1675.000000	92.661	51.7442
1700.000000	92.847	52.5537
1725.000000	93.032	53.0791
1750.000000	93.184	53.4311
1775.000000	93.299	53.8200
1800.000000	93.396	54.4286
1825.000000	93.504	55.3196
1850.000000	93.653	56.4385
1875.000000	93.862	57.6118
1900.000000	94.129	58.5567
1925.000000	94.426	59.0766
1950.000000	94.713	59.1776
1975.000000	94.967	59.0066
2000.000000	95.184	58.7045
2030.000000	95.403	58.3130
2060.000000	95.589	57.9917
2090.000000	95.755	57.7601
2120.000000	95.911	57.6303
2140.000000	96.015	57.5861
2180.000000	96.225	57.5551
2200.000000	96.332	57.5616
2240.000000	96.549	57.5931
2270.000000	96.717	57.6206
2300.000000	96.887	57.6350
2330.000000	97.060	57.6316
2360.000000	97.236	57.6068
2400.000000	97.471	57.5314
2430.000000	97.650	57.4291
2470.000000	97.889	57.2313
2500.000000	98.066	57.0342
2540.000000	98.301	56.7321
2580.000000	98.537	56.3882
2620.000000	98.782	56.0099
2650.000000	98.974	55.6446
2690.000000	99.237	54.9486
2720.000000	99.428	54.2504
2760.000000	99.660	53.1219
2800.000000	99.858	51.8526
2850.000000	100.054	50.1782
2900.000000	100.202	48.4993
2950.000000	100.307	46.8744
3000.000000	100.375	45.3730
3040.000000	100.411	44.2972
3070.000000	100.434	43.5721
3110.000000	100.470	42.6903
3150.000000	100.519	41.8436
3200.000000	100.599	40.6885
3250.000000	100.672	39.3341
3300.000000	100.707	37.8771
3350.000000	100.688	36.4958
3400.000000	100.618	35.3151
3450.000000	100.514	34.3938
3500.000000	100.389	33.7097
3550.000000	100.257	33.2160
3600.000000	100.133	32.8863
3650.000000	100.021	32.6819
3700.000000	99.927	32.5791
3750.000000	99.853	32.5700
3820.000000	99.787	32.6875
3870.000000	99.754	32.8401
3950.000000	99.709	33.1769
4000.000000	99.674	33.4307
4060.000000	99.613	33.7739
4120.000000	99.539	34.1424
4180.000000	99.458	34.5203
4250.000000	99.368	34.9580
4310.000000	99.305	35.3052
4370.000000	99.255	35.6257
4440.000000	99.212	35.9678
4500.000000	99.187	36.2332
4550.000000	99.173	36.4256
4620.000000	99.161	36.6326
4680.000000	99.154	36.7301
4750.000000	99.141	36.7532
4820.000000	99.113	36.7089
4870.000000	99.080	36.6799
4940.000000	99.014	36.7235
5000.000000	98.939	36.9020
5080.000000	98.820	37.4401
5150.000000	98.710	38.2617
5220.000000	98.613	39.4400
5300.000000	98.546	41.1383
5380.000000	98.549	43.0410
5450.000000	98.621	44.7019
5520.000000	98.765	46.2148
5600.000000	99.016	47.6108
5700.000000	99.448	48.5228
5800.000000	99.938	48.0817
5900.000000	100.367	46.0786
