* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: 0.000. Timing signal peak level -42.6 dBFS, measurement signal peak level -41.8 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 09-Apr-2024 23:48:27
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1863 ms (-64 mm, -2.52 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: -79.3 ppm
* Measurement: L2 B3S
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.777	54.3698
20.299999	93.818	53.2022
20.600000	93.845	52.1364
20.900000	93.870	51.2008
21.200001	93.907	50.3554
21.400000	93.941	49.7999
21.799999	94.020	48.6125
22.000000	94.057	47.9662
22.400000	94.109	46.6325
22.700001	94.124	45.7036
23.000000	94.129	44.9248
23.299999	94.140	44.3139
23.600000	94.172	43.8127
24.000000	94.255	43.1222
24.299999	94.334	42.4609
24.700001	94.428	41.3362
25.000000	94.470	40.3810
25.400000	94.480	39.1455
25.799999	94.453	38.1377
26.200001	94.423	37.4288
26.500000	94.416	37.0431
26.900000	94.441	36.5792
27.200001	94.483	36.1652
27.600000	94.556	35.4138
28.000000	94.627	34.3877
28.500000	94.681	32.7794
29.000000	94.674	31.0234
29.500000	94.609	29.4069
30.000000	94.521	28.1154
30.400000	94.464	27.3007
30.700001	94.434	26.7571
31.100000	94.407	26.0543
31.500000	94.380	25.3755
32.000000	94.331	24.7317
32.500000	94.290	24.5763
33.000000	94.326	24.8961
33.500000	94.482	25.1748
34.000000	94.701	24.8139
34.500000	94.864	23.7684
35.000000	94.903	22.5979
35.500000	94.862	21.8507
36.000000	94.824	21.4604
36.500000	94.792	20.9101
37.000000	94.668	20.1574
37.500000	94.405	20.0448
38.200001	94.137	22.1238
38.700001	94.301	23.4319
