* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: 0.000. Timing signal peak level -42.4 dBFS, measurement signal peak level -41.6 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 09-Apr-2024 23:46:25
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0668 ms (23 mm, 0.9 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 41.4 ppm
* Measurement: L3 B3S
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.864	52.0286
20.299999	93.899	50.7296
20.600000	93.907	49.6594
20.900000	93.917	48.8633
21.200001	93.952	48.2639
21.400000	93.995	47.8958
21.799999	94.114	47.0401
22.000000	94.178	46.5049
22.400000	94.283	45.2495
22.700001	94.329	44.2632
23.000000	94.349	43.3614
23.299999	94.356	42.6127
23.600000	94.364	42.0200
24.000000	94.398	41.3708
24.299999	94.442	40.8853
24.700001	94.512	40.1250
25.000000	94.563	39.4468
25.400000	94.614	38.4326
25.799999	94.641	37.3693
26.200001	94.648	36.3314
26.500000	94.650	35.5846
26.900000	94.654	34.5925
27.200001	94.661	33.7971
27.600000	94.664	32.6023
28.000000	94.636	31.2838
28.500000	94.535	29.7584
29.000000	94.394	28.8367
29.500000	94.323	28.6141
30.000000	94.397	28.4777
30.400000	94.525	27.9501
30.700001	94.617	27.2692
31.100000	94.696	26.2064
31.500000	94.730	25.3025
32.000000	94.787	24.6435
32.500000	94.934	24.1305
33.000000	95.133	23.1082
33.500000	95.268	21.4784
34.000000	95.267	19.8092
34.500000	95.173	18.7274
35.000000	95.093	18.2812
35.500000	95.077	17.8783
36.000000	95.057	16.9775
36.500000	94.915	15.8030
37.000000	94.623	15.2932
37.500000	94.329	16.3135
38.200001	94.378	19.1815
38.700001	94.766	19.6572
39.500000	95.281	15.9845
40.000000	95.266	12.6830
40.599998	94.995	9.9179
41.200001	94.749	8.9639
41.799999	94.682	8.5924
42.500000	94.653	7.8470
43.099998	94.569	7.7115
43.700001	94.571	8.4905
44.400002	94.813	9.0384
45.000000	95.030	7.9484
45.500000	95.047	6.3419
46.200001	94.809	4.7132
46.799999	94.567	4.6004
47.500000	94.449	4.8602
48.200001	94.407	4.3684
48.700001	94.360	3.7663
49.400002	94.321	2.9004
50.000000	94.338	1.8701
50.799999	94.322	0.0831
51.500000	94.260	-1.1224
52.200001	94.239	-1.8896
53.000000	94.234	-2.6597
53.799999	94.205	-3.0210
54.500000	94.220	-3.0971
55.200001	94.241	-3.5540
56.000000	94.155	-4.4011
57.000000	93.931	-4.7534
