* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: 0.000. Timing signal peak level -41.7 dBFS, measurement signal peak level -40.7 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 09-Apr-2024 23:50:28
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0124 ms (-4.3 mm, -0.17 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: -22.7 ppm
* Measurement: L6 B3S
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.054	56.4447
20.299999	94.119	55.4446
20.600000	94.178	54.5016
20.900000	94.236	53.6070
21.200001	94.296	52.7389
21.400000	94.336	52.1630
21.799999	94.415	50.9970
22.000000	94.452	50.4023
22.400000	94.519	49.1894
22.700001	94.560	48.2672
23.000000	94.592	47.3500
23.299999	94.612	46.4628
23.600000	94.622	45.6390
24.000000	94.630	44.6898
24.299999	94.643	44.0948
24.700001	94.685	43.3817
25.000000	94.738	42.8126
25.400000	94.822	41.8849
25.799999	94.893	40.7538
26.200001	94.924	39.5726
26.500000	94.924	38.7883
26.900000	94.918	37.9790
27.200001	94.929	37.5137
27.600000	94.975	36.9046
28.000000	95.037	36.1302
28.500000	95.074	34.9599
29.000000	95.042	33.9802
29.500000	95.001	33.5307
30.000000	95.030	33.3737
30.400000	95.106	33.0907
30.700001	95.168	32.6837
31.100000	95.233	31.9351
31.500000	95.270	31.0895
32.000000	95.298	30.0124
32.500000	95.322	28.8317
33.000000	95.318	27.4930
33.500000	95.265	26.1960
34.000000	95.194	25.1856
34.500000	95.153	24.4395
35.000000	95.158	23.7233
35.500000	95.187	22.9079
36.000000	95.227	22.0161
36.500000	95.275	21.0333
37.000000	95.309	19.9248
37.500000	95.293	18.8658
38.200001	95.215	18.1056
38.700001	95.216	18.0658
39.500000	95.338	17.5316
40.000000	95.363	16.6254
40.599998	95.265	15.6293
41.200001	95.112	15.2722
41.799999	94.991	15.3671
42.500000	94.896	15.6772
43.099998	94.880	16.0783
43.700001	94.975	16.1591
44.400002	95.139	15.0665
45.000000	95.182	13.3601
45.500000	95.125	11.9908
46.200001	94.997	10.7235
46.799999	94.914	10.1624
47.500000	94.873	9.8613
48.200001	94.911	9.6938
48.700001	94.981	9.3319
49.400002	95.044	8.2512
50.000000	94.986	7.2570
50.799999	94.836	6.8802
51.500000	94.812	6.9784
52.200001	94.841	6.3338
53.000000	94.744	5.1118
53.799999	94.594	4.5812
54.500000	94.557	4.3366
55.200001	94.558	3.6614
56.000000	94.516	2.6746
57.000000	94.432	1.7814
58.000000	94.350	1.3483
59.000000	94.309	1.3690
60.000000	94.321	1.3542
60.799999	94.339	1.1724
61.500000	94.357	0.8389
62.200001	94.360	0.3014
63.000000	94.332	-0.3916
64.000000	94.292	-1.2557
65.000000	94.225	-2.3550
66.000000	94.089	-3.1271
67.000000	93.983	-3.3485
68.000000	93.916	-3.5176
69.000000	93.860	-3.6862
70.000000	93.815	-3.8825
71.000000	93.780	-4.1895
72.000000	93.738	-4.6760
73.000000	93.671	-5.1408
74.000000	93.606	-5.4574
75.000000	93.553	-5.7368
76.199997	93.493	-6.1085
77.500000	93.413	-6.5601
78.800003	93.328	-6.8921
80.000000	93.268	-7.2044
81.199997	93.212	-7.4732
82.500000	93.164	-7.6977
83.800003	93.094	-7.9120
85.000000	93.003	-8.0522
86.199997	92.885	-8.2599
87.500000	92.738	-8.6900
88.500000	92.587	-9.1655
90.000000	92.399	-8.7727
91.199997	92.468	-8.6615
92.500000	92.531	-9.4719
93.800003	92.525	-10.1938
95.000000	92.465	-10.5396
96.199997	92.401	-10.6392
97.500000	92.324	-10.7281
98.800003	92.263	-10.7038
100.000000	92.233	-10.7814
101.500000	92.180	-10.8466
103.000000	92.136	-10.7202
104.400002	92.094	-10.8533
106.000000	91.980	-11.3154
107.500000	91.837	-11.4556
109.000000	91.744	-11.3553
110.599998	91.663	-11.3882
112.000000	91.551	-11.3814
113.800003	91.412	-11.2664
115.000000	91.351	-11.5291
117.199997	91.281	-12.3085
118.000000	91.281	-12.4640
120.599998	91.287	-12.2623
122.000000	91.250	-11.5487
124.099998	91.154	-11.0114
125.000000	91.071	-11.1339
126.500000	90.903	-11.4035
128.000000	90.783	-11.3784
131.500000	90.864	-10.6425
132.000000	90.885	-10.5973
134.000000	90.869	-10.6240
