* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: 0.000. Timing signal peak level -43.6 dBFS, measurement signal peak level -43.4 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 09-Apr-2024 23:56:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0648 ms (-22 mm, -0.88 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: -46.1 ppm
* Measurement: R1 B3S
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.824	47.2827
20.299999	94.865	46.0351
20.600000	94.885	44.8688
20.900000	94.895	43.8432
21.200001	94.906	42.9742
21.400000	94.921	42.4645
21.799999	94.977	41.5139
22.000000	95.017	41.0214
22.400000	95.111	39.9069
22.700001	95.177	38.9399
23.000000	95.226	37.8966
23.299999	95.254	36.8418
23.600000	95.262	35.8434
24.000000	95.254	34.6802
24.299999	95.246	33.9463
24.700001	95.247	33.1070
25.000000	95.261	32.5289
25.400000	95.295	31.7512
25.799999	95.341	30.9048
26.200001	95.392	29.9485
26.500000	95.427	29.1489
26.900000	95.460	27.9880
27.200001	95.468	27.0818
27.600000	95.452	25.9137
28.000000	95.413	24.8997
28.500000	95.360	23.9449
29.000000	95.342	23.2391
29.500000	95.368	22.5000
30.000000	95.403	21.5351
30.400000	95.406	20.6656
30.700001	95.388	20.0611
31.100000	95.350	19.4343
31.500000	95.322	19.0323
32.000000	95.339	18.6221
32.500000	95.397	17.9481
33.000000	95.433	16.9077
33.500000	95.408	15.7906
34.000000	95.352	14.8888
34.500000	95.316	14.1329
35.000000	95.300	13.2336
35.500000	95.263	12.1519
36.000000	95.192	11.1460
36.500000	95.138	10.2965
37.000000	95.131	9.2430
37.500000	95.102	7.6739
38.200001	94.845	5.4854
38.700001	94.565	5.1923
39.500000	94.447	6.8568
40.000000	94.652	7.2782
40.599998	94.896	6.1382
41.200001	94.952	4.3468
41.799999	94.888	3.1050
42.500000	94.831	2.3912
43.099998	94.815	1.8921
43.700001	94.800	1.3592
44.400002	94.781	0.6385
45.000000	94.735	-0.1103
45.500000	94.660	-0.6693
46.200001	94.543	-1.0989
46.799999	94.484	-1.3205
47.500000	94.446	-1.8078
48.200001	94.394	-2.4773
48.700001	94.353	-2.9455
49.400002	94.301	-3.6199
50.000000	94.250	-4.2442
50.799999	94.162	-4.9585
51.500000	94.092	-5.3939
52.200001	94.044	-5.7984
53.000000	93.999	-6.3620
53.799999	93.946	-7.0218
54.500000	93.882	-7.6229
55.200001	93.800	-8.1317
56.000000	93.711	-8.5184
57.000000	93.632	-9.0062
58.000000	93.524	-9.5097
59.000000	93.427	-9.5171
60.000000	93.399	-9.6172
60.799999	93.361	-9.9493
61.500000	93.313	-10.2645
62.200001	93.257	-10.6758
63.000000	93.156	-11.2086
64.000000	93.010	-11.5310
65.000000	92.937	-11.7654
66.000000	92.891	-12.4112
67.000000	92.814	-13.1067
68.000000	92.731	-13.5769
69.000000	92.650	-13.8642
70.000000	92.584	-14.0111
71.000000	92.522	-14.3114
72.000000	92.426	-14.6406
73.000000	92.335	-14.8502
74.000000	92.259	-15.0678
75.000000	92.206	-15.2104
76.199997	92.169	-15.4356
77.500000	92.108	-15.6198
78.800003	92.006	-15.8196
80.000000	91.865	-15.9210
81.199997	91.747	-16.1971
82.500000	91.651	-16.9821
83.800003	91.590	-17.7883
85.000000	91.595	-18.0912
86.199997	91.619	-17.6164
87.500000	91.657	-15.7938
88.500000	91.808	-12.9388
90.000000	92.422	-12.3289
91.199997	92.194	-16.0999
92.500000	91.446	-17.2333
93.800003	90.958	-17.4620
95.000000	90.706	-18.1454
96.199997	90.578	-18.9351
97.500000	90.519	-19.3455
98.800003	90.485	-19.2088
100.000000	90.435	-18.7479
101.500000	90.328	-18.1435
103.000000	90.186	-17.8824
104.400002	90.044	-17.9547
106.000000	89.911	-18.0519
107.500000	89.832	-18.0433
109.000000	89.748	-17.9537
110.599998	89.633	-17.5529
112.000000	89.520	-17.0854
113.800003	89.360	-16.3427
115.000000	89.254	-15.7641
117.199997	89.139	-14.4497
118.000000	89.143	-14.1302
120.599998	89.257	-13.3316
122.000000	89.407	-13.0652
124.099998	89.562	-13.1076
125.000000	89.574	-13.1398
126.500000	89.505	-13.3464
128.000000	89.335	-13.5257
131.500000	89.097	-13.5632
132.000000	89.093	-13.7354
134.000000	89.062	-14.3314
136.000000	89.006	-14.4072
138.000000	88.920	-14.2018
140.000000	88.826	-13.9523
143.000000	88.700	-13.7217
145.000000	88.623	-13.5052
147.500000	88.528	-13.1684
150.000000	88.414	-12.7906
152.500000	88.311	-12.2753
155.000000	88.244	-11.8435
157.500000	88.193	-11.5026
160.000000	88.131	-11.0516
162.500000	88.075	-10.4153
165.000000	88.012	-9.9837
167.500000	87.937	-9.5981
170.000000	87.872	-9.1845
172.500000	87.803	-8.7059
175.000000	87.732	-8.1678
177.500000	87.658	-7.7608
180.000000	87.596	-7.3553
182.500000	87.555	-6.9288
185.000000	87.524	-6.4060
187.500000	87.500	-5.9298
190.000000	87.477	-5.5187
192.500000	87.462	-5.0805
195.000000	87.443	-4.6038
197.500000	87.409	-4.1020
200.000000	87.372	-3.5956
203.000000	87.334	-3.0409
206.000000	87.292	-2.5298
209.000000	87.252	-2.0096
212.000000	87.224	-1.4934
214.000000	87.206	-1.1532
218.000000	87.158	-0.4179
220.000000	87.135	-0.0349
224.000000	87.089	0.7231
227.000000	87.044	1.3496
230.000000	87.000	2.0463
233.000000	86.972	2.8391
236.000000	86.967	3.7220
240.000000	86.991	5.0085
243.000000	87.051	5.9300
247.000000	87.183	6.7620
250.000000	87.282	7.0360
254.000000	87.373	7.1202
258.000000	87.413	7.1329
262.000000	87.418	7.2135
265.000000	87.414	7.3701
269.000000	87.413	7.6098
