* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: 0.000. Timing signal peak level -43.8 dBFS, measurement signal peak level -43.6 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 09-Apr-2024 23:56:49
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1673 ms (-57 mm, -2.26 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: -75.0 ppm
* Measurement: R2B3S
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.859	48.8209
20.299999	94.910	47.9173
20.600000	94.963	46.9952
20.900000	95.013	46.0565
21.200001	95.058	45.1160
21.400000	95.086	44.4958
21.799999	95.135	43.2817
22.000000	95.159	42.6874
22.400000	95.204	41.5164
22.700001	95.236	40.6496
23.000000	95.263	39.7963
23.299999	95.287	38.9654
23.600000	95.306	38.1664
24.000000	95.329	37.1586
24.299999	95.347	36.4415
24.700001	95.372	35.5196
25.000000	95.392	34.8400
25.400000	95.419	33.9336
25.799999	95.443	33.0194
26.200001	95.463	32.0996
26.500000	95.474	31.4119
26.900000	95.485	30.5060
27.200001	95.493	29.8353
27.600000	95.502	28.9415
28.000000	95.511	28.0291
28.500000	95.516	26.8548
29.000000	95.509	25.6963
29.500000	95.495	24.6329
30.000000	95.492	23.6571
30.400000	95.500	22.8749
30.700001	95.507	22.2652
31.100000	95.508	21.4488
31.500000	95.497	20.6991
32.000000	95.485	19.9283
32.500000	95.493	19.2543
33.000000	95.511	18.5057
33.500000	95.506	17.6937
34.000000	95.470	17.0073
34.500000	95.435	16.4999
35.000000	95.418	15.9627
35.500000	95.385	15.2635
36.000000	95.308	14.6036
36.500000	95.229	14.1801
37.000000	95.209	13.6855
37.500000	95.210	12.5581
38.200001	95.007	10.2627
38.700001	94.688	9.5609
39.500000	94.429	11.2208
40.000000	94.632	11.8963
40.599998	94.938	10.4966
41.200001	94.998	7.9833
41.799999	94.875	6.2918
42.500000	94.808	5.6106
43.099998	94.846	5.0668
43.700001	94.870	4.4090
44.400002	94.898	3.8731
45.000000	94.951	3.2726
45.500000	94.959	2.5086
46.200001	94.858	1.5900
46.799999	94.742	1.3657
47.500000	94.676	1.2818
48.200001	94.626	0.8032
48.700001	94.559	0.3750
49.400002	94.459	-0.0638
50.000000	94.401	-0.4327
50.799999	94.327	-1.1539
51.500000	94.239	-1.7320
52.200001	94.169	-2.1599
53.000000	94.107	-2.7326
53.799999	94.024	-3.2611
54.500000	93.958	-3.5924
