* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: 0.000. Timing signal peak level -43.6 dBFS, measurement signal peak level -41.7 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 09-Apr-2024 23:57:18
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0175 ms (-6.0 mm, -0.24 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: -26.5 ppm
* Measurement: R3 B3S
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.947	48.7595
20.299999	94.990	47.8612
20.600000	95.038	46.9250
20.900000	95.083	45.9319
21.200001	95.114	44.9130
21.400000	95.126	44.2511
21.799999	95.136	43.0503
22.000000	95.141	42.5310
22.400000	95.167	41.6302
22.700001	95.210	40.9985
23.000000	95.272	40.3169
23.299999	95.344	39.5285
23.600000	95.414	38.6194
24.000000	95.487	37.2768
24.299999	95.520	36.2490
24.700001	95.539	34.9619
25.000000	95.544	34.1010
25.400000	95.550	33.0878
25.799999	95.564	32.1650
26.200001	95.582	31.2604
26.500000	95.594	30.5798
26.900000	95.601	29.6980
27.200001	95.601	29.0851
27.600000	95.604	28.3415
28.000000	95.621	27.6200
28.500000	95.658	26.5829
29.000000	95.677	25.3224
29.500000	95.648	24.0329
30.000000	95.593	22.9868
30.400000	95.567	22.3278
30.700001	95.570	21.8329
31.100000	95.589	21.0345
31.500000	95.598	20.0545
32.000000	95.559	18.8304
32.500000	95.493	17.9922
33.000000	95.476	17.5656
33.500000	95.544	17.0943
34.000000	95.641	16.1962
34.500000	95.692	14.9829
35.000000	95.683	13.8402
35.500000	95.652	12.9671
36.000000	95.629	12.2660
36.500000	95.609	11.5918
37.000000	95.579	10.9350
37.500000	95.545	10.3103
38.200001	95.499	9.3097
38.700001	95.435	8.4372
39.500000	95.236	7.2716
40.000000	95.095	7.0354
40.599998	94.997	7.1830
41.200001	95.020	7.2366
41.799999	95.118	6.6058
42.500000	95.179	4.9946
43.099998	95.121	3.6022
43.700001	95.036	2.7711
44.400002	95.021	2.1151
45.000000	95.025	1.2665
45.500000	94.978	0.5799
46.200001	94.902	0.2583
46.799999	94.939	0.1134
47.500000	95.001	-0.9792
48.200001	94.871	-2.3703
48.700001	94.703	-2.6373
49.400002	94.581	-2.0758
50.000000	94.627	-1.9244
50.799999	94.651	-2.9483
51.500000	94.531	-3.7649
52.200001	94.444	-3.7235
53.000000	94.546	-4.0085
53.799999	94.616	-5.8695
54.500000	94.452	-7.5112
55.200001	94.227	-7.7519
56.000000	94.168	-7.1221
57.000000	94.294	-7.4017
58.000000	94.353	-9.4828
59.000000	93.976	-11.8779
60.000000	93.422	-10.3443
60.799999	93.403	-8.0861
61.500000	93.506	-7.5566
62.200001	93.568	-7.4585
63.000000	93.716	-7.5002
64.000000	93.907	-9.0665
65.000000	93.882	-10.8170
66.000000	93.844	-11.6452
67.000000	93.834	-12.3302
68.000000	93.786	-12.8847
69.000000	93.685	-13.1698
70.000000	93.547	-13.0213
71.000000	93.434	-12.7347
72.000000	93.316	-12.9601
73.000000	93.107	-13.5353
74.000000	92.841	-13.7934
75.000000	92.630	-13.7499
76.199997	92.509	-13.9335
77.500000	92.486	-14.9139
78.800003	92.453	-16.3165
80.000000	92.407	-17.1282
81.199997	92.386	-17.2926
82.500000	92.384	-16.9730
83.800003	92.336	-16.5384
85.000000	92.201	-16.0256
86.199997	91.989	-15.8595
87.500000	91.624	-16.5844
88.500000	91.145	-17.1799
90.000000	90.706	-13.0046
91.199997	91.204	-12.6533
92.500000	91.436	-16.2916
93.800003	91.481	-18.3382
95.000000	91.497	-19.0101
96.199997	91.491	-18.9782
97.500000	91.426	-18.6497
98.800003	91.330	-18.3842
100.000000	91.219	-18.4557
101.500000	91.093	-18.7046
103.000000	91.008	-18.9998
104.400002	90.942	-19.0723
106.000000	90.860	-18.9176
107.500000	90.755	-18.7126
109.000000	90.652	-18.5729
110.599998	90.557	-18.7546
112.000000	90.470	-18.9244
113.800003	90.381	-18.8035
115.000000	90.326	-18.7210
117.199997	90.182	-18.5761
118.000000	90.128	-18.5355
120.599998	89.978	-18.5681
122.000000	89.907	-18.4296
124.099998	89.829	-17.7964
125.000000	89.790	-17.5531
126.500000	89.684	-17.1580
128.000000	89.552	-16.6795
131.500000	89.382	-16.2601
132.000000	89.361	-16.3125
134.000000	89.280	-16.1222
136.000000	89.250	-15.3243
138.000000	89.243	-14.5528
140.000000	89.221	-13.9533
143.000000	89.211	-13.2072
145.000000	89.232	-12.8788
147.500000	89.234	-12.5655
150.000000	89.197	-12.5447
152.500000	89.155	-12.6083
155.000000	89.097	-12.5980
157.500000	89.019	-12.3983
160.000000	88.953	-12.2405
162.500000	88.905	-12.2275
165.000000	88.865	-12.0237
167.500000	88.808	-11.7323
170.000000	88.717	-11.3697
172.500000	88.610	-10.8638
175.000000	88.515	-10.4437
177.500000	88.439	-10.1849
180.000000	88.396	-10.0005
182.500000	88.380	-9.7142
185.000000	88.372	-9.3308
187.500000	88.355	-8.9326
190.000000	88.337	-8.4887
192.500000	88.333	-8.0538
195.000000	88.326	-7.6925
197.500000	88.299	-7.3617
200.000000	88.264	-6.9790
203.000000	88.228	-6.5081
206.000000	88.195	-6.0949
209.000000	88.168	-5.6649
212.000000	88.150	-5.2378
214.000000	88.136	-4.9756
218.000000	88.108	-4.4459
220.000000	88.094	-4.1849
224.000000	88.059	-3.6614
227.000000	88.034	-3.2861
230.000000	88.017	-2.8882
233.000000	88.005	-2.4856
236.000000	87.992	-2.0922
240.000000	87.977	-1.6357
243.000000	87.965	-1.2556
247.000000	87.950	-0.7333
250.000000	87.940	-0.3966
254.000000	87.931	0.0765
258.000000	87.918	0.5488
262.000000	87.901	1.0319
265.000000	87.892	1.4098
269.000000	87.876	1.9570
272.000000	87.868	2.4558
276.000000	87.859	3.1198
280.000000	87.861	3.8759
285.000000	87.913	4.8727
290.000000	87.998	5.6929
295.000000	88.096	6.3813
300.000000	88.211	6.7747
304.000000	88.300	6.8061
307.000000	88.349	6.7397
311.000000	88.385	6.6178
315.000000	88.407	6.5169
320.000000	88.428	6.4964
325.000000	88.434	6.6202
330.000000	88.435	6.8236
335.000000	88.442	7.0361
340.000000	88.446	7.2311
345.000000	88.451	7.4434
350.000000	88.464	7.6517
355.000000	88.478	7.8755
360.000000	88.489	8.1360
365.000000	88.499	8.4072
370.000000	88.508	8.6018
375.000000	88.518	8.7746
382.000000	88.537	9.0916
387.000000	88.547	9.3147
395.000000	88.564	9.7115
400.000000	88.578	9.9308
406.000000	88.593	10.1981
412.000000	88.608	10.4330
418.000000	88.622	10.6647
425.000000	88.636	10.9345
431.000000	88.652	11.1572
437.000000	88.672	11.3883
444.000000	88.692	11.6648
450.000000	88.703	11.8724
455.000000	88.712	12.0349
462.000000	88.729	12.2984
468.000000	88.747	12.5178
475.000000	88.759	12.7258
482.000000	88.772	12.9839
487.000000	88.783	13.1815
494.000000	88.795	13.4497
500.000000	88.805	13.6711
508.000000	88.822	13.9431
515.000000	88.839	14.1842
522.000000	88.854	14.4327
530.000000	88.868	14.7069
538.000000	88.883	14.9926
545.000000	88.897	15.2519
552.000000	88.910	15.4899
560.000000	88.922	15.7798
570.000000	88.940	16.1611
580.000000	88.954	16.4959
590.000000	88.973	16.8343
600.000000	88.997	17.2220
608.000000	89.011	17.5163
615.000000	89.020	17.7698
622.000000	89.028	18.0341
630.000000	89.041	18.3336
640.000000	89.061	18.7196
650.000000	89.078	19.1385
660.000000	89.096	19.5221
670.000000	89.116	19.9038
680.000000	89.136	20.2892
690.000000	89.155	20.6850
700.000000	89.173	21.1031
710.000000	89.194	21.5397
720.000000	89.217	21.9631
730.000000	89.241	22.4119
740.000000	89.265	22.8504
750.000000	89.290	23.2725
762.000000	89.322	23.8139
775.000000	89.359	24.3989
788.000000	89.396	25.0141
800.000000	89.432	25.5773
812.000000	89.471	26.1266
825.000000	89.518	26.7439
838.000000	89.568	27.3655
850.000000	89.615	27.9425
862.000000	89.662	28.5114
875.000000	89.718	29.1240
885.000000	89.763	29.5924
900.000000	89.837	30.2864
912.000000	89.901	30.8487
925.000000	89.970	31.4571
938.000000	90.041	32.0401
950.000000	90.098	32.5485
962.000000	90.140	33.0425
975.000000	90.193	33.5504
988.000000	90.280	34.0291
1000.000000	90.378	34.4650
1015.000000	90.506	34.9918
1030.000000	90.628	35.4802
1044.000000	90.733	35.8595
1060.000000	90.850	36.2463
1075.000000	90.954	36.5806
1090.000000	91.054	36.8659
1106.000000	91.159	37.1205
1120.000000	91.248	37.3145
1138.000000	91.366	37.5199
1150.000000	91.443	37.6316
1172.000000	91.572	37.7825
1180.000000	91.616	37.8234
1206.000000	91.755	37.9136
1220.000000	91.826	37.9431
1241.000000	91.931	37.9562
1250.000000	91.976	37.9499
1265.000000	92.050	37.9238
1280.000000	92.120	37.8890
1315.000000	92.282	37.8134
1320.000000	92.304	37.7999
1340.000000	92.393	37.7477
1360.000000	92.475	37.7073
1380.000000	92.553	37.6810
1400.000000	92.627	37.6610
1430.000000	92.733	37.6424
1450.000000	92.802	37.6558
1475.000000	92.887	37.6892
1500.000000	92.970	37.7277
1525.000000	93.051	37.7941
1550.000000	93.128	37.8826
1575.000000	93.204	37.9804
1600.000000	93.280	38.0897
1625.000000	93.357	38.2211
1650.000000	93.436	38.3770
1675.000000	93.515	38.5350
1700.000000	93.592	38.7025
1725.000000	93.671	38.8708
1750.000000	93.755	39.0333
1775.000000	93.839	39.2043
1800.000000	93.924	39.4020
1825.000000	94.011	39.6006
1850.000000	94.101	39.7782
1875.000000	94.193	39.9608
1900.000000	94.288	40.1464
1925.000000	94.384	40.3234
1950.000000	94.483	40.5047
1975.000000	94.585	40.6799
2000.000000	94.690	40.8397
2030.000000	94.818	41.0007
2060.000000	94.946	41.1430
2090.000000	95.078	41.2511
2120.000000	95.211	41.3474
2140.000000	95.301	41.4056
