* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: 0.000. Timing signal peak level -43.3 dBFS, measurement signal peak level -42.7 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 09-Apr-2024 23:57:47
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.8785 ms (-301 mm, -11.86 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 63.7 ppm
* Measurement: R4B3S
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.889	50.0698
20.299999	94.950	49.0333
20.600000	95.009	48.1581
20.900000	95.083	47.4541
21.200001	95.182	46.8542
21.400000	95.264	46.4507
21.799999	95.448	45.4796
22.000000	95.537	44.8759
22.400000	95.672	43.4845
22.700001	95.717	42.4298
23.000000	95.715	41.5364
23.299999	95.685	40.9142
23.600000	95.655	40.5720
24.000000	95.651	40.3462
24.299999	95.681	40.1132
24.700001	95.729	39.4545
25.000000	95.740	38.6876
25.400000	95.689	37.5115
25.799999	95.580	36.4724
26.200001	95.473	35.7147
26.500000	95.435	35.2033
26.900000	95.452	34.2382
27.200001	95.489	33.1151
27.600000	95.501	31.1350
28.000000	95.419	29.0955
28.500000	95.224	27.6328
29.000000	95.181	28.1022
29.500000	95.558	29.2509
30.000000	96.239	28.8885
30.400000	96.748	27.2326
30.700001	97.019	25.6920
31.100000	97.238	24.0604
31.500000	97.403	23.4937
32.000000	97.759	23.8314
32.500000	98.298	23.5064
33.000000	98.728	21.5681
33.500000	98.807	19.1803
34.000000	98.607	18.1582
34.500000	98.449	18.8603
35.000000	98.520	19.3283
35.500000	98.579	17.8240
36.000000	98.281	15.0846
36.500000	97.571	13.4322
37.000000	96.770	14.5194
37.500000	96.334	17.1453
38.200001	96.273	18.1201
38.700001	96.156	16.6172
39.500000	95.780	14.2534
40.000000	95.689	12.9474
40.599998	95.658	10.4125
41.200001	95.461	7.7149
41.799999	95.181	6.7276
42.500000	95.153	7.3676
43.099998	95.334	7.2702
43.700001	95.404	6.4411
44.400002	95.305	6.2933
45.000000	95.274	7.0952
45.500000	95.336	7.5559
46.200001	95.396	7.0879
46.799999	95.309	6.2158
47.500000	95.114	5.5995
48.200001	94.966	5.2768
48.700001	94.891	4.9002
49.400002	94.783	4.2652
50.000000	94.707	3.9001
50.799999	94.682	3.5177
51.500000	94.687	3.0070
52.200001	94.667	2.5166
53.000000	94.636	2.0913
53.799999	94.575	1.5908
54.500000	94.457	1.2823
55.200001	94.325	1.4816
56.000000	94.285	2.0306
57.000000	94.391	1.5078
58.000000	94.354	-0.2174
59.000000	94.206	-0.9633
60.000000	94.188	-1.1031
60.799999	94.201	-1.5276
61.500000	94.172	-1.9530
62.200001	94.116	-2.2506
63.000000	94.038	-2.4447
64.000000	93.938	-2.6493
65.000000	93.841	-2.9504
66.000000	93.752	-3.4009
67.000000	93.663	-3.9619
68.000000	93.574	-4.4355
69.000000	93.501	-4.7957
70.000000	93.430	-5.0837
71.000000	93.361	-5.2187
72.000000	93.306	-5.3278
73.000000	93.242	-5.5394
74.000000	93.156	-5.6488
75.000000	93.083	-5.5953
76.199997	93.015	-5.5883
77.500000	92.931	-5.7113
78.800003	92.829	-5.9207
80.000000	92.731	-6.1546
81.199997	92.653	-6.3744
82.500000	92.608	-6.5605
83.800003	92.571	-6.6200
85.000000	92.514	-6.3718
86.199997	92.394	-5.9148
87.500000	92.158	-5.1523
88.500000	91.895	-3.9045
90.000000	91.872	-0.8544
91.199997	92.063	-2.1705
92.500000	91.922	-4.7103
93.800003	91.779	-5.9450
95.000000	91.723	-6.4764
96.199997	91.699	-6.5857
97.500000	91.652	-6.3306
98.800003	91.581	-5.8590
100.000000	91.497	-5.4867
101.500000	91.385	-5.2901
103.000000	91.277	-5.2589
104.400002	91.199	-5.2301
106.000000	91.116	-5.0671
107.500000	91.033	-4.7402
109.000000	90.949	-4.3941
110.599998	90.850	-4.1016
112.000000	90.771	-3.8699
113.800003	90.670	-3.5376
115.000000	90.611	-3.2253
117.199997	90.489	-2.6796
118.000000	90.437	-2.4702
120.599998	90.256	-1.7048
122.000000	90.190	-1.3257
124.099998	90.099	-1.0608
125.000000	90.056	-0.9724
126.500000	89.959	-0.7967
128.000000	89.854	-0.1949
131.500000	89.756	0.8602
132.000000	89.722	0.9128
134.000000	89.554	1.8274
136.000000	89.493	3.4604
138.000000	89.485	4.7369
140.000000	89.485	6.1318
143.000000	89.665	7.0465
145.000000	89.675	6.1103
147.500000	89.454	6.3913
150.000000	89.382	8.0871
152.500000	89.390	8.9602
155.000000	89.442	9.4825
157.500000	89.444	9.7168
160.000000	89.347	10.4970
162.500000	89.254	11.3742
165.000000	89.207	11.8967
