Freq[Hz]     dBSPL  Phase[Deg]
5.00000     59.846     0.000
5.07273     59.846     0.000
5.14651     59.846     0.000
5.22137     59.846     0.000
5.29732     59.846     0.000
5.37437     59.846     0.000
5.45254     59.846     0.000
5.53185     59.846     0.000
5.61231     59.846     0.000
5.69394     59.846     0.000
5.77676     59.846     0.000
5.86079     59.846     0.000
5.94604     59.846     0.000
6.03252     59.846     0.000
6.12027     59.846     0.000
6.20929     59.846     0.000
6.29961     59.846     0.000
6.39124     59.846     0.000
6.48420     59.846     0.000
6.57851     59.846     0.000
6.67420     59.846     0.000
6.77128     59.846     0.000
6.86977     59.846     0.000
6.96969     59.846     0.000
7.07107     59.846     0.000
7.17392     59.846     0.000
7.27827     59.846     0.000
7.38413     59.846     0.000
7.49154     59.846     0.000
7.60050     59.846     0.000
7.71105     59.846     0.000
7.82321     59.846     0.000
7.93701     59.846     0.000
8.05245     59.846     0.000
8.16958     59.846     0.000
8.28841     59.846     0.000
8.40896     59.846     0.000
8.53128     59.846     0.000
8.65537     59.846     0.000
8.78126     59.846     0.000
8.90899     59.846     0.000
9.03857     59.846     0.000
9.17004     59.846     0.000
9.30342     59.846     0.000
9.43874     59.846     0.000
9.57603     59.846     0.000
9.71532     59.846     0.000
9.85663     59.846     0.000
10.0000     59.846     0.000
10.1455     59.846     0.000
10.2930     59.846     0.000
10.4427     59.846     0.000
10.5946     59.846     0.000
10.7487     59.846     0.000
10.9051     59.846     0.000
11.0637     59.846     0.000
11.2246     59.846     0.000
11.3879     59.846     0.000
11.5535     59.846     0.000
11.7216     59.846     0.000
11.8921     59.846     0.000
12.0650     59.846     0.000
12.2405     59.846     0.000
12.4186     59.846     0.000
12.5992     59.846     0.000
12.7825     59.846     0.000
12.9684     59.846     0.000
13.1570     59.846     0.000
13.3484     59.846     0.000
13.5426     59.846     0.000
13.7395     59.846     0.000
13.9394     59.846     0.000
14.1421     59.846     0.000
14.3478     59.846     0.000
14.5565     59.846     0.000
14.7683     59.846     0.000
14.9831     59.846     0.000
15.2010     59.846     0.000
15.4221     59.846     0.000
15.6464     59.846     0.000
15.8740     59.846     0.000
16.1049     59.846     0.000
16.3392     59.846     0.000
16.5768     59.846     0.000
16.8179     59.846     0.000
17.0626     59.846     0.000
17.3107     59.846     0.000
17.5625     59.846     0.000
17.8180     59.846     0.000
18.0771     59.846     0.000
18.3401     59.846     0.000
18.6068     59.846     0.000
18.8775     59.846     0.000
19.1521     59.846     0.000
19.4306     59.846     0.000
19.7133     59.846     0.000
20.0000     59.846     0.000
20.2909     59.846     0.000
20.5860     59.846     0.000
20.8855     59.846     0.000
21.1893     59.846     0.000
21.4975     59.846     0.000
21.8102     59.846     0.000
22.1274     59.846     0.000
22.4492     59.846     0.000
22.7758     59.846     0.000
23.1071     59.846     0.000
23.4432     59.846     0.000
23.7841     59.846     0.000
24.1301     59.846     0.000
24.4811     59.846     0.000
24.8372     59.846     0.000
25.1984     59.846     0.000
25.5649     59.846     0.000
25.9368     59.846     0.000
26.3141     59.846     0.000
26.6968     59.846     0.000
27.0851     59.846     0.000
27.4791     59.846     0.000
27.8788     59.846     0.000
28.2843     59.846     0.000
28.6957     59.846     0.000
29.1131     59.846     0.000
29.5365     59.846     0.000
29.9661     59.846     0.000
30.4020     59.846     0.000
30.8442     59.846     0.000
31.2929     59.846     0.000
31.7480     59.846     0.000
32.2098     59.846     0.000
32.6783     59.846     0.000
33.1536     59.846     0.000
33.6359     59.846     0.000
34.1251     59.846     0.000
34.6215     59.846     0.000
35.1250     59.846     0.000
35.6359     59.846     0.000
36.1543     59.846     0.000
36.6802     59.846     0.000
37.2137     59.846     0.000
37.7550     59.846     0.000
38.3041     59.846     0.000
38.8613     59.846     0.000
39.4265     59.846     0.000
40.0000     59.846     0.000
40.5818     59.846     0.000
41.1721     59.846     0.000
41.7710     59.846     0.000
42.3785     59.846     0.000
42.9949     59.846     0.000
43.6203     59.846     0.000
44.2548     59.846     0.000
44.8985     59.846     0.000
45.5515     59.846     0.000
46.2141     59.846     0.000
46.8863     59.846     0.000
47.5683     59.846     0.000
48.2602     59.846     0.000
48.9621     59.846     0.000
49.6743     59.846     0.000
50.3968     59.846     0.000
51.1299     59.846     0.000
51.8736     59.846     0.000
52.6281     59.846     0.000
53.3936     59.846     0.000
54.1702     59.846     0.000
54.9581     59.846     0.000
55.7575     59.846     0.000
56.5685     59.846     0.000
57.3914     59.846     0.000
58.2261     59.846     0.000
59.0730     59.846     0.000
59.9323     59.846     0.000
60.8040     59.846     0.000
61.6884     59.846     0.000
62.5857     59.846     0.000
63.4960     59.846     0.000
64.4196     59.846     0.000
65.3566     59.846     0.000
66.3073     59.846     0.000
67.2717     59.846     0.000
68.2502     59.846     0.000
69.2429     59.846     0.000
70.2501     59.846     0.000
71.2719     59.846     0.000
72.3086     59.846     0.000
73.3603     59.846     0.000
74.4274     59.846     0.000
75.5099     59.846     0.000
76.6083     59.846     0.000
77.7226     59.846     0.000
78.8531     59.846     0.000
80.0000     59.846     0.000
81.1636     59.846     0.000
82.3442     59.846     0.000
83.5419     59.846     0.000
84.7570     59.846     0.000
85.9899     59.846     0.000
87.2406     59.846     0.000
88.5096     59.846     0.000
89.7970     59.846     0.000
91.1031     59.846     0.000
92.4282     59.846     0.000
93.7726     59.846     0.000
95.1366     59.846     0.000
96.5204     59.846     0.000
97.9243     59.846     0.000
99.3486     59.846     0.000
100.794     59.846     0.000
102.260     59.846     0.000
103.747     59.846     0.000
105.256     59.846     0.000
106.787     59.846     0.000
108.340     59.846     0.000
109.916     59.846     0.000
111.515     59.846     0.000
113.137     59.846     0.000
114.783     59.846     0.000
116.452     59.846     0.000
118.146     59.846     0.000
119.865     59.846     0.000
121.608     59.846     0.000
123.377     59.846     0.000
125.171     59.846     0.000
126.992     59.846     0.000
128.839     59.846     0.000
130.713     59.846     0.000
132.615     59.846     0.000
134.543     59.846     0.000
136.500     59.846     0.000
138.486     59.846     0.000
140.500     59.846     0.000
142.544     59.846     0.000
144.617     59.846     0.000
146.721     59.846     0.000
148.855     59.846     0.000
151.020     59.846     0.000
153.217     59.846     0.000
155.445     59.846     0.000
157.706     59.846     0.000
160.000     59.846     0.000
162.327     59.846     0.000
164.688     59.846     0.000
167.084     59.846     0.000
169.514     59.846     0.000
171.980     59.846     0.000
174.481     59.846     0.000
177.019     59.846     0.000
179.594     59.846     0.000
182.206     59.846     0.000
184.856     59.846     0.000
187.545     59.846     0.000
190.273     59.846     0.000
193.041     59.846     0.000
195.849     59.846     0.000
198.697     59.846     0.000
201.587     59.846     0.000
204.520     59.846     0.000
207.494     59.846     0.000
210.512     59.846     0.000
213.574     59.846     0.000
216.681     59.846     0.000
219.833     59.846     0.000
223.030     59.846     0.000
226.274     59.846     0.000
229.565     59.846     0.000
232.905     59.846     0.000
236.292     59.846     0.000
239.729     59.846     0.000
243.216     59.846     0.000
246.754     59.846     0.000
250.343     59.846     0.000
253.984     59.846     0.000
257.678     59.846     0.000
261.426     59.846     0.000
265.229     59.846     0.000
269.087     59.846     0.000
273.001     59.846     0.000
276.972     59.846     0.000
281.000     59.846     0.000
285.088     59.846     0.000
289.234     59.846     0.000
293.441     59.846     0.000
297.709     59.846     0.000
302.040     59.846     0.000
306.433     59.846     0.000
310.890     59.846     0.000
315.412     59.846     0.000
320.000     59.846     0.000
324.655     59.846     0.000
329.377     59.846     0.000
334.168     59.846     0.000
339.028     59.846     0.000
343.959     59.846     0.000
348.962     59.846     0.000
354.038     59.846     0.000
359.188     59.846     0.000
364.412     59.846     0.000
369.713     59.846     0.000
