* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
20.000000	56.842105
20.290907	56.850937
20.586045	56.902821
20.885476	56.955459
21.189262	57.008863
21.497467	57.062986
21.810155	57.113757
22.127391	57.154948
22.449241	57.190271
22.775773	57.232084
23.107054	57.268123
23.443154	57.300133
23.784142	57.330449
24.130091	57.360694
24.481071	57.394689
24.837156	57.427436
25.198421	57.457573
25.564940	57.483943
25.936791	57.510444
26.314050	57.536945
26.696797	57.561167
27.085111	57.584805
27.479073	57.606149
27.878765	57.627433
28.284271	57.646951
28.695675	57.666251
29.113064	57.686519
29.536523	57.707696
29.966142	57.729972
30.402009	57.753514
30.844217	57.775615
31.292856	57.796812
31.748021	57.817985
32.209807	57.839161
32.678309	57.861426
33.153626	57.884966
33.635857	57.910213
34.125101	57.936788
34.621462	57.966705
35.125043	57.996965
35.635949	58.027314
36.154286	58.057487
36.680162	58.085511
37.213687	58.112083
37.754973	58.146687
38.304131	58.181964
38.861278	58.217271
39.426528	58.251600
40.000000	58.281846
40.581813	58.312054
41.172089	58.342350
41.770951	58.372640
42.378524	58.407146
42.994934	58.439351
43.620309	58.469073
44.254781	58.495483
44.898482	58.521958
45.551545	58.548499
46.214108	58.578105
46.886308	58.605712
47.568285	58.629233
48.260181	58.650471
48.962142	58.669695
49.674312	58.689037
50.396842	58.708185
51.129881	58.727610
51.873582	58.748589
52.628101	58.769904
53.393594	58.790951
54.170222	58.812244
54.958146	58.831697
55.757531	58.851006
56.568542	58.871317
57.391351	58.892503
58.226127	58.913688
59.073046	58.934852
59.932283	58.956061
60.804018	58.977203
61.688433	58.997770
62.585712	59.016942
63.496042	59.036351
64.419613	59.055446
65.356618	59.074819
66.307252	59.091622
67.271713	59.107900
68.250203	59.124058
69.242925	59.137093
70.250086	59.150318
71.271897	59.163735
72.308571	59.175202
73.360323	59.186238
74.427374	59.197435
75.509945	59.208795
76.608262	59.219779
77.722555	59.230826
78.853056	59.242033
80.000000	59.253404
81.163627	59.257058
82.344179	59.260020
83.541903	59.263026
84.757048	59.266076
85.989867	59.269170
87.240619	59.272309
88.509563	59.275493
89.796964	59.278724
91.103091	59.282002
92.428216	59.285327
93.772615	59.288701
95.136569	59.292124
96.520362	59.295597
97.924283	59.298919
99.348625	59.301668
100.793684	59.304458
102.259762	59.307288
103.747164	59.310159
105.256202	59.313072
106.787188	59.316028
108.340444	59.319026
109.916292	59.322068
111.515061	59.325155
113.137085	59.328286
114.782702	59.331462
116.452255	59.334685
118.146092	59.337955
119.864566	59.341273
121.608036	59.348535
123.376866	59.357202
125.171424	59.365996
126.992084	59.374917
128.839227	59.383968
130.713236	59.389592
132.614504	59.394294
134.543426	59.399064
136.500406	59.403904
138.485850	59.408814
140.500173	59.413795
142.543795	59.418849
144.617142	59.423977
146.720647	59.429179
148.854748	59.425307
151.019890	59.420083
153.216525	59.414784
155.445111	59.409408
157.706112	59.403954
160.000000	59.398420
162.327254	59.392806
164.688358	59.387110
167.083805	59.367268
169.514095	59.343609
171.979734	59.317429
174.481237	59.289837
177.019125	59.259556
179.593928	59.225150
182.206182	59.189861
184.856431	59.154541
187.545230	59.119193
190.273138	59.083902
193.040725	59.053014
195.848567	59.022740
198.697250	58.992401
201.587368	58.965897
204.519524	58.941580
