Freq[Hz]     dBSPL  Phase[Deg]
5.00000     66.913     4.282
5.07273     66.918     4.262
5.14651     66.924     4.235
5.22137     66.932     4.199
5.29732     66.941     4.159
5.37437     66.951     4.115
5.45254     66.961     4.070
5.53185     66.971     4.024
5.61231     66.981     3.978
5.69394     66.991     3.931
5.77676     67.001     3.883
5.86079     67.011     3.835
5.94604     67.021     3.786
6.03252     67.031     3.736
6.12027     67.041     3.686
6.20929     67.051     3.635
6.29961     67.061     3.583
6.39124     67.071     3.530
6.48420     67.081     3.477
6.57851     67.091     3.422
6.67420     67.101     3.367
6.77128     67.111     3.311
6.86977     67.121     3.254
6.96969     67.131     3.197
7.07107     67.141     3.138
7.17392     67.151     3.079
7.27827     67.161     3.019
7.38413     67.171     2.957
7.49154     67.181     2.895
7.60050     67.191     2.832
7.71105     67.201     2.768
7.82321     67.211     2.703
7.93701     67.221     2.637
8.05245     67.231     2.570
8.16958     67.241     2.502
8.28841     67.251     2.433
8.40896     67.261     2.363
8.53128     67.271     2.292
8.65537     67.281     2.220
8.78126     67.291     2.146
8.90899     67.301     2.072
9.03857     67.311     1.996
9.17004     67.321     1.919
9.30342     67.331     1.841
9.43874     67.341     1.762
9.57603     67.351     1.681
9.71532     67.361     1.600
9.85663     67.371     1.517
10.0000     67.381     1.432
10.1455     67.391     1.347
10.2930     67.401     1.260
10.4427     67.411     1.171
10.5946     67.421     1.081
10.7487     67.431     0.990
10.9051     67.441     0.897
11.0637     67.451     0.803
11.2246     67.461     0.707
11.3879     67.471     0.610
11.5535     67.481     0.511
11.7216     67.491     0.411
11.8921     67.501     0.309
12.0650     67.511     0.205
12.2405     67.521     0.099
12.4186     67.531    -0.008
12.5992     67.541    -0.117
12.7825     67.551    -0.228
12.9684     67.560    -0.341
13.1570     67.570    -0.456
13.3484     67.580    -0.572
13.5426     67.590    -0.691
13.7395     67.600    -0.812
13.9394     67.610    -0.934
14.1421     67.620    -1.059
14.3478     67.630    -1.187
14.5565     67.640    -1.316
14.7683     67.650    -1.448
14.9831     67.660    -1.582
15.2010     67.670    -1.719
15.4221     67.680    -1.858
15.6464     67.690    -2.000
15.8740     67.700    -2.145
16.1049     67.710    -2.293
16.3392     67.720    -2.443
16.5768     67.730    -2.597
16.8179     67.740    -2.753
17.0626     67.750    -2.913
17.3107     67.760    -3.077
17.5625     67.770    -3.244
17.8180     67.780    -3.415
18.0771     67.790    -3.590
18.3401     67.800    -3.771
18.6068     67.810    -3.957
18.8775     67.820    -4.152
19.1521     67.830    -4.359
19.4306     67.837    -4.578
19.7133     67.841    -4.801
20.0000     67.837    -5.004
20.2909     67.833    -5.158
20.5860     67.836    -5.280
20.8855     67.846    -5.395
21.1893     67.866    -5.531
21.4975     67.893    -5.726
21.8102     67.916    -5.984
22.1274     67.932    -6.277
22.4492     67.938    -6.575
22.7758     67.941    -6.856
23.1071     67.941    -7.117
23.4432     67.941    -7.357
23.7841     67.943    -7.577
24.1301     67.947    -7.782
24.4811     67.959    -7.985
24.8372     67.977    -8.213
25.1984     67.998    -8.486
25.5649     68.019    -8.805
25.9368     68.037    -9.171
26.3141     68.046    -9.561
26.6968     68.050    -9.954
27.0851     68.051   -10.342
27.4791     68.051   -10.729
27.8788     68.051   -11.124
28.2843     68.049   -11.534
28.6957     68.043   -11.958
29.1131     68.030   -12.384
29.5365     68.012   -12.795
29.9661     67.992   -13.176
30.4020     67.972   -13.530
30.8442     67.956   -13.870
31.2929     67.945   -14.217
31.7480     67.937   -14.595
32.2098     67.927   -15.009
32.6783     67.911   -15.446
33.1536     67.890   -15.892
33.6359     67.863   -16.330
34.1251     67.832   -16.754
34.6215     67.801   -17.161
35.1250     67.768   -17.558
35.6359     67.736   -17.950
36.1543     67.703   -18.344
36.6802     67.669   -18.741
37.2137     67.633   -19.143
37.7550     67.593   -19.545
38.3041     67.551   -19.941
38.8613     67.505   -20.326
39.4265     67.458   -20.695
40.0000     67.410   -21.048
40.5818     67.361   -21.389
41.1721     67.313   -21.721
41.7710     67.264   -22.045
42.3785     67.215   -22.363
42.9949     67.167   -22.678
43.6203     67.118   -22.990
44.2548     67.069   -23.302
44.8985     67.021   -23.617
45.5515     66.971   -23.937
46.2141     66.921   -24.264
46.8863     66.868   -24.596
47.5683     66.812   -24.928
48.2602     66.752   -25.252
48.9621     66.689   -25.563
49.6743     66.625   -25.857
50.3968     66.559   -26.133
51.1299     66.493   -26.393
51.8736     66.427   -26.641
52.6281     66.361   -26.879
53.3936     66.296   -27.107
54.1702     66.230   -27.328
54.9581     66.164   -27.540
55.7575     66.098   -27.746
56.5685     66.032   -27.945
57.3914     65.966   -28.139
58.2261     65.900   -28.328
59.0730     65.834   -28.512
59.9323     65.769   -28.692
60.8040     65.703   -28.868
61.6884     65.637   -29.043
62.5857     65.571   -29.216
63.4960     65.505   -29.390
64.4196     65.438   -29.567
65.3566     65.370   -29.746
66.3073     65.300   -29.924
67.2717     65.228   -30.097
68.2502     65.153   -30.260
69.2429     65.076   -30.409
70.2501     64.999   -30.542
71.2719     64.921   -30.661
72.3086     64.844   -30.768
73.3603     64.766   -30.863
74.4274     64.688   -30.949
75.5099     64.610   -31.025
76.6083     64.532   -31.092
77.7226     64.455   -31.149
78.8531     64.377   -31.199
80.0000     64.299   -31.240
81.1636     64.221   -31.272
82.3442     64.144   -31.296
83.5419     64.066   -31.311
84.7570     63.988   -31.319
85.9899     63.910   -31.317
87.2406     63.832   -31.307
88.5096     63.755   -31.288
89.7970     63.677   -31.259
91.1031     63.599   -31.221
92.4282     63.521   -31.171
93.7726     63.444   -31.110
95.1366     63.366   -31.034
96.5204     63.289   -30.942
97.9243     63.213   -30.834
99.3486     63.140   -30.712
100.794     63.070   -30.581
102.260     63.002   -30.448
103.747     62.938   -30.319
105.256     62.875   -30.196
106.787     62.812   -30.081
108.340     62.750   -29.969
109.916     62.688   -29.860
111.515     62.626   -29.752
113.137     62.563   -29.645
114.783     62.501   -29.536
116.452     62.439   -29.427
118.146     62.377   -29.316
119.865     62.315   -29.204
121.608     62.252   -29.090
123.377     62.190   -28.974
125.171     62.128   -28.856
126.992     62.066   -28.736
128.839     62.003   -28.614
130.713     61.941   -28.490
132.615     61.879   -28.364
134.543     61.817   -28.236
136.500     61.755   -28.107
138.486     61.692   -27.977
140.500     61.630   -27.848
142.544     61.568   -27.721
144.617     61.505   -27.599
146.721     61.441   -27.483
148.855     61.375   -27.371
151.020     61.305   -27.257
153.217     61.231   -27.133
155.445     61.154   -26.991
157.706     61.074   -26.823
160.000     60.994   -26.630
162.327     60.913   -26.412
164.688     60.832   -26.170
167.084     60.751   -25.906
169.514     60.670   -25.619
171.980     60.589   -25.307
174.481     60.508   -24.967
177.019     60.428   -24.595
179.594     60.351   -24.190
182.206     60.277   -23.756
184.856     60.208   -23.302
187.545     60.144   -22.835
190.273     60.084   -22.364
193.041     60.027   -21.893
195.849     59.970   -21.416
198.697     59.914   -20.927
201.587     59.859   -20.415
204.520     59.805   -19.872
207.494     59.757   -19.295
210.512     59.716   -18.695
213.574     59.684   -18.086
216.681     59.661   -17.486
219.833     59.645   -16.911
223.030     59.633   -16.365
226.274     59.622   -15.844
229.565     59.612   -15.340
232.905     59.602   -14.843
236.292     59.593   -14.343
239.729     59.585   -13.835
243.216     59.581   -13.314
246.754     59.584   -12.790
250.343     59.593   -12.275
253.984     59.610   -11.782
257.678     59.632   -11.325
261.426     59.657   -10.908
265.229     59.683   -10.528
269.087     59.709   -10.182
273.001     59.736    -9.864
276.972     59.762    -9.572
281.000     59.789    -9.306
285.088     59.815    -9.067
289.234     59.840    -8.854
293.441     59.862    -8.665
297.709     59.882    -8.494
302.040     59.898    -8.334
306.433     59.912    -8.177
310.890     59.924    -8.020
315.412     59.935    -7.862
320.000     59.946    -7.703
324.655     59.957    -7.546
329.377     59.968    -7.392
334.168     59.979    -7.242
339.028     59.990    -7.096
343.959     60.002    -6.957
348.962     60.015    -6.826
354.038     60.028    -6.707
359.188     60.042    -6.601
364.412     60.055    -6.512
369.713     60.069    -6.443
375.090     60.081    -6.396
380.546     60.089    -6.368
386.081     60.094    -6.352
391.697     60.094    -6.340
397.394     60.090    -6.321
403.175     60.083    -6.289
409.039     60.075    -6.243
414.989     60.066    -6.185
421.025     60.057    -6.119
427.149     60.048    -6.048
433.362     60.039    -5.974
439.665     60.030    -5.899
446.060     60.021    -5.825
452.548     60.011    -5.752
459.131     60.000    -5.679
465.809     59.987    -5.603
472.584     59.972    -5.522
479.458     59.957    -5.432
486.432     59.941    -5.333
493.507     59.924    -5.225
500.686     59.907    -5.108
507.968     59.891    -4.984
515.357     59.874    -4.853
522.853     59.857    -4.716
530.458     59.841    -4.572
538.174     59.824    -4.421
546.002     59.808    -4.263
553.943     59.792    -4.099
562.001     59.776    -3.930
570.175     59.761    -3.756
578.469     59.746    -3.578
586.883     59.732    -3.397
595.419     59.718    -3.212
604.080     59.704    -3.024
612.866     59.689    -2.831
621.780     59.675    -2.633
630.824     59.661    -2.431
640.000     59.647    -2.222
649.309     59.632    -2.007
658.753     59.618    -1.786
668.335     59.604    -1.558
678.056     59.590    -1.322
687.919     59.575    -1.077
697.925     59.561    -0.823
708.077     59.547    -0.558
718.376     59.532    -0.281
728.825     59.518     0.011
739.426     59.503     0.323
750.181     59.490     0.656
761.093     59.478     1.015
772.163     59.470     1.396
783.394     59.467     1.791
794.789     59.469     2.190
806.349     59.476     2.584
818.078     59.486     2.968
829.977     59.496     3.343
842.050     59.508     3.715
854.298     59.519     4.091
866.724     59.531     4.477
879.330     59.546     4.877
892.120     59.565     5.287
905.097     59.588     5.699
918.262     59.617     6.105
931.618     59.649     6.496
945.169     59.684     6.868
958.917     59.721     7.222
972.864     59.757     7.562
987.015     59.794     7.894
1001.37     59.830     8.221
1015.94     59.867     8.547
1030.71     59.904     8.876
1045.71     59.942     9.211
1060.92     59.982     9.549
1076.35     60.025     9.888
1092.00     60.071    10.224
1107.89     60.119    10.552
1124.00     60.168    10.871
1140.35     60.218    11.183
1156.94     60.268    11.492
1173.77     60.319    11.803
1190.84     60.369    12.122
1208.16     60.421    12.455
1225.73     60.476    12.806
1243.56     60.535    13.171
1261.65     60.602    13.538
1280.00     60.674    13.896
1298.62     60.752    14.234
1317.51     60.834    14.546
1336.67     60.916    14.833
1356.11     61.000    15.101
1375.84     61.083    15.358
1395.85     61.166    15.611
1416.15     61.250    15.866
1436.75     61.333    16.133
1457.65     61.419    16.422
1478.85     61.508    16.740
1500.36     61.607    17.083
1522.19     61.717    17.432
1544.33     61.840    17.762
1566.79     61.974    18.052
1589.58     62.116    18.285
1612.70     62.260    18.463
1636.16     62.406    18.601
1659.95     62.554    18.714
1684.10     62.705    18.815
1708.60     62.864    18.905
1733.45     63.035    18.965
1758.66     63.216    18.973
1784.24     63.408    18.907
1810.19     63.607    18.749
1836.52     63.809    18.495
1863.24     64.013    18.150
1890.34     64.216    17.721
1917.83     64.419    17.212
1945.73     64.623    16.621
1974.03     64.825    15.947
2002.74     65.027    15.182
2031.87     65.226    14.326
2061.43     65.419    13.380
2091.41     65.608    12.348
2121.83     65.791    11.231
2152.69     65.967    10.024
2184.01     66.137     8.719
2215.77     66.293     7.316
2248.00     66.433     5.834
2280.70     66.555     4.300
2313.87     66.661     2.735
2347.53     66.754     1.158
2381.68     66.838    -0.438
2416.32     66.911    -2.071
2451.46     66.971    -3.739
2487.12     67.014    -5.428
2523.30     67.041    -7.115
2560.00     67.053    -8.785
2597.24     67.056   -10.438
2635.01     67.051   -12.090
2673.34     67.035   -13.758
2712.23     67.002   -15.431
2751.68     66.951   -17.086
2791.70     66.881   -18.693
2832.31     66.794   -20.224
2873.50     66.696   -21.665
2915.30     66.590   -23.018
2957.70     66.480   -24.289
3000.72     66.365   -25.484
3044.37     66.248   -26.605
3088.65     66.130   -27.657
3133.58     66.011   -28.648
3179.16     65.892   -29.582
3225.40     65.773   -30.463
3272.31     65.655   -31.295
3319.91     65.537   -32.077
3368.20     65.420   -32.813
3417.19     65.305   -33.504
3466.89     65.190   -34.149
3517.32     65.076   -34.743
3568.48     64.964   -35.281
3620.39     64.857   -35.756
3673.05     64.759   -36.175
3726.47     64.675   -36.566
3780.67     64.603   -36.959
3835.67     64.543   -37.386
3891.46     64.489   -37.871
3948.06     64.434   -38.411
4005.49     64.374   -38.984
4063.75     64.306   -39.563
4122.86     64.232   -40.123
4182.82     64.154   -40.643
4243.66     64.076   -41.111
4305.39     64.002   -41.529
4368.01     63.937   -41.909
4431.55     63.883   -42.276
4496.01     63.840   -42.655
4561.40     63.806   -43.068
