Freq[Hz]     dBSPL  Phase[Deg]
5.00000     58.042    23.074
5.07273     58.060    23.043
5.14651     58.083    23.001
5.22137     58.114    22.947
5.29732     58.148    22.888
5.37437     58.186    22.822
5.45254     58.224    22.756
5.53185     58.262    22.689
5.61231     58.300    22.621
5.69394     58.338    22.553
5.77676     58.376    22.483
5.86079     58.414    22.413
5.94604     58.452    22.341
6.03252     58.490    22.268
6.12027     58.528    22.195
6.20929     58.566    22.120
6.29961     58.604    22.044
6.39124     58.642    21.967
6.48420     58.680    21.889
6.57851     58.718    21.809
6.67420     58.756    21.729
6.77128     58.794    21.647
6.86977     58.832    21.564
6.96969     58.870    21.480
7.07107     58.908    21.395
7.17392     58.946    21.308
7.27827     58.984    21.220
7.38413     59.022    21.131
7.49154     59.060    21.040
7.60050     59.097    20.948
7.71105     59.135    20.854
7.82321     59.173    20.759
7.93701     59.211    20.663
8.05245     59.249    20.565
8.16958     59.287    20.466
8.28841     59.325    20.365
8.40896     59.363    20.262
8.53128     59.401    20.158
8.65537     59.439    20.052
8.78126     59.477    19.945
8.90899     59.515    19.836
9.03857     59.553    19.725
9.17004     59.591    19.613
9.30342     59.629    19.498
9.43874     59.667    19.382
9.57603     59.705    19.264
9.71532     59.743    19.144
9.85663     59.781    19.023
10.0000     59.819    18.899
10.1455     59.857    18.773
10.2930     59.895    18.645
10.4427     59.933    18.516
10.5946     59.971    18.384
10.7487     60.009    18.250
10.9051     60.047    18.113
11.0637     60.085    17.975
11.2246     60.123    17.834
11.3879     60.161    17.691
11.5535     60.199    17.545
11.7216     60.237    17.397
11.8921     60.275    17.246
12.0650     60.313    17.093
12.2405     60.351    16.938
12.4186     60.389    16.779
12.5992     60.427    16.618
12.7825     60.465    16.454
12.9684     60.503    16.287
13.1570     60.541    16.118
13.3484     60.579    15.945
13.5426     60.617    15.769
13.7395     60.655    15.590
13.9394     60.693    15.408
14.1421     60.731    15.222
14.3478     60.769    15.033
14.5565     60.807    14.841
14.7683     60.845    14.645
14.9831     60.882    14.445
15.2010     60.920    14.241
15.4221     60.958    14.033
15.6464     60.996    13.822
15.8740     61.034    13.606
16.1049     61.072    13.386
16.3392     61.110    13.161
16.5768     61.148    12.932
16.8179     61.186    12.698
17.0626     61.224    12.460
17.3107     61.262    12.216
17.5625     61.300    11.967
17.8180     61.338    11.713
18.0771     61.376    11.454
18.3401     61.414    11.189
18.6068     61.452    10.918
18.8775     61.490    10.642
19.1521     61.528    10.361
19.4306     61.566    10.074
19.7133     61.605     9.782
20.0000     61.644     9.485
20.2909     61.684     9.179
20.5860     61.725     8.861
20.8855     61.768     8.529
21.1893     61.811     8.180
21.4975     61.854     7.811
21.8102     61.898     7.421
22.1274     61.941     7.010
22.4492     61.985     6.573
22.7758     62.028     6.106
23.1071     62.071     5.601
23.4432     62.111     5.051
23.7841     62.145     4.457
24.1301     62.170     3.831
24.4811     62.185     3.194
24.8372     62.189     2.566
25.1984     62.185     1.966
25.5649     62.177     1.401
25.9368     62.167     0.866
26.3141     62.157     0.354
26.6968     62.147    -0.144
27.0851     62.137    -0.634
27.4791     62.127    -1.123
27.8788     62.115    -1.615
28.2843     62.103    -2.113
28.6957     62.086    -2.617
29.1131     62.066    -3.118
29.5365     62.041    -3.608
29.9661     62.011    -4.080
30.4020     61.979    -4.528
30.8442     61.946    -4.952
31.2929     61.913    -5.355
31.7480     61.879    -5.742
32.2098     61.846    -6.114
32.6783     61.812    -6.475
33.1536     61.779    -6.825
33.6359     61.745    -7.165
34.1251     61.712    -7.496
34.6215     61.678    -7.818
35.1250     61.645    -8.133
35.6359     61.611    -8.441
36.1543     61.578    -8.743
36.6802     61.544    -9.038
37.2137     61.511    -9.327
37.7550     61.477    -9.611
38.3041     61.444    -9.890
38.8613     61.410   -10.165
39.4265     61.377   -10.434
40.0000     61.343   -10.700
40.5818     61.310   -10.961
41.1721     61.276   -11.219
41.7710     61.243   -11.474
42.3785     61.209   -11.725
